terms,added_dictionary_index,training_SSE_reduction,relative_new_energy,condition_number,pole_radius,one_step_fit,chirp_free_fit,selection_free_fit,selection_NMSE
1,11,112.146340818518,1,1,0,17.2716443949054,16.546237394568,-233.523609918076,11.1237998372785
2,1,253.007212209921,0.680928990824477,3.43754866347573,1.01055255960765,97.5313731886382,-4256679.96883065,-3.76955821174482e+18,Inf
3,2,0.225841363123177,0.000618696526282215,161.266906331882,1.00054593128129,99.8450975658405,-0.696283415470167,0.705484322432226,Inf
4,4,7.73158292249076e-05,6.54016138784586e-06,4295.14993254492,1.00033950221894,99.8585556432218,-0.342954064122636,0.450625808981853,Inf
5,12,1.13736059855982e-05,6.66279816506452e-06,5982.15253937222,0.966674315061006,99.8621367420434,85.3216062788629,59.6932582111524,0.162463343363284
6,15,2.24084820461302e-05,1.88635530429969e-06,9808.76083945612,0.97973701205712,99.8703845726367,87.6314421599439,64.8308672970612,0.123686789507692
7,20,1.02957453832103e-05,8.11563675104084e-06,14029.2213627829,0.979850103845497,99.8711894201491,86.6400169806802,64.8868523726159,0.123293313630247
8,6,2.49027444881131e-06,5.34558056526388e-06,15571.7088142321,0.977742088765589,99.8719792033511,87.3880005722002,66.8846315763665,0.109662762583298
9,10,8.05979118142838e-06,1.45874364580184e-05,24056.8416313437,0.979145691138164,99.8722815769169,86.7259112714859,65.2019404160883,0.121090495080547
