time_s,fuel_lbm_s,reference_Ndot,selected_prior,selected_free,baseline_prior,baseline_free,theta_11,Pdiag_11,theta_1,Pdiag_1,theta_2,Pdiag_2,theta_4,Pdiag_4,theta_12,Pdiag_12,theta_15,Pdiag_15,theta_20,Pdiag_20,theta_6,Pdiag_6
0,0.981086914682413,-2.11335843154454e-11,0,0,0,0,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000
0.0150000000000006,0.981651671790619,0.417818354237735,0,0,0,0,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000
0.0299999999999976,0.983367664856381,1.68026964907742,0,0.204408579551079,0,0.131950337699479,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000,0,10000
0.0449999999999982,0.986234661111762,3.772784096543,0.0333082625896434,0.931953051857693,0.0333082625896434,0.660102629717322,0.00945224554186576,9978.20817137275,-0.00699295612001444,9992.60381494451,3.53709276477706e-13,10010.01001001,3.53709276477706e-13,10010.01001001,0,10010.01001001,0,10010.01001001,0,10010.01001001,3.53709276477706e-13,10010.01001001
0.0599999999999987,0.990178652636368,6.62683667461005,0.765102657358516,2.32233741343929,0.76510265735807,1.76871683151985,0.0878323765626772,9511.54047055113,-0.0647358083288819,9743.91056984527,-0.0144295506306876,10003.8753506272,1.06909931344072e-12,10020.0300400501,0.0195041486436452,9990.51475400808,0,10020.0300400501,0,10020.0300400501,1.06909931344072e-12,10020.0300400501
0.0749999999999993,0.995069981547007,10.1338995350131,4.74162989549821,4.34467622584222,4.81061756896695,3.49142665804811,0.278547578818751,7986.07843723374,-0.204439360650935,8930.004434607,-0.0794310587916777,9835.57754104882,1.73271815299269e-12,10030.0601001502,0.107753134406789,9671.85105720038,0,10030.0601001502,0,10030.0601001502,1.73271815299269e-12,10030.0601001502
0.0899999999999999,1.00074213527104,14.1599227381503,11.9504013479099,6.88108961297985,12.3072790964529,5.77477259560233,0.424326728374367,6475.96146836809,-0.310272751744483,8138.81782902306,-0.150180288132095,9487.85702561596,-0.0108903351638264,10031.6280197249,0.204495609811932,9012.96225003295,0,10040.1002003506,0,10040.1002003506,1.81521907707795e-12,10040.1002003506
0.105,1.0070098181884,18.4591598543922,19.0327753997785,9.80199037523898,19.6075425847397,8.5344952957079,0.460254595864436,5858.33142025804,-0.335799450728655,7831.90766633245,-0.175587472992066,9185.24049484645,-0.0234335540227155,9965.59888741903,0.239687221268588,8423.18904456546,0.00531295404654517,10036.5022532777,0,10050.1503507013,1.72382095472524e-12,10050.1503507013
0.119999999999997,1.01368517429058,22.8954979162783,25.0481836032746,12.9711743433405,25.5300331288746,11.6671991186734,0.455754255786516,5722.09141313248,-0.332828744616873,7777.8267454396,-0.170121805692508,8984.82944628241,-0.0180877815476147,9775.06392648762,0.23193709360203,8010.1823968663,0.000810977450788808,9904.34123010757,0,10060.2105612625,0.00104437728490456,10052.5575722655
0.134999999999998,1.02060122134272,27.4301225919171,30.1369844703207,16.262178219659,30.2830382358177,15.0630081983414,0.451092861005581,5717.35569263572,-0.332121013544504,7785.37115442078,-0.153734179315141,8864.49931858785,0.00798199354663376,9457.5672990017,0.207759667305644,7736.7079908982,-0.0287494394157483,9493.46301035906,0,10070.2808421046,0.0141010461265657,9980.52615128918
0.149999999999999,1.0276191041309,31.9622746972689,34.51661103087,19.5756996023824,34.3590367610758,18.6157684403537,0.454538233345712,5719.49969912506,-0.340051492416152,7774.20175871313,-0.139998688443055,8816.48916473851,0.0436296228607454,9083.89260854258,0.184135761274975,7576.18443411026,-0.0773897520119842,8789.63536988922,0,10080.3612033079,0.0422091431487904,9752.30609613949
0.164999999999999,1.03462425827737,36.3959116340575,38.4219224509894,22.8400433623629,38.1568864565659,22.2320600796535,0.462160435522408,5705.62085586793,-0.351198233597706,7740.05796636732,-0.134046088833558,8813.3581292352,0.0750686793139838,8759.46375025698,0.168858793091726,7505.01655912306,-0.127245052515164,7959.7312745393,0,10090.4516549629,0.0760825936540283,9374.8959767493
0.18,1.04152979497901,40.6977017445414,42.067277477611,26.0032794581087,41.859365974673,25.8340493009405,0.469153875683193,5685.5908764208,-0.360526066001885,7702.01157865239,-0.133502144135037,8822.02458450778,0.0948950319342212,8561.34431724859,0.161825190132319,7486.49126678031,-0.165553780171532,7195.29517287445,-0.00534953604109376,10085.4902578628,0.105385997508807,8932.33577632257
0.195,1.04827883522194,44.8155566725343,45.5919620801291,29.0317027174804,45.5218929085145,29.3600526423249,0.473395680406124,5671.06202994443,-0.366312650000523,7672.09191715489,-0.135060338647823,8828.12692766746,0.103956354569528,8477.64311839687,0.159757366297289,7489.18007220247,-0.188691491996132,6600.87611680479,-0.017576424788448,9927.58382793897,0.124876741345608,8514.36403465399
