environment,source_row,time_s,speed_rpm,acceleration_rpm_s,inlet_temperature_K,inlet_pressure_kPa,fuel_lbm_s
1,4483,67.23,9264.68410746373,0.176717178706838,288.150008033341,99.298846116789,1.42127636148612
1,5982,89.715,9749.12004778655,9.45557082926758,288.150008033341,99.298846116789,2.43098710507995
1,4114,61.695,9514.52912941341,-61.4445238249414,288.150008033341,99.298846116789,1.78740683665053
1,5613,84.18,9519.48741319868,55.2406759518829,288.150008033341,99.298846116789,1.97765126675487
1,5058,75.855,9497.37282732583,-3.00169075546502,288.150008033341,99.298846116789,1.83988814799396
1,4341,65.1,9317.54310853996,-49.992868556726,288.150008033341,99.298846116789,1.44051779595093
1,4671,70.05,9322.07747381411,47.0209306381344,288.150008033341,99.298846116789,1.59301186919281
1,3156,47.325,9653.2969050955,-31.0733474214702,288.150008033341,99.298846116789,2.14209344913255
1,5815,87.21,9678.91288416221,47.2388529345891,288.150008033341,99.298846116789,2.3256043104296
1,3743,56.13,9617.13189362477,16.3504677562433,288.150008033341,99.298846116789,2.13453504144303
1,5494,82.395,9454.0842828948,27.4849495019153,288.150008033341,99.298846116789,1.80587383858053
1,4233,63.48,9404.55320384062,-68.4351527223031,288.150008033341,99.298846116789,1.57015303322208
1,4422,66.315,9276.47536587213,-26.1771662868082,288.150008033341,99.298846116789,1.4032744988853
1,3358,50.355,9561.39033291807,-22.2678777734178,288.150008033341,99.298846116789,1.94881866698924
1,4597,68.94,9284.66067180552,24.1659153318441,288.150008033341,99.298846116789,1.49190899249891
1,3866,57.975,9633.82397457356,-7.39825670241353,288.150008033341,99.298846116789,2.13502198713536
1,5287,79.29,9449.68389664953,-22.8014825885041,288.150008033341,99.298846116789,1.72054885417127
1,4032,60.465,9577.61475589777,-44.9156464894808,288.150008033341,99.298846116789,1.94928700763428
1,5722,85.815,9605.43365375278,59.1038246758135,288.150008033341,99.298846116789,2.17536584167403
1,5915,88.71,9734.65398556725,30.804600158668,288.150008033341,99.298846116789,2.43067426559763
1,4794,71.895,9402.45482483002,43.4126140478157,288.150008033341,99.298846116789,1.73438077460535
1,5418,81.255,9437.60733497665,8.41097197430451,288.150008033341,99.298846116789,1.74595875010602
1,3506,52.575,9546.49464445483,10.760311487374,288.150008033341,99.298846116789,1.96758828282569
1,3610,54.135,9570.4346847309,29.7784494644034,288.150008033341,99.298846116789,2.05048970209282
1,5589,83.82,9502.37650907047,39.0371041028062,288.150008033341,99.298846116789,1.91515576233378
1,4259,63.87,9380.72726072333,-53.0655855965783,288.150008033341,99.298846116789,1.54904949560163
1,4190,62.835,9444.37073673241,-55.6013345501591,288.150008033341,99.298846116789,1.6618279372156
1,3059,45.87,9687.73239475517,-15.9828799133888,288.150008033341,99.298846116789,2.24570229688441
1,5365,80.46,9437.88254988279,-7.47842050528073,288.150008033341,99.298846116789,1.7221660460816
1,4976,74.625,9489.64873973096,15.6217846797608,288.150008033341,99.298846116789,1.85419865934934
1,3413,51.18,9547.2233937569,-8.49894938195819,288.150008033341,99.298846116789,1.93910032663142
1,3265,48.96,9599.66098413533,-32.0089000336393,288.150008033341,99.298846116789,2.01880391574647
1,3020,45.285,9693.04887989448,-2.42911290707783,288.150008033341,99.298846116789,2.27966589919917
1,4702,70.515,9341.0173508602,34.6150679776685,288.150008033341,99.298846116789,1.60865724723207
1,4452,66.765,9268.36110577675,-13.0578624293406,288.150008033341,99.298846116789,1.40830061779376
1,4360,65.385,9304.65961539593,-37.3846386760292,288.150008033341,99.298846116789,1.43635920910931
1,3925,58.86,9627.09405413322,-20.1946359784423,288.150008033341,99.298846116789,2.09944763047045
1,5650,84.735,9547.48313655752,44.8723664699731,288.150008033341,99.298846116789,2.02311063347824
1,4093,61.38,9532.09749501902,-49.2279654679236,288.150008033341,99.298846116789,1.84339143589939
1,5752,86.265,9630.55351462243,47.9060267355455,288.150008033341,99.298846116789,2.21495758391054
2,4483,67.23,9264.63495254618,0.258810077370724,271.902738464831,73.4442916025439,1.36454652932838
2,5910,88.635,9733.03944930835,34.3457083670496,271.902738464831,73.4442916025439,2.19879797301866
