time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
94.38,9592.49073407427,0.925022818301538,9594.24646503264,9595.67159532016,0.925022818301538,0.925022818301538,0,-54.9228218804895,22.2811053980862,5,0,9304.03281048356,-9619.17027926129,269.447541514106,37.5856351443831,3.19178838278519e-10,1,0.991981533797828,0
94.395,9591.66689174606,0.924326535957884,9593.42401785277,9594.84723536752,0.924326535957884,0.924326535957884,0,-54.9076042318699,22.2969198245246,5,0,9298.64988547017,-9613.67298026771,269.447541514106,37.5856351443831,2.91953331224064e-10,1,0.991896338367465,0
94.41,9590.84327768258,0.923633085055766,9592.60176281007,9594.02300956372,0.923633085055766,0.923633085055766,0,-54.8907685940518,22.3126533042551,5,0,9293.28098005013,-9608.18044121821,269.447541514106,37.5856351443831,2.66404730369864e-10,1,0.991811166542483,0
94.425,9590.01991615367,0.922942480970749,9591.77972355556,9593.19894230008,0.922942480970749,0.922942480970749,0,-54.8723181275135,22.3283053467458,5,0,9287.92623025158,-9602.69281945154,269.447541514106,37.5856351443831,2.42480775813348e-10,1,0.991726020832681,0
94.44,9589.19683138176,0.922254738608077,9590.9579237117,9592.37505793641,0.922254738608077,0.922254738608077,0,-54.8522562617313,22.3438754764391,5,0,9282.58576975616,-9597.21027149259,269.447541514106,37.5856351443831,2.20126830525835e-10,1,0.991640903742957,0
94.455,9588.37404753783,0.921569872488099,9590.13638687148,9591.55138079694,0.921569872488099,0.921569872488099,0,-54.8305866374238,22.3593632297735,5,0,9277.25973028905,-9591.73295311021,269.447541514106,37.5856351443831,1.99287728506313e-10,1,0.991555817772889,0
94.47,9587.55158873827,0.920887896834318,9589.31513659763,9590.72793516618,0.920887896834318,0.920887896834318,0,-54.8073130470216,22.3747681521078,5,0,9271.94824202634,-9586.2610193823,269.447541514106,37.5856351443831,1.79907114730744e-10,1,0.991470765416406,0
94.485,9586.72947904257,0.920208825657065,9588.49419642175,9589.90474528505,0.920208825657065,0.920208825657065,0,-54.7824393792148,22.3900897947944,5,0,9266.65143398038,-9580.7946247625,269.447541514106,37.5856351443831,1.61928765282472e-10,1,0.991385749161556,0
94.5,9585.90774245188,0.919532672829772,9587.67358984347,9589.08183534748,0.919532672829772,0.919532672829772,0,-54.755969567788,22.4053277125099,5,0,9261.36943435767,-9575.33392314422,269.447541514106,37.5856351443831,1.45293155034186e-10,1,0.991300771490354,0
94.515,9585.08640290836,0.918859452153255,9586.85334032961,9588.25922949743,0.918859452153255,0.918859452153255,0,-54.727907549635,22.4204814610057,5,0,9256.10237085757,-9569.87906791831,269.447541514106,37.5856351443831,1.29943662254683e-10,1,0.991215834878713,0
