time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
7.8,9719.71680368472,2.1446665260025,9720,9725.51873821534,2.1446665260025,2.1446665260025,0,-100.243120536093,24.5662667768695,19,0,21695.5743738095,-22278.3803551639,2.1446665260025,2.33244079953189,2.19426768558842,0.138173113943477,-100.242854647983,1.87297495041464,2.1493211783016,1,285.79814163736,94.3967337616463,7.23335489455134e-10,1,0.975962707325796,0
7.815,9718.21315687668,2.14121091003928,9718.5,9724.01509435755,2.14121091003928,2.14121091003928,0,-100.24319050565,24.5947918379778,19,0,21668.0023315709,-22250.718559178,2.14121091003928,2.32856287240425,2.18980968728588,0.138753185118373,-100.24288187795,1.86832029811555,2.1458266683523,1,285.785542355715,94.370472445458,7.97443910231159e-10,1,0.975833235050591,0
7.83,9716.70950901909,2.13775804638545,9717,9722.51144973516,2.13775804638545,2.13775804638545,0,-100.243261020095,24.6233511335501,19,0,21640.4482638751,-22223.074740713,2.13775804638545,2.32468759417821,2.18537296123311,0.139314632945107,-100.242918450047,1.86370453980253,2.14233380569274,1,285.772943074101,94.3442111292698,8.78819021288879e-10,1,0.975703757436012,0
7.845,9715.20586010379,2.13430793748978,9715.5,9721.00780427433,2.13430793748978,2.13430793748978,0,-100.243332211304,24.651944688483,19,0,21612.9121715978,-22195.4489014092,2.13430793748978,2.32081684125061,2.18095989004642,0.13985695120419,-100.24296262559,1.85912878049523,2.13884268290361,1,285.760343792518,94.3179498130815,9.68140502989131e-10,1,0.975574274480727,0
7.86,9713.70221012062,2.13086058542412,9714,9719.50415791824,2.13086058542412,2.13086058542412,0,-100.243406177268,24.6805723210136,20,0,21585.39405695,-22167.8410556649,2.13086058542412,2.31695230889946,2.17657262860859,0.140379680290872,-100.243012903455,1.8545940350814,2.13535339566314,1,285.747744510965,94.2916884968933,5.52761146931053e-10,1,0.975444786183206,0
7.875,9712.19855902796,2.12741599199587,9712.5,9718.00051062214,2.12741599199587,2.12741599199587,0,-100.243478809681,24.7092346547199,13,0,21557.8939117168,-22140.2511713884,2.12741599199587,2.31309551548809,2.17221310669189,0.140882408796196,-100.24306805596,1.85010122484238,2.13186604243477,1,285.735145229444,94.265427180705,9.41029245305691e-10,1,0.975315292538759,0
7.89,9710.69490684582,2.12397415902544,9711,9716.49686234211,2.12397415902544,2.12397415902544,0,-100.243555459656,24.7379310541231,6,0,21530.4117358599,-22112.6792796284,2.12397415902544,2.30924780714959,2.16788303202793,0.141364775121661,-100.24312731729,1.84565117440347,2.1283807246468,1,285.722545947954,94.2391658645167,6.17961235474265e-11,1,0.975185793548882,0
7.905,9709.19125351392,2.12053508794549,9709.5,9714.99321305081,2.12053508794549,2.12053508794549,0,-100.243634202109,24.7666619627274,6,0,21502.9475275613,-22085.1253673723,2.12053508794549,2.30541036295337,2.1635838952874,0.141826467665973,-100.243189788375,1.84124460878211,2.12489754411406,1,285.709946666494,94.2129045483285,7.3432622572637e-11,1,0.975056289207016,0
7.92,9707.68759900089,2.11709878042577,9708,9713.48956271233,2.11709878042577,2.11709878042577,0,-100.192264421644,24.7944428725245,4,0,21475.1735726626,-22056.9629606424,2.11709878042577,2.30158420048196,2.15931697358746,0.142267226894501,-100.243255147585,1.83688215261355,2.12141660640255,1,285.697347385066,94.1866432321402,2.46173620749003e-10,1,0.974926779509491,0
7.935,9706.18471503457,2.11366523813333,9706.5,9711.98591129196,2.11366523813333,2.11366523813333,0,-100.102602645859,24.8215092044973,6,0,21447.1713362459,-22028.3500941168,2.11366523813333,2.29777018181102,2.15508333651925,0.142686845291764,-100.243323169304,1.83256432663676,2.11793801722029,1,285.68474810367,94.1603819159519,6.4704678546242e-11,1,0.974797341960842,0
7.95,9704.68317599488,2.1102293836712,9705,9710.48245876691,2.1102293836712,2.1102293836712,0,-100.018354162119,24.8487034688075,6,0,21419.1728297651,-21999.7726229852,2.1102293836712,2.29396901985304,2.15089248046975,0.143076539383281,-100.238147146183,1.8282915475498,2.11444462631636,1,285.672148822305,94.1341205997637,6.86435519229728e-11,1,0.974668034252238,0
7.965,9703.18290068245,2.10678352565665,9703.5,9708.9795021455,2.10678352565665,2.10678352565665,0,-99.9443778415131,24.876145161397,6,0,21391.1413255051,-21971.2220009475,2.10678352565665,2.2901812850056,2.14675473568904,0.143426549316555,-100.22199953727,1.82407630490463,2.11092940353774,1,285.659549540971,94.1078592835754,7.37225458207308e-11,1,0.974538848236857,0
7.98,9701.68373501483,2.10332223899484,9702,9707.47724041883,2.10332223899484,2.10332223899484,0,-99.8839664025618,24.9039182281724,6,0,21363.0502544861,-21942.6907300968,2.10332223899484,2.28640741209689,2.14267253439199,0.143734877704904,-100.193977532453,1.81993042702354,2.10740018243335,1,285.646950259668,94.0815979673872,7.97995875069593e-11,1,0.974409768446983,0
7.995,9700.18547551879,2.09984227297972,9700.5,9705.97578107457,2.09984227297972,2.09984227297972,0,-99.8389381299919,24.9320725392087,6,0,21334.8829365124,-21914.1726316021,2.09984227297972,2.28264770757372,2.13864359520314,0.144004112370581,-100.155933802449,1.81585248358503,2.10386070832619,1,285.634350978398,94.0553366511989,8.6693907535234e-11,1,0.974280774452762,0
8.01,9698.68789144684,2.09634234277162,9699,9704.47515101097,2.09634234277162,2.09634234277162,0,-99.8098022088269,24.9606271533495,6,0,21306.6317515532,-21885.6629841828,2.09634234277162,2.278902356889,2.13466307156064,0.144239285328366,-100.111106012663,1.81183404823856,2.10031261889529,1,285.621751697158,94.0290753350106,9.41993764447828e-11,1,0.974151843083064,0
8.025,9697.1907444137,2.09282283896423,9697.5,9702.97531035418,2.09282283896423,2.09282283896423,0,-99.7959736033864,24.9895748669708,6,0,21278.2969087329,-21857.1585465184,2.09282283896423,2.2751714320659,2.13072500816287,0.144446423903033,-100.063209425268,1.80786377211489,2.09675661992095,1,285.60915241595,94.0028140188223,1.02097577634362e-10,1,0.974022950397543,0
8.04,9695.69380480965,2.08928548849129,9696,9701.47616778363,2.08928548849129,2.08928548849129,0,-99.7960149810494,25.0188875300368,6,0,21249.8849641515,-21828.6574839771,2.08928548849129,2.2714548993875,2.12682331706561,0.144631582321891,-100.015846974364,1.80392999115816,2.09319315580194,1,285.596553134774,93.9765527026341,1.10178144178796e-10,1,0.973894073335217,0
8.055,9694.19686458494,2.08573299687955,9694.5,9699.97759613939,2.08573299687955,2.08573299687955,0,-99.8078857315089,25.0485216618187,6,0,21221.407225835,-21800.1592221006,2.08573299687955,2.2677526271799,2.12295240782271,0.14480021935719,-99.9721440626892,1.80002232384751,2.08962276256189,1,285.583953853629,93.9502913864458,1.18239683079653e-10,1,0.973765190998726,0
8.07,9692.69974629897,2.08216869737414,9693,9698.47944729791,2.08216869737414,2.08216869737414,0,-99.8291814331234,25.0784239671565,6,0,21192.8781651222,-21771.664249585,2.08216869737414,2.26406439364149,2.11910756133001,0.144956832311482,-99.9345462451809,1.79613255816517,2.08604622278813,1,285.571354572517,93.9240300702576,1.26109320930013e-10,1,0.973636285563573,0
8.085,9691.20230857747,2.07859622725303,9691.5,9696.98156553777,2.07859622725303,2.07859622725303,0,-99.8573508204281,25.1085364341005,6,0,21164.3139310501,-21743.1738923444,2.07859622725303,2.26038989470045,2.11528511134834,0.145104783352114,-99.9047361281872,1.79225503275117,2.0824645994554,1,285.558755291435,93.8977687540693,1.33646138517231e-10,1,0.973507342826647,0
8.1,9689.70444831516,2.07501924616435,9690,9695.48379885579,2.07501924616435,2.07501924616435,0,-99.8898811187407,25.1388007783138,6,0,21135.7310398644,-21714.6900780034,2.07501924616435,2.25672875184175,2.11148248252434,0.145246269317406,-99.8836367296291,1.7883866605488,2.07887919918362,1,285.546156010386,93.871507437881,1.40746322640859e-10,1,0.97337835242789,0
8.115,9688.20610009838,2.07144120595394,9688.5,9693.98600792131,2.07144120595394,2.07144120595394,0,-99.9244462628203,25.1691620827534,6,0,21107.145287533,-21686.2151071476,2.07144120595394,2.25308051988178,2.10769812441887,0.145382395462902,-99.871475472187,1.78452670752954,2.07529149845534,1,285.53355672937,93.8452461216928,1.47348846562666e-10,1,0.973249307792721,0
8.13,9686.70723340444,2.0678651765062,9687,9692.48807256015,2.0678651765062,2.0678651765062,0,-99.9590158274887,25.1995715582041,6,0,21078.5709104517,-21657.7514441971,2.0678651765062,2.24944469465678,2.10393137453887,0.145513320117914,-99.8678877944819,1.78067641502813,2.07170305526396,1,285.520957448384,93.8189848055045,1.53428604231399e-10,1,0.973120205851108,0
8.145,9685.20784816703,2.06429372782593,9685.5,9690.98989583246,2.06429372782593,2.06429372782593,0,-99.9919253211851,25.2299884176475,6,0,21050.0199995538,-21629.3015371666,2.06429372782593,2.24582072057948,2.10018227825858,0.145638442320891,-99.8720431133335,1.77683853627038,2.06811542091216,1,285.508358167431,93.7927234893162,1.5900169464853e-10,1,0.972991046592434,0
8.16,9683.70796928721,2.06072886508272,9684,9689.49140590437,2.06072886508272,2.06072886508272,0,-100.021910746784,25.2603809129389,6,0,21021.5021564802,-21600.8676720632,2.06072886508272,2.2422079980534,2.09645138894096,0.145756609112432,-99.8827790919446,1.77301684318415,2.06453006140901,1,285.49575888651,93.766462173128,1.64113669289303e-10,1,0.972861832514406,0
8.175,9682.20764062601,2.05717201069393,9682.5,9687.99255601207,2.05717201069393,2.05717201069393,0,-100.048111989479,25.2907266246052,6,0,20993.0243676802,-21572.4518644597,2.05717201069393,2.23860589069318,2.0927395671151,0.145866323578079,-99.8987331172811,1.76921564685785,2.06094829401401,1,285.48315960562,93.7402008569397,1.68839005037915e-10,1,0.972732568019778,0
8.19,9680.70691894617,2.05362402573361,9681,9686.49332287833,2.05362402573361,2.05362402573361,0,-100.070050656302,25.3210121246464,6,0,20964.59106342,-21544.055788009,2.05362402573361,2.23501373233553,2.08904779333227,0.145965939003263,-99.9184626401001,1.76543936353777,2.05737124154429,1,285.470560324763,93.7139395407515,1.73268030118367e-10,1,0.972603258807904,0
8.205,9679.20586818632,2.05008526197803,9679.5,9684.99370396926,2.05008526197803,2.05008526197803,0,-100.087588513215,25.3512321486125,6,0,20936.2043234551,-21515.6807374255,2.05008526197803,2.23143083381313,2.0853770051922,0.146053828620935,-99.940548584825,1.76169214772709,2.05379980496896,1,285.457961043939,93.6876782245632,1.77502037947868e-10,1,0.972473911299609,0
8.22,9677.70455435862,2.04655563563796,9678,9683.49371397817,2.04655563563796,2.04655563563796,0,-100.100872707893,25.3813884182694,6,0,20907.8641892547,-21487.3276217825,2.04655563563796,2.2278564894656,2.08172796521985,0.146128524245753,-99.963678347484,1.75797760473616,2.05023465322767,1,285.445361763146,93.6614169083749,1.81645230936989e-10,1,0.972344532124616,0
