time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
21.72,9499.90017891309,1.97706509915616,9500,9499.90010463331,1.97706509915616,1.97706509915616,0,0.00216003248924034,21.4862556882661,7,0,19393.6374082128,-19393.6251339579,270.590253824236,81.2261437801657,1.72874586247461e-10,1,0.980329967877147,0
21.735,9499.90021131358,1.97713953183433,9500,9499.90012388384,1.97713953183433,1.97713953183433,0,0.00235952544404291,21.4811429534699,7,0,19393.6049956859,-19393.5915878242,270.574508996396,81.2120387659697,1.73312870084794e-10,1,0.980358493682274,0
21.75,9499.90024670646,1.97721386353269,9500,9499.90014654235,1.97721386353269,1.97721386353269,0,0.00255248536755701,21.4760308551801,7,0,19393.5717881115,-19393.5572837666,270.558764161302,81.1979337453421,1.73753302971849e-10,1,0.98038702229926,0
21.765,9499.90028499374,1.97728809443027,9500,9499.90017250113,1.97728809443027,1.97728809443027,0,0.00273915934612344,21.4709193886726,7,0,19393.5377857351,-19393.5222206265,270.543019318975,81.1838287183093,1.74195434509964e-10,1,0.980415553718346,0
21.78,9499.90032608113,1.97736222472299,9500,9499.900201655,1.97736222472299,1.97736222472299,0,0.00291980124909505,21.4658085489605,7,0,19393.5029888998,-19393.4863973044,270.527274469366,81.1697236848206,1.74639413998377e-10,1,0.980444087930281,0
21.795,9499.90036987815,1.97743625461392,9500,9499.90023390158,1.97743625461392,1.97743625461392,0,0.00309466506162514,21.4606983310036,7,0,19393.4673980063,-19393.4498127577,270.511529612488,81.1556186448915,1.75084491523814e-10,1,0.980472624926094,0
21.81,9499.90041629813,1.97751018430469,9500,9499.90026914161,1.97751018430469,1.97751018430469,0,0.00326399898868697,21.4555887298289,7,0,19393.4310134671,-19393.4124659885,270.495784748341,81.1415135985245,1.75532015279794e-10,1,0.98050116469723,0
21.825,9499.90046525811,1.97758401398846,9500,9499.90030727906,1.97758401398846,1.97758401398846,0,0.00342804161455139,21.4504797406404,7,0,19393.3938356759,-19393.3743560348,270.480039876888,81.1274085456835,1.75981085495253e-10,1,0.980529707235585,0
21.84,9499.90051667874,1.97765774384433,9500,9499.90034822131,1.97765774384433,1.97765774384433,0,0.00358701816011597,21.4453713589463,7,0,19393.355864983,-19393.3354819671,270.464294998165,81.1133034864077,1.76431701645113e-10,1,0.980558252533289,0
21.855,9499.90057048401,1.97773137403369,9500,9499.90039187916,1.97773137403369,1.97773137403369,0,0.00374113821553189,21.4402635805729,7,0,19393.317101671,-19393.2958428769,270.448550112139,81.0991984206642,1.76883863204141e-10,1,0.980586800582948,0
21.87,9499.90062660108,1.97780490469789,9500,9499.90043816684,1.97780490469789,1.97780490469789,0,0.00389059486706849,21.4351564017302,7,0,19393.2775459477,-19393.2554378751,270.432805218796,81.0850933484419,1.77338468291376e-10,1,0.980615351377453,0
21.885,9499.90068496,1.97787833595754,9500,9499.90048700193,1.97787833595754,1.97787833595754,0,0.00403556432307779,21.4300498190199,7,0,19393.2371979409,-19393.2142660879,270.417060318146,81.0709882697521,1.77793718992672e-10,1,0.980643904909956,0
21.9,9499.90074549347,1.97795166791306,9500,9499.90053830524,1.97795166791306,1.97795166791306,0,0.00417620663253632,21.4249438294023,7,0,19393.1960576963,-19393.1723266515,270.401315410152,81.056883184558,1.78251262230426e-10,1,0.980672461173959,0
21.915,9499.90080813657,1.97802490064602,9500,9499.90059200066,1.97802490064602,1.97802490064602,0,0.00431266672782831,21.4198384302054,7,0,19393.1541251874,-19393.1296187161,270.38557049484,81.0427780928903,1.78710797780929e-10,1,0.980701020163102,0
21.93,9499.90087282657,1.97809803422132,9500,9499.90064801498,1.97809803422132,1.97809803422132,0,0.00444507642230365,21.4147336190529,7,0,19393.1114003213,-19393.0861414397,270.3698255722,81.0286729947401,1.79171576432354e-10,1,0.980729581871312,0
21.945,9499.90093950271,1.97817106868991,9500,9499.90070627771,1.97817106868991,1.97817106868991,0,0.00457355588962879,21.4096293938147,7,0,19393.0678829475,-19393.0418939888,270.35408064218,81.0145678900537,1.79634495902837e-10,1,0.980758146292798,0
21.96,9499.90100810605,1.97824400409147,9500,9499.90076672089,1.97824400409147,1.97824400409147,0,0.0046982160591193,21.4045257526068,7,0,19393.0235728783,-19392.9968755455,270.338335704834,81.000462778892,1.80099256119175e-10,1,0.980786713421757,0
21.975,9499.90107857929,1.97831684045731,9500,9499.90082927887,1.97831684045731,1.97831684045731,0,0.00481916041354203,21.3994226936774,7,0,19392.9784698921,-19392.9510853,270.322590760123,80.9863576612151,1.80565856456001e-10,1,0.980815283252732,0
21.99,9499.9011508667,1.97838957781311,9500,9499.90089388819,1.97838957781311,1.97838957781311,0,0.00493648698088308,21.3943202153982,7,0,19392.9325737507,-19392.9045224571,270.30684580804,80.9722525370177,1.81033697726195e-10,1,0.980843855780362,0
22.005,9499.901224914,1.97846221618122,9500,9499.90096048738,1.97846221618122,1.97846221618122,0,0.00505028984843884,21.38921831621,7,0,19392.8858842076,-19392.8571862357,270.291100848559,80.9581474062753,1.81503677247555e-10,1,0.980872430999476,0
22.02,9499.90130066835,1.97853475558279,9500,9499.90102901685,1.97853475558279,1.97853475558279,0,0.00516066062248076,21.3841169946047,7,0,19392.8384010207,-19392.8090758733,270.275355881701,80.9440422690113,1.81975345473647e-10,1,0.980901008904961,0
22.035,9499.90137807826,1.97860719603918,9500,9499.90109941873,1.97860719603918,1.97860719603918,0,0.00526768953009684,21.3790162490776,7,0,19392.7901239555,-19392.7601906224,270.259610907452,80.9299371252132,1.8244870182957e-10,1,0.980929589491911,0
22.05,9499.9014570936,1.97867953757321,9500,9499.90117163683,1.97867953757321,1.97867953757321,0,0.00537146586618131,21.3739160781157,7,0,19392.7410527904,-19392.7105297542,270.243865925798,80.9158319748691,1.82924044887998e-10,1,0.980958172755555,0
22.065,9499.90153766559,1.97875178020997,9500,9499.90124561652,1.97875178020997,1.97875178020997,0,0.00547207909006511,21.368816480184,7,0,19392.6911873234,-19392.6600925583,270.228120936723,80.9017268179646,1.83400925302973e-10,1,0.980986758691265,0
22.08,9499.90161974678,1.97882392397701,9500,9499.90132130469,1.97882392397701,1.97882392397701,0,0.00556961848506242,21.3637174537278,7,0,19392.6405273715,-19392.6088783443,270.212375940231,80.8876216545051,1.83879791171102e-10,1,0.981015347294518,0
22.095,9499.90170329105,1.97889596890449,9500,9499.90139864969,1.97889596890449,1.97889596890449,0,0.00566417328700927,21.3586189971624,7,0,19392.5890727702,-19392.5568864406,270.196630936315,80.8735164844857,1.84360791341554e-10,1,0.981043938560946,0
22.11,9499.90178825365,1.97896791502479,9500,9499.9014776013,1.97896791502479,1.97896791502479,0,0.00575583286259621,21.3535211088815,7,0,19392.5368233741,-19392.5041161941,270.180885924967,80.8594113079013,1.84842878540625e-10,1,0.981072532486318,0
22.125,9499.90187459115,1.97903976237214,9500,9499.90155811075,1.97903976237214,1.97903976237214,0,0.0058446859115031,21.3484237872619,7,0,19392.4837790522,-19392.4505669697,270.165140906172,80.8453061247365,1.85327846278494e-10,1,0.981101129066561,0
22.14,9499.90196226144,1.97911151098209,9500,9499.9016401306,1.97911151098209,1.97911151098209,0,0.00593082049013828,21.3433270306789,7,0,19392.4299396883,-19392.3962381508,270.149395879928,80.8312009349928,1.85813600949107e-10,1,0.981129728297709,0
22.155,9499.90205122374,1.97918316089074,9500,9499.90172361483,1.97918316089074,1.97918316089074,0,0.00601432355770066,21.338230837513,7,0,19392.3753051763,-19392.3411291372,270.13365084623,80.8170957386664,1.86302085219868e-10,1,0.981158330175938,0
22.17,9499.9021414386,1.97925471213419,9500,9499.90180851878,1.97925471213419,1.97925471213419,0,0.00609528034912031,21.3331352061558,7,0,19392.3198754157,-19392.2852393441,270.117905805054,80.8029905357348,1.86791654322681e-10,1,0.981186934697596,0
22.185,9499.9022328678,1.97932616474773,9500,9499.90189479911,1.97932616474773,1.97932616474773,0,0.00617377404850111,21.3280401350397,7,0,19392.2636503111,-19392.2285682033,270.102160756414,80.7888853262152,1.87283204425917e-10,1,0.981215541859091,0
