time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
111.675,9492.59099573227,1.10504730534612,9500,9492.60411557346,12.9745923805642,1.10504730534612,0,-0.227078817669648,12.6293469291817,2,0,10736.0647124808,-10737.354081422,1.10504730534612,1.10510514063654,1.10510510420457,3.64319709955652e-08,-0.226414395896368,-5.79081543586792e-05,1.10504730534612,0,219.455774139497,37.5898074200686,2.61017281951658e-10,1,1.08772866795712,1
111.69,9492.58758955001,1.10504732177536,9500,9492.60071540262,12.9802256376089,1.10504732177536,0,-0.227182863112979,12.6293489477929,2,0,10736.06405428,-10737.3540135355,1.10504732177536,1.10510514063654,1.10510510418714,3.64493955018474e-08,-0.226518138134859,-5.78917599717312e-05,1.10504732177536,0,219.455774139497,37.5898074200686,2.61146633248735e-10,1,1.08772827765251,1
111.705,9492.58418180706,1.10504733821455,9500,9492.59731367384,12.9858614843439,1.10504733821455,0,-0.227286954652131,12.6293509672616,2,0,10736.0633957893,-10737.3539456201,1.10504733821455,1.10510514063654,1.10510510416866,3.64678760522708e-08,-0.226621927635391,-5.78753577437554e-05,1.10504733821455,0,219.455774139497,37.5898074200686,2.61282029008303e-10,1,1.08772788716905,1
111.72,9492.58077250274,1.10504735465994,9500,9492.59391038642,12.9914999219557,1.10504735465994,0,-0.227391094861928,12.6293529876915,2,0,10736.0627369906,-10737.3538776724,1.10504735465994,1.10510514063654,1.10510510415124,3.6485300558553e-08,-0.226725764458144,-5.78589471995319e-05,1.10504735465994,0,219.455774139497,37.5898074200686,2.61389166903997e-10,1,1.08772749650669,1
111.735,9492.57736163632,1.10504737111212,9500,9492.59050553964,12.9971409516311,1.10504737111212,0,-0.227495283325198,12.6293550090688,2,0,10736.0620778867,-10737.3538096929,1.10504737111212,1.10510514063654,1.10510510413434,3.65021970427648e-08,-0.226829648544191,-5.78425288142805e-05,1.10504737111212,0,219.455774139497,37.5898074200686,2.6150219815065e-10,1,1.08772710566533,1
111.75,9492.57394920707,1.10504738757331,9500,9492.5870991328,13.0027845745579,1.10504738757331,0,-0.227599518619912,12.6293570313315,2,0,10736.0614184877,-10737.3537416835,1.10504738757331,1.10510514063654,1.10510510411674,3.65197974083742e-08,-0.226933579953221,-5.78261028256113e-05,1.10504738757331,0,219.455774139497,37.5898074200686,2.6163351389695e-10,1,1.08772671464489,1
111.765,9492.57053521429,1.10504740404453,9500,9492.58369116517,13.0084307919242,1.10504740404453,0,-0.227703800074717,12.6293590544508,2,0,10736.0607587984,-10737.3536736453,1.10504740404453,1.10510514063654,1.10510510409808,3.65384540401692e-08,-0.227037558864578,-5.78096689167775e-05,1.10504740404453,0,219.455774139497,37.5898074200686,2.61743674023203e-10,1,1.08772632344528,1
111.78,9492.56711965729,1.10504742052204,9500,9492.58028163605,13.0140796049186,1.10504742052204,0,-0.227808130194955,12.6293610785315,2,0,10736.0600988012,-10737.3536055749,1.10504742052204,1.10510514063654,1.10510510408048,3.65560544057786e-08,-0.227141585243899,-5.77932266124594e-05,1.10504742052204,0,219.455774139497,37.5898074200686,2.61857611938425e-10,1,1.08772593206644,1
111.795,9492.56370253534,1.10504743701133,9500,9492.57687054473,13.0197310147304,1.10504743701133,0,-0.227912505272407,12.6293631034219,2,0,10736.0594385219,-10737.3535374771,1.10504743701133,1.10510514063654,1.10510510406095,3.65755910003429e-08,-0.227245659022626,-5.77767763879768e-05,1.10504743701133,0,219.455774139497,37.5898074200686,2.62014163315893e-10,1,1.08772554050828,1
111.81,9492.56028384776,1.10504745350766,9500,9492.57345789049,13.0253850225492,1.10504745350766,0,-0.22801692869134,12.6293651292531,2,0,10736.0587779374,-10737.3534693478,1.10504745350766,1.10510514063654,1.10510510404229,3.65942476321379e-08,-0.227349780159176,-5.77603173720267e-05,1.10504745350766,0,219.455774139497,37.5898074200686,2.62101807817478e-10,1,1.08772514877071,1
111.825,9492.55686359383,1.10504747001063,9500,9492.57004367264,13.031041629565,1.10504747001063,0,-0.228121400575952,12.6293671560383,2,0,10736.0581170461,-10737.3534011864,1.10504747001063,1.10510514063654,1.10510510402451,3.6612024079119e-08,-0.227453948485185,-5.77438499605922e-05,1.10504747001063,0,219.455774139497,37.5898074200686,2.62229950219336e-10,1,1.08772475685366,1
111.84,9492.55344177282,1.1050474865237,9500,9492.56662789047,13.0367008369686,1.1050474865237,0,-0.228225918661184,12.6293691836816,2,0,10736.0574558643,-10737.3533329961,1.1050474865237,1.10510514063654,1.10510510400568,3.66308565702411e-08,-0.227558164041678,-5.77273745497566e-05,1.1050474865237,0,219.455774139497,37.5898074200686,2.62362172633246e-10,1,1.08772436475705,1
111.855,9492.55001838404,1.10504750304208,9500,9492.56321054325,13.0423626459513,1.10504750304208,0,-0.228330486289038,12.629371212316,2,0,10736.0567943686,-10737.3532647726,1.10504750304208,1.10510514063654,1.10510510398843,3.66481049951517e-08,-0.227662426996682,-5.77108906643e-05,1.10504750304208,0,219.455774139497,37.5898074200686,2.62453746034848e-10,1,1.08772397248079,1
111.87,9492.54659342674,1.10504751956999,9500,9492.55979163029,13.0480270577049,1.10504751956999,0,-0.228435100494155,12.6293732418262,2,0,10736.0561325794,-10737.3531965194,1.10504751956999,1.10510514063654,1.10510510397031,3.66662336048762e-08,-0.227766737213537,-5.76943990170522e-05,1.10504751956999,0,219.455774139497,37.5898074200686,2.62572519518566e-10,1,1.08772358002479,1
111.885,9492.54316690024,1.10504753610746,9500,9492.55637115086,13.053694073422,1.10504753610746,0,-0.228539761320248,12.6293752722102,2,0,10736.0554704969,-10737.353128237,1.10504753610746,1.10510514063654,1.10510510395147,3.66850660959983e-08,-0.227871094943358,-5.767789921193e-05,1.10504753610746,0,219.455774139497,37.5898074200686,2.62750377625297e-10,1,1.08772318738899,1
111.9,9492.53973880382,1.10504755264918,9500,9492.55294910426,13.0593636942954,1.10504755264918,0,-0.228644472540964,12.6293773036163,2,0,10736.0548080946,-10737.3530599203,1.10504755264918,1.10510514063654,1.10510510393475,3.67017864988384e-08,-0.227975500195308,-5.76613909321868e-05,1.10504755264918,0,219.455774139497,37.5898074200686,2.62848297711954e-10,1,1.08772279457329,1
111.915,9492.53630913673,1.10504756919913,9500,9492.54952548977,13.0650359215185,1.10504756919913,0,-0.228749231274321,12.6293793359363,2,0,10736.0541453923,-10737.3529915727,1.10504756919913,1.10510514063654,1.10510510391768,3.67188590644218e-08,-0.228079952784088,-5.76448751282623e-05,1.10504756919913,0,219.455774139497,37.5898074200686,2.62944555571108e-10,1,1.08772240157761,1
111.93,9492.53287789826,1.10504758575958,9500,9492.54610030668,13.0707107562856,1.10504758575958,0,-0.228854036119133,12.6293813691062,2,0,10736.0534824002,-10737.3529231965,1.10504758575958,1.10510514063654,1.1051051038992,3.67373396148452e-08,-0.228184453074453,-5.76283516416833e-05,1.10504758575958,0,219.455774139497,37.5898074200686,2.6306680461973e-10,1,1.08772200840188,1
111.945,9492.52944508772,1.10504760232728,9500,9492.54267355426,13.0763881997914,1.10504760232728,0,-0.228958889222628,12.6293834032156,2,0,10736.0528191033,-10737.3528547888,1.10504760232728,1.10510514063654,1.10510510388125,3.67552921431979e-08,-0.228289001192209,-5.76118198388566e-05,1.10504760232728,0,219.455774139497,37.5898074200686,2.63231213795554e-10,1,1.087721615046,1
