accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,2.4853048867685,21.3566132514043,51.4922630832394,5.97568711731296,2.10084603434189,0,2.18875575655244,0.583170316144641,4.57755634323297,2.37,0,6,NaN,3,5000,0,BasePI,0.025,0.05,14468.0677472754,1446.80677472754,4.0864869,0,255.676800657237,53.1431818867567,0,0
1,2.5726362425551,13.2670968819893,129.513904249567,6.05055582639738,2.09698102836812,0,3.59103464803766,0.61801111927148,10.334908695584,Inf,0,6,NaN,3,5000,0,InvGPR_PI_GPRFF,2,30,14468.0677472754,1446.80677472754,235.8327169,0,255.676800657237,53.1431818867567,4.7777337641719e-12,0.449925012497917
1,3.52902427281155,29.9748230591213,76.20582694909,12.4921994078824,2.9716145585136,0,2.55390917891044,0.806780795705108,6.59737296900487,2.7,0,6,NaN,6,0,-10,BasePI,0.025,0.05,21712.2120200638,2171.22120200638,3.4539031,0,278.150030372126,99.2988461167942,0,0
1,2.09069410623723,18.6751610986175,55.3616432182371,11.6642298959152,3.05227157877812,0,5.59825815090375,0.90098956768692,14.4211357347798,3.45,0,6,NaN,6,0,-10,InvGPR_PI_GPRFF,2,30,21712.2120200638,2171.22120200638,29.2060957,0,278.150030372126,99.2988461167942,2.66098254542158e-12,0.599900016663889
1,1.86041726053189,16.4171950052551,37.6011857278469,1.86001403520606,1.59796010103828,0,1.86861348725269,0.442177030073981,3.52182588631954,2.19,0,6,NaN,9,7500,-10,BasePI,0.025,0.05,10985.0365037909,1098.50365037909,4.2438573,100,229.455959192693,37.5898074200669,0,0
1,31.1000187221633,78.3121389362768,2030.32411654464,2.21845409991258,1.5807298219919,0,2.41697545723133,0.440432000143423,7.01891752969002,Inf,0,6,NaN,9,7500,-10,InvGPR_PI_GPRFF,2,30,10985.0365037909,1098.50365037909,21.2213488,100,229.455959192693,37.5898074200669,3.22164517285728e-12,0.399933344442593
1,2.51663601664706,21.6263418082963,53.4226224504186,13.4390631470848,2.0918889672389,0,1.99785159041078,0.582000166894866,4.73341331076567,2.47499999999999,0,6,NaN,12,2500,10,BasePI,0.025,0.05,15334.0819313996,1533.40819313996,4.4997412,0,281.907863287707,73.4491842176651,0,0
1,1.72688821438945,13.4604986472859,54.1965386278944,12.9341380653349,2.12722704367043,0,3.78138655832963,0.630499057594376,10.11887244492,4.41,0,6,NaN,12,2500,10,InvGPR_PI_GPRFF,2,30,15334.0819313996,1533.40819313996,22.317034,0,281.907863287707,73.4491842176651,3.12705417115922e-12,0.499916680553241
1,1.31993162253781,11.5610137595795,26.748501165995,1.67452427551638,1.12983785653279,0,1.30109938145904,0.313601626128937,2.46975938979777,2.04000000000001,0,6,NaN,15,10000,10,BasePI,0.025,0.05,7694.94219955007,769.494219955007,3.2278557,100,233.251835360744,26.113108584684,0,0
1,21.6873398875559,44.6897708699216,1461.99116108226,2.01450128163417,1.11828426493685,0,1.74286762414552,0.314290695114524,5.04957288042944,Inf,0,6,NaN,15,10000,10,InvGPR_PI_GPRFF,2,30,7694.94219955007,769.494219955007,832.2854871,100,233.251835360744,26.113108584684,2.57160959193925e-12,0
1,2.00832240816931,17.2684504006083,42.2220237082167,11.5569879146513,1.66941551368692,0,1.65625211480013,0.466532361724508,3.73519441284074,2.34,0,6,NaN,18,5000,20,BasePI,0.025,0.05,11974.0025470369,1197.4002547037,3.3893192,0,275.676843658552,53.1431818867567,0,0
1,1.55211974043538,10.614908551619,56.3945856003361,11.3014195154398,1.68435637882379,0,2.92136525725242,0.499299251426903,8.06747858154603,Inf,0,6,NaN,18,5000,20,InvGPR_PI_GPRFF,2,30,11974.0025470369,1197.4002547037,22.5556874,0,275.676843658552,53.1431818867567,2.95363733471277e-12,0.399933344442593
1,4.0069382074218,33.7859373987449,86.5909171309434,9.49753779512113,3.41222310560216,0,2.86629041663119,0.915235864715356,7.4080984695188,2.76000000000001,0,6,NaN,21,0,-20,BasePI,0.025,0.05,24347.1596241866,2434.71596241866,3.084932,0,268.144318948034,99.2913315901659,0,0
