time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid
96.06,9507.25130259369,1.05403378863334,9508.4301617277,9509.84691299448,1.05403378863334,1.05403378863334,0,-44.2142164609566,32.0773084250926,8,0,11737.4020197281,-11988.8410644464,301.907846138218,73.449184217667,2.11160067408852e-10,1
96.075,9506.58808934677,1.05341710510923,9507.76471222027,9509.17422811398,1.05341710510923,1.05341710510923,0,-44.0137280888147,32.0799438138974,8,0,11731.5441202874,-11981.8255597816,301.907846138218,73.449184217667,2.15163946110971e-10,1
96.09,9505.92788342544,1.052805565402,9507.10174477635,9508.50399792573,1.052805565402,1.052805565402,0,-43.8460080050853,32.0824881751683,8,0,11725.5351058773,-11974.8455000082,301.907846138218,73.449184217667,2.1904655939694e-10,1
96.105,9505.27019330536,1.05219594437169,9506.44127504784,9507.83636565154,1.05219594437169,1.05219594437169,0,-43.6792708255883,32.0850376838867,8,0,11719.5471284725,-11967.8922638884,301.907846138218,73.449184217667,2.23141840681726e-10,1
96.12,9504.61500424298,1.05158909583756,9505.7833185776,9507.17131001088,1.05158909583756,1.05158909583756,0,-43.5351435169408,32.0875607997898,8,0,11713.4582145976,-11960.9668305815,301.907846138218,73.449184217667,2.27293404804168e-10,1
96.135,9503.96197709023,1.05098585547494,9505.12789079885,9506.5088114173,1.05098585547494,1.05098585547494,0,-43.3683205989658,32.0900295501284,8,0,11707.5234205751,-11954.0666646298,301.907846138218,73.449184217667,2.31595725140037e-10,1
96.15,9503.31145228124,1.0503891855556,9504.47500703465,9505.84876746601,1.0503891855556,1.0503891855556,0,-43.1994262152179,32.0923537863363,8,0,11701.6322703205,-11947.1985622298,301.907846138218,73.449184217667,2.35802973544136e-10,1
96.165,9502.66346088801,1.04979921948816,9503.82468249743,9505.19119051944,1.04979921948816,1.04979921948816,0,-43.0283980166113,32.0945297816213,8,0,11695.7855582239,-11940.3629658329,301.907846138218,73.449184217667,2.4003852370827e-10,1
96.18,9502.01803491776,1.04921596690843,9503.17693228842,9504.53609778883,1.04921596690843,1.04921596690843,0,-42.855255351319,32.0965578034842,8,0,11689.9834795738,-11933.5601832213,301.907846138218,73.449184217667,2.44302192484486e-10,1
96.195,9501.37520608749,1.04863933570287,9502.53177139713,9503.88351032001,1.04863933570287,1.04863933570287,0,-42.68008386199,32.0984413855853,8,0,11684.2257321503,-11926.7904013713,301.907846138218,73.449184217667,2.48593025534895e-10,1
96.21,9500.73500482956,1.04806915618149,9501.88921470089,9503.23345192435,1.04806915618149,1.04806915618149,0,-42.5030188642074,32.1001865337444,8,0,11678.5116294018,-11920.0537050194,301.907846138218,73.449184217667,2.52911414426077e-10,1
96.225,9500.0974595466,1.04750520556209,9501.2492769643,9502.58594812915,1.04750520556209,1.04750520556209,0,-42.3242287228055,32.1018009255271,8,0,11672.8402163272,-11913.3500979668,301.907846138218,73.449184217667,2.57255824397992e-10,1
