test_time_s,branch,speed_rpm,acceleration_rpm_s,temperature_K,pressure_kPa,strict_box_outside,box_outside,hull_excess,kernel_NN_distance,covered
28.935,3,9400.45123409361,0,256.125435842885,54.3705898374507,0,0,-0.75495005820175,0.0698724922934489,1
28.95,3,9400.45116718695,0,256.11920479865,54.3535425048022,0,0,-0.754667186534358,0.069450069273644,1
28.965,3,9400.45110555455,0,256.112973754415,54.3364951721536,0,0,-0.754384314866962,0.0690310306606215,1
28.98,3,9400.45104901547,0,256.106742710179,54.3194478395051,0,0,-0.754101443199588,0.068615438152336,1
28.995,3,9400.45099739243,0,256.100511665943,54.3024005068565,0,0,-0.753818571532216,0.0682033544409113,1
29.01,3,9400.45095051297,0,256.094280621707,54.285353174208,0,0,-0.753535699864845,0.06779484321285,1
29.025,3,9400.4509082104,0,256.08804957747,54.2683058415594,0,0,-0.753252828197488,0.067389969147523,1
29.04,3,9400.45087032442,0,256.081818533233,54.2512585089109,0,0,-0.752969956530143,0.0669887979138488,1
29.055,3,9400.45083670165,0,256.075587488996,54.2342111762623,0,0,-0.75268708486279,0.0665913961649368,1
29.07,3,9400.45080719575,0,256.069356444758,54.2171638436138,0,0,-0.752404213195456,0.0661978315305566,1
29.085,3,9400.45078166749,0,256.06312540052,54.2001165109652,0,0,-0.752121341528127,0.0658081726076217,1
29.1,3,9400.45075998452,0,256.056894356282,54.1830691783167,0,0,-0.751838469860805,0.0654224889482706,1
29.115,3,9400.45074202106,0,256.050663312044,54.1660218456681,0,0,-0.751555598193484,0.0650408510457783,1
29.13,3,9400.45072765749,0,256.044432267806,54.1489745130196,0,0,-0.751272726526164,0.0646633303180865,1
29.145,3,9400.4507167798,0,256.038201223566,54.131927180371,0,0,-0.750989854858865,0.0642899990890158,1
29.16,3,9400.45070927914,0,256.031970179327,54.1148798477225,0,0,-0.750706983191565,0.063920930567053,1
29.175,3,9400.45070505119,0,256.025739135088,54.0978325150739,0,0,-0.750424111524266,0.0635561988216324,1
29.19,3,9400.45070399573,0,256.019508090849,54.0807851824254,0,0,-0.750141239856978,0.0631958787569444,1
29.205,3,9400.45070601612,0,256.013277046608,54.0637378497768,0,0,-0.749858368189715,0.0628400460831003,1
29.22,3,9400.45071101887,0,256.007046002369,54.0466905171283,0,0,-0.749575496522424,0.0624887772847711,1
29.235,3,9400.45071891335,0,256.000814958128,54.0296431844798,0,0,-0.749292624855176,0.0621421495868063,1
29.25,3,9400.45072961142,0,255.994583913888,54.0125958518312,0,0,-0.749009753187899,0.0618002409174193,1
29.265,3,9400.45074302726,0,255.988352869646,53.9955485191827,0,0,-0.748726881520662,0.0614631298680312,1
29.28,3,9400.4507590772,0,255.982121825405,53.9785011865341,0,0,-0.748444009853409,0.0611308956505491,1
29.295,3,9400.45077767961,0,255.975890781163,53.9614538538856,0,0,-0.748161138186172,0.0608036180511432,1
29.31,3,9400.45079875482,0,255.969659736921,53.944406521237,0,0,-0.747878266518944,0.0604813773811555,1
29.325,3,9400.45082222512,0,255.96342869268,53.9273591885885,0,0,-0.747595394851714,0.0601642544245913,1
29.34,3,9400.45084801476,0,255.957197648437,53.9103118559399,0,0,-0.747312523184497,0.059852330382284,1
29.355,3,9400.45087604995,0,255.950966604194,53.8932645232914,0,0,-0.747029651517291,0.0595456868127238,1
29.37,3,9400.45090625892,0,255.944735559951,53.8762171906429,0,0,-0.746746779850086,0.0592444055693917,1
29.385,3,9400.45093857191,0,255.938504515708,53.8591698579943,0,0,-0.746463908182879,0.0589485687345574,1
29.4,3,9400.45097292125,0,255.932273471465,53.8421225253457,0,0,-0.746181036515696,0.0586582585496109,1
29.415,3,9400.45100924132,0,255.926042427221,53.8250751926972,0,0,-0.745898164848519,0.0583735573418962,1
29.43,3,9400.4510474686,0,255.919811382977,53.8080278600487,0,0,-0.745615293181327,0.058094547447879,1
29.445,3,9400.45108754165,0,255.913580338732,53.7909805274001,0,0,-0.745332421514164,0.0578213111329371,1
29.46,3,9400.45112940109,0,255.907349294488,53.7739331947515,0,0,-0.745049549846999,0.0575539305076854,1
