time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
76.365,9543.00066504429,1.95472441948161,9545.4,9545.31027311137,2.14667674044348,1.95472441948161,0,-39.9838295468013,18.7651181910149,10,0,18944.1134882988,-19172.3500166338,1.95472441948161,2.01779207316258,1.95508475335964,0.06270731980294,-39.8514557407606,-0.142654752986465,1.95472441948161,0,261.330183265569,71.3003946417457,3.23629948515031e-10,1,1.00207327444962,0,0.0897766055455106,0.0795870993054961,0.00113931152924593,0.00161890001505823,0,2727.5,-9.09
76.38,9542.40090760109,1.95357221485194,9544.8,9544.71170931069,2.1469439271756,1.95357221485194,0,-40.0032770408312,18.7724921755613,10,0,18934.3687705509,-19162.7019583156,1.95357221485194,2.01650011098034,1.95376351962732,0.0627365913530218,-39.8722299925769,-0.142520088078147,1.95357221485194,0,261.323946023128,71.2768933937552,3.29946327678492e-10,1,1.00202225410767,0,0.0883385999559162,0.0795921919497484,0.00114743532882856,0.00161882170814325,0,2730,-9.08000000000001
76.395,9541.80085844548,1.95242072359748,9544.2,9544.11283616262,2.14721789230624,1.95242072359748,0,-40.0223325522895,18.7798619685253,10,0,18924.6275234919,-19153.0551125074,1.95242072359748,2.01520341334285,1.95243741203479,0.0627660013080549,-39.8929447938873,-0.142387580178213,1.95242072359748,0,261.317708776601,71.2533921455771,3.36389466343529e-10,1,1.00197120206619,0,0.0872102893129399,0.0796048904328461,0.00115556962688721,0.00161874124956279,0,2732.5,-9.07
76.41,9541.20052345719,1.95127011437403,9543.6,9543.5136582375,2.14749875178732,1.95127011437403,0,-40.0408887436546,18.7872247682398,10,0,18914.8905491764,-19143.4096692259,1.95127011437403,2.01390198032215,1.95110657825324,0.0627954020689043,-39.9135036511608,-0.142256764744244,1.95127011437403,0,261.311471525985,71.2298908972131,3.42971195222617e-10,1,1.00192011894146,0,0.0863870858813888,0.0796248987961236,0.00116370982099621,0.00161865857307321,0,2735,-9.06
76.425,9540.59991012604,1.95012059789288,9543,9542.914180445,2.14778660952572,1.95012059789288,0,-40.0588115205149,18.7945770697917,10,0,18905.1588498488,-19133.7658661756,1.95012059789288,2.01259581492215,1.94977112518738,0.0628246897347651,-39.9338391365072,-0.142127184115422,1.95012059789288,0,261.305234271276,71.2063896486636,3.49698763833431e-10,1,1.00186900551887,0,0.0858640570143783,0.0796519670861536,0.00117185131513136,0.00161857361208113,0,2737.5,-9.05
76.44,9539.99902795323,1.94897238084156,9542.4,9542.31440836346,2.14808154876578,1.94897238084156,0,-40.0759705352931,18.8019154285245,10,0,18895.4334134375,-19124.1239483676,1.94897238084156,2.0112849230873,1.94843114991173,0.0628537731755721,-39.9538928126824,-0.1419983880299,1.94897238084156,0,261.298997012481,71.1828883999381,3.56571921686478e-10,1,1.00181786279505,0,0.0856356110257252,0.0796858457841637,0.00117998952362467,0.00161848629972629,0,2740,-9.04
76.455,9539.3978883952,1.94782563212543,9541.8,9541.7143485879,2.14838362275109,1.94782563212543,0,-40.0922613440323,18.8092370211339,10,0,18885.7150555969,-19114.4841365823,1.94782563212543,2.00996931368927,1.94708675938188,0.0628825543073894,-39.9736025674393,-0.141869934613361,1.94782563212543,0,261.292759749577,71.1593871510187,3.63587639526939e-10,1,1.00176669197206,0,0.0856951389767544,0.0797262530495248,0.0011881198750008,0.0016183965689624,0,2742.5,-9.03
76.47,9538.79650447504,1.94668046595305,9541.2,9541.11400897321,2.14869284778525,1.94668046595305,0,-40.1076163097473,18.8165399284741,10,0,18876.004339762,-19104.8466095794,1.94668046595305,2.00864899850601,1.94573807826673,0.0629109202392808,-39.9928976790108,-0.141741391904896,1.94668046595305,0,261.286522482576,71.1358859019221,3.70741081025212e-10,1,1.00171549441648,0,0.0860347714399423,0.0797728593519411,0.00119623781589572,0.00161830435264143,0,2745,-9.02
76.485,9538.19489023039,1.94553694050305,9540.6,9540.5133987137,2.14900920026783,1.94553694050305,0,-40.1220051742996,18.82382315993,10,0,18866.3015696559,-19095.2114997888,1.94553694050305,2.00732399221321,1.94438524710921,0.0629387451040058,-40.0117001182372,-0.141612339747736,1.94553694050305,0,261.28028521146,71.1123846526333,3.78027964313004e-10,1,1.00166427160152,0,0.0866453034882143,0.0798252880375767,0.00120433881485889,0.00161820958359622,0,2747.5,-9.01
76.5,9537.59306015278,1.94439506748503,9540,9539.9125282589,2.14933261782816,1.94439506748503,0,-40.1354284649311,18.8310864965665,10,0,18856.606832732,-19085.5788990569,1.94439506748503,2.00599431236486,1.94302841451385,0.0629658978510057,-40.0299296323116,-0.141482371792504,1.94439506748503,0,261.27404793624,71.0888834031677,3.85443867406793e-10,1,1.00161302504813,0,0.0875162747654077,0.079883126912676,0.00121241836617715,0.00161811219472482,0,2750,-9
76.515,9536.99102872581,1.94325482712879,9539.4,9539.31140910585,2.1496630036572,1.94325482712879,0,-40.1479073856894,18.838330243313,10,0,18846.9200692037,-19075.9488699435,1.94325482712879,2.00465997936593,1.9416677273279,0.0629922520380251,-40.047510067131,-0.141351097380356,1.94325482712879,0,261.267810656913,71.0653821535264,3.92988536052277e-10,1,1.00156175627648,0,0.0886361708308968,0.0799459451432178,0.00122047199360933,0.00161801211907498,0,2752.5,-8.99
76.53,9536.38881011502,1.94211618445856,9538.8,9538.7100535256,2.15000023266828,1.94211618445856,0,-40.1594729468551,18.8455549589891,10,0,18837.2411474341,-19066.3214590588,1.94211618445856,2.00332101647124,1.94030332185645,0.0630176946147822,-40.0643749299269,-0.14121814312411,1.94211618445856,0,261.261573373458,71.0418809036918,4.00662827662142e-10,1,1.00151046677347,0,0.0899927187266062,0.0800133111114292,0.00122849525416818,0.00161790928992922,0,2755,-8.98
76.545,9535.78641802082,1.94097910127348,9538.2,9538.10847428021,2.15034415810343,1.94097910127348,0,-40.1701580075504,18.8527612571452,10,0,18827.5699196276,-19056.6967073447,1.94097910127348,2.00197744972977,1.93893531801804,0.0630421317117305,-40.0804710116201,-0.14108315404602,1.94097910127348,0,261.255336085893,71.0183796536875,4.08468155761676e-10,1,1.00145915797712,0,0.0915731414370888,0.0800848055897306,0.00123648374177087,0.00161780364088876,0,2757.5,-8.97
76.56,9535.1838656507,1.93984354442621,9537.6,9537.50668437488,2.1506946174576,1.93984354442621,0,-40.1799918168417,18.8599496679999,10,0,18817.9062604621,-19047.0746575684,1.93984354442621,2.00062930798285,1.93756381709895,0.0630654908839008,-40.0957596602341,-0.140945794333864,1.93984354442621,0,261.2490987942,70.9948784034976,4.16407741071341e-10,1,1.00140783127386,0,0.0933644233998373,0.0801600307772313,0.00124443309086071,0.00161769510596017,0,2760,-8.96
