method,profile_error,rmse_replay,ringing_replay,proportional_error,integrator_error
BasePI,1.8189894035458565e-12,0.8577830144572166,1.3696715323426085,,
R3,1.8189894035458565e-12,1.3971540676140468,0.6667531011390395,1.5057399771478686e-14,9.846639427218626e-16
