method,accepted,rmse_rpm,ramp_rmse_rpm,hold_rmse_rpm,peak_error_rpm,iae_rpm_s,segment_excess_TV_lbm_s,hold_excess_TV_lbm_s,max_recovery_1pct_s,holds_not_recovered,minimum_SM_percent,fuel_peak_lbm_s,max_fuel_slew_lbm_s2,Nc_outside_percent,fallback_percent,gp_outside_percent
BasePI,1,0.857783014457334,1.23463668121379,0.583259544279259,3.76031834838795,82.8102876766896,1.36967153234262,0.891616279253572,0,0,11.2979925119509,2.61299476590604,1.07092695779996,0,NaN,NaN
R3,1,1.39715406761413,2.22055683240908,0.676454800582429,4.03334915377491,100.620417125311,0.666753101139086,0.537293546985194,0,0,11.2872504602774,2.61557926438703,1.13903854429142,0,0,0
