method,query_count,strict_box_outside_percent,box_outside_percent,hull_outside_percent,max_hull_excess,covered_all,NN_distance_max,training_LOO_NN95,NN_above_training95_percent
BasePI,24003,0,0,0.116652085156022,0.0807666315673403,0,0.449140157740112,0.185105949096101,64.4502770487022
R3,24003,0,0,0.0249968753905762,0.0069152913719428,0,0.449140157740112,0.185105949096101,64.5335999666708
