time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
5.535,9935.65127074803,2.66049841127949,9935.8,9942.66231803766,2.66049841127949,2.66049841127949,0,-123.694321188121,21.2694517744763,8,0,25944.0456744972,-26679.1718938352,287.722008504427,99.298846116789,3.57607636893464e-10,1,0.994303825180284,0,0,-20
5.55,9933.7958559302,2.65649247044045,9934,9940.84531749446,2.65649247044045,2.65649247044045,0,-123.718160324095,21.30078927554,8,0,25914.2205746694,-26649.3511658438,287.710008518025,99.298846116789,4.92832407040059e-10,1,0.994138877181759,0,0,-20
5.565,9931.94008352534,2.65275209035236,9932.2,9939.01836141182,2.65275209035236,2.65275209035236,0,-123.566950267542,21.3289536436452,8,0,25885.6147131949,-26619.7096526786,287.698008531645,99.298846116789,6.02703319865856e-10,1,0.99397388694888,0,0,-20
5.58,9930.08657927133,2.64922157204528,9930.4,9937.18393721906,2.64922157204528,2.64922157204528,0,-123.298280692274,21.35458078611,8,0,25858.0125673821,-26590.3746770457,287.686008545288,99.298846116789,7.87126079865634e-10,1,0.993809117264264,0,0,-20
5.595,9928.23710506095,2.64584244074715,9928.6,9935.34456818993,2.64584244074715,2.64584244074715,0,-122.933926009258,21.378431028148,8,0,25831.1879948835,-26561.2499263895,287.674008558951,99.298846116789,9.33006640139752e-10,1,0.993644744476506,0,0,-20
5.61,9926.39309617081,2.64255933999776,9926.8,9933.50258027677,2.64255933999776,2.64255933999776,0,-122.529399074746,21.4011950983246,9,0,25804.7819251462,-26532.3063605921,287.662008572638,99.298846116789,1.86577501853571e-10,1,0.993480912259598,0,0,-20
5.625,9924.55515518469,2.63932103054838,9925,9931.66006860216,2.63932103054838,2.63932103054838,0,-122.107927105219,21.4235082709613,9,0,25778.6181149674,-26503.5057966425,287.650008586345,99.298846116789,2.13079023725298e-10,1,0.993317680957908,0,0,-20
5.64,9922.72353627811,2.63608452443987,9923.2,9929.8187414786,2.63608452443987,2.63608452443987,0,-121.690976326157,21.4459037676883,9,0,25752.5331281127,-26474.8122777721,287.638008600074,99.298846116789,2.3929423951841e-10,1,0.993155076049017,0,0,-20
5.655,9920.89817163321,2.63281512238122,9921.4,9927.97993036083,2.63281512238122,2.63281512238122,0,-121.304715395844,21.4688111374981,9,0,25726.3384622606,-26446.1925688545,287.626008613827,99.298846116789,2.64371904577762e-10,1,0.992993090783977,0,0,-20
5.67,9919.07860090228,2.62948633532178,9919.6,9926.14460406458,2.62948633532178,2.62948633532178,0,-120.965109816917,21.4925563392364,9,0,25699.9078103432,-26417.6149507733,287.6140086276,99.298846116789,2.88252945224745e-10,1,0.992831679123735,0,0,-20
5.685,9917.26412425502,2.6260803531475,9917.8,9924.31336102003,2.6260803531475,2.6260803531475,0,-120.682346083389,21.5173567626923,9,0,25673.1535640487,-26389.0520360274,287.602008641395,99.298846116789,3.11180529136441e-10,1,0.99267077105434,0,0,-20
5.7,9915.45388906377,2.62258746097622,9916,9922.48646319692,2.62258746097622,2.62258746097622,0,-120.46131688677,21.5433287193377,9,0,25646.024699443,-26360.4815701712,287.590008655213,99.298846116789,3.33665483993193e-10,1,0.992510281261384,0,0,-20
5.715,9913.64696931047,2.61900508278847,9914.2,9920.66388370314,2.61900508278847,2.61900508278847,0,-120.302330508582,21.5704995322764,9,0,25618.5028804642,-26331.8867763718,287.578008669053,99.298846116789,3.56473233682476e-10,1,0.992350117077015,0,0,-20
5.73,9911.84243435284,2.6153365800222,9912.4,9918.84536262685,2.6153365800222,2.6153365800222,0,-120.201959738595,21.5988226360806,9,0,25590.5973503755,-26303.2563094564,287.566008682914,99.298846116789,3.80602818978106e-10,1,0.992190185362755,0,0,-20
5.745,9910.03940495676,2.61158992323084,9910.6,9917.03046622803,2.61158992323084,2.61158992323084,0,-120.153953319667,21.6281942238172,9,0,25562.3391451992,-26274.5838960131,287.554008696798,99.298846116789,4.07253777729132e-10,1,0.992030398118491,0,0,-20
5.76,9908.23709565697,2.60777634013937,9908.8,9915.21864531132,2.60777634013937,2.60777634013937,0,-120.150143721884,21.6584701658691,9,0,25533.7751023192,-26245.8677410007,287.542008710704,99.298846116789,4.37774415246838e-10,1,0.991870676723562,0,0,-20
5.775,9906.43484350114,2.60390902529826,9907,9913.40928944902,2.60390902529826,2.60390902529826,0,-120.181297761565,21.6894821502826,9,0,25504.9620600987,-26217.1097799123,287.530008724633,99.298846116789,4.73609413201835e-10,1,0.991710954815237,0,0,-20
