accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,phase,environment,candidate,mode,Kp,Ki,Kd,accelTau,altitude_m,isa_delta_C,fallback_percent,compressor_Nc_outside_percent,gp_outside_percent,wall_seconds
1,10.1038451987042,43.3891127182542,369.722316412348,11.1652416109044,1.99314280710631,0,0.00707320532938427,0.448074094660831,1.88952650567957,Inf,0,6,NaN,tune,36,1,1,0.25,5,0,0.03,4000,5,0,0,1.79970004999167,39.9921261
1,3.67552028142134,23.6717145751372,122.971529195788,9.6462010405118,2.09077519583752,0,1.7019583305943,0.559203037375645,4.52822639643413,Inf,0,6,NaN,tune,36,4,1,0.5,15,0,0.03,4000,5,0,0,0.999833361106482,34.4363705
1,3.5312697877004,19.1629729167416,122.801380864619,10.7927980406576,2.02505799031528,0,0.562255449957117,0.491483539346944,5.59501175024801,Inf,0,6,NaN,tune,36,7,1,1,15,0,0.03,4000,5,0,0,0.84985835694051,27.5567481
1,4.82021405604347,18.3676508617427,183.329661467234,11.4778476411875,1.99157067138608,0,1.34800533002402,0.476138062307957,8.70547178519132,Inf,0,6,NaN,tune,36,10,1,2,10,0,0.03,4000,5,0,0,0.649891684719213,25.0911457
1,16.1194726034393,59.637313476389,884.578501866178,7.60254759039221,2.2330467609707,0,4.83364261944514,0.72536062425578,2.22008380107299,Inf,0,6,NaN,tune,36,13,2,0.5,15,0,0.03,4000,5,0,0,15.2974504249292,27.5771378
1,9.30581571129175,35.1316420425865,494.844426423673,8.36640097001037,2.18461600443817,0,3.90837295134782,0.639547291992691,4.23728535452221,Inf,0,6,NaN,tune,36,16,2,1,30,0,0.03,4000,5,0,0,8.6318946842193,30.0143358
1,15.0411431315849,57.7531976680639,776.957788661111,7.70622318920316,2.22534094189303,0,4.62350360256297,0.709832797040309,1.68221187839152,Inf,0,6,NaN,tune,36,19,2,0.5,15,0,0.06,4000,5,0,0,13.4477587068822,27.0993308
1,8.22491245371758,34.7674565226589,384.91031887272,8.50249486780488,2.17488682036684,0,3.57826440915589,0.62981810792136,3.12264051955649,Inf,0,6,NaN,tune,36,22,2,1,30,0,0.06,4000,5,0,0,6.58223629395101,33.9527273
1,14.0510142010808,56.6533660266068,674.36768251168,7.78561551991907,2.21882633503651,0,4.41919200580843,0.697582211921507,1.35717038187558,Inf,0,6,NaN,tune,36,25,2,0.5,15,0,0.1,4000,5,0,0,10.7648725212465,24.9494673
1,7.43018520817844,35.2675836996732,301.683033288426,8.59457887364065,2.16746602236131,0,3.27879523973232,0.622397309915831,2.49876389097855,Inf,0,6,NaN,tune,36,28,2,1,30,0,0.1,4000,5,0,0,4.53257790368272,28.1325786
1,3.97133929607394,23.76843580288,84.2757158557715,10.5251538934274,2.04437113027983,0,0.608534363342787,0.499302417834353,4.38104268039642,2.08500000000001,0,6,NaN,tune,36,31,3,0.0125,0.035,0.001,0.03,4000,5,0,0,1.04982502916181,27.5334363
1,2.84958320225571,19.5945141675438,54.4491980594732,10.6617225965475,2.03773202447805,0,0.513668631028542,0.492663312712625,5.20639858405668,1.68000000000001,0,6,NaN,tune,36,34,3,0.018,0.05,0.001,0.03,4000,5,0,0,0.84985835694051,31.1769172
1,3.24772343939543,17.1362171087312,77.5900023974005,11.1039680473564,2.01362811738522,0,0.863686482940892,0.468559405607491,7.24429619639525,2.44500000000001,0,6,NaN,tune,36,37,3,0.018,0.035,0.002,0.03,4000,5,0,0,0.749875020829862,31.5388639
1,3.39964137119437,23.6091885600763,67.0535053996942,10.2486832460496,2.06211332810356,0,0.857596914578041,0.517044615658075,3.99022394588631,2.31,0,6,NaN,tune,36,40,3,0.0125,0.05,0.001,0.06,4000,5,0,0,1.04982502916181,31.4343759
1,3.81795342343316,20.136293848147,92.1946066387534,10.8478912174392,2.0284122299128,0,0.858724337255816,0.483343517911672,5.37258441841358,3.33,0,6,NaN,tune,36,43,3,0.0125,0.035,0.002,0.06,4000,5,0,0,0.899850024995834,33.5537412
1,2.74180650602739,17.4779506581544,58.5791659572163,10.8204659362207,2.02457896957777,0,1.19549352004832,0.492814835385315,6.1928716005785,2.145,0,6,NaN,tune,36,46,3,0.018,0.05,0.002,0.06,4000,5,0,0,0.749875020829862,22.5872009
