Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0,40,16,0.03,0.05,1,0,64,0,1,6,0,NaN,0,2.51160177591464,0.699883352774538,40.5597481716313,0,0.679730347933554,9.62261442491797,16.0285047228276,2,18.614935903177,transfer,0,1.90767908226121,2.10429290935082,1.74000000000001,36.6061669
0,40,16,0.03,0.05,1,2500,64,0,2,6,0,NaN,0,2.33247140943606,0.799866688885186,45.755435466701,0,0.578610419577751,7.91308195732861,11.8110232751106,2,18.1409282979857,transfer,0,1.06931347426181,2.33176957043441,1.65000000000001,28.662586
0,40,16,0.03,0.05,1,5000,64,0,3,6,0,NaN,0,2.00631487836455,1.14980836527245,123.122884881078,0,0.488639160178984,4.58374891911313,7.54498650837577,2,26.7676868322651,transfer,0,0.716883576882543,5.00582866804628,3.495,29.8340654
0,40,16,0.03,0.05,1,7500,64,0,4,6,0,NaN,0,1.53955284576665,1.04982502916181,124.413361381789,0,0.373243385152599,3.15862249838254,3.93803192043165,2,23.5524806273752,transfer,0,0.627993545720977,4.65143867449875,3.855,28.6656222
0,40,16,0.03,0.05,0,10000,64,13.2144642559573,5,NaN,0,12.09,NaN,NaN,88.7852024662556,NaN,0,NaN,NaN,NaN,2,NaN,transfer,NaN,NaN,NaN,NaN,97.0878958
0,40,16,0.03,0.05,1,0,64,0,6,6,0,NaN,0,2.9662207116267,0.699883352774538,41.233113934375,-10,0.81532545367983,11.7215315853039,12.6619628991614,2,20.4623604252811,transfer,0,2.79563481086357,2.15895017650972,1.785,24.707098
0,40,16,0.03,0.05,1,2500,64,0,7,6,0,NaN,0,2.66632163988952,0.799866688885186,50.0721470456736,-10,0.663365044917789,9.18684520232211,8.68785479164314,2,20.1854138198214,transfer,0,1.25535050814482,2.55246437810476,1.68000000000001,25.6796948
0,40,16,0.03,0.05,1,5000,64,0,8,6,0,NaN,0,2.10083308450849,1.19980003332778,118.959168847513,-10,0.503448847941248,4.79872521948712,5.49451792488661,2,26.5511050141686,transfer,0,0.712091565074769,4.94465746148469,3.36,26.062599
0,40,16,0.03,0.05,1,7500,64,17.013831028162,9,0,0,NaN,0,1.54122508337163,2.68288618563573,11563.6714260466,-10,0.408213112894931,2.78190408656664,3.00992472335396,2,181.461912037288,transfer,Inf,0.650756619908989,136.861806315379,Inf,27.6557285
0,40,16,0.03,0.05,0,10000,64,100,10,NaN,0,12.06,NaN,NaN,16.3975155279503,NaN,-10,NaN,NaN,NaN,2,NaN,transfer,NaN,NaN,NaN,NaN,22.4979852
