file,proportional_replay,command_replay,saturation_replay,integrator_replay
tune_e36_c01.csv,1.5265566588595902e-16,7.993605777301127e-15,0.0,1.0224026486538307e-15
tune_e36_c02.csv,5.134781488891349e-16,8.215650382226158e-15,0.0,1.0103032065187766e-15
tune_e36_c03.csv,5.134781488891349e-16,8.215650382226158e-15,0.0,9.992007214130085e-16
tune_e36_c04.csv,5.134781488891349e-16,8.215650382226158e-15,0.0,1.033895191682177e-15
tune_e36_c05.csv,0.0,7.993605777301127e-15,0.0,1.0269564565969474e-15
tune_e36_c06.csv,0.0,7.993605777301127e-15,0.0,1.0103032065187766e-15
tune_e36_c07.csv,0.0,8.215650382226158e-15,0.0,1.033895191682177e-15
tune_e36_c08.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,1.008660386117577e-15
tune_e36_c09.csv,1.0547118733938987e-15,8.215650382226158e-15,0.0,9.824023647526936e-16
tune_e36_c10.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,9.992049573273772e-16
tune_e36_c11.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,1.0234868508263162e-15
tune_e36_c12.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,9.992008015719797e-16
tune_e36_c13.csv,5.273559366969494e-16,8.215650382226158e-15,0.0,1.016547956922409e-15
tune_e36_c14.csv,5.273559366969494e-16,8.881784197001252e-15,0.0,8.200363131594113e-15
tune_e36_c15.csv,0.0,8.215650382226158e-15,0.0,1.016547956922409e-15
tune_e36_c16.csv,0.0,8.43769498715119e-15,0.0,1.0061396160665481e-15
tune_e36_c17.csv,1.0269562977782698e-15,7.993605777301127e-15,0.0,1.0096090630185017e-15
tune_e36_c18.csv,1.0269562977782698e-15,7.993605777301127e-15,0.0,9.809861256648844e-16
tune_e36_c19.csv,5.273559366969494e-16,8.215650382226158e-15,0.0,9.818534874028728e-16
tune_e36_c20.csv,5.273559366969494e-16,8.215650382226158e-15,0.0,9.992007221626409e-16
tune_e36_c21.csv,0.0,8.215650382226158e-15,0.0,9.95297594341693e-16
tune_e36_c22.csv,0.0,7.993605777301127e-15,0.0,1.0321604682062002e-15
tune_e36_c23.csv,1.0269562977782698e-15,7.993605777301127e-15,0.0,1.0249234187048595e-15
tune_e36_c24.csv,1.0269562977782698e-15,7.993605777301127e-15,0.0,9.812029660993815e-16
tune_e36_c25.csv,5.273559366969494e-16,7.993605777301127e-15,0.0,9.880334397860402e-16
tune_e36_c26.csv,5.273559366969494e-16,7.993605777301127e-15,0.0,1.0495077029659683e-15
tune_e36_c27.csv,0.0,7.993605777301127e-15,0.0,1.0113437864944785e-15
tune_e36_c28.csv,0.0,7.993605777301127e-15,0.0,1.023053169957322e-15
tune_e36_c29.csv,1.0269562977782698e-15,8.43769498715119e-15,0.0,9.766493169749424e-16
tune_e36_c30.csv,1.0547118733938987e-15,8.215650382226158e-15,0.0,1.04040040471709e-15
tune_e36_c31.csv,6.356026815979021e-15,7.993605777301127e-15,0.0,1.042568809062061e-15
tune_e36_c32.csv,6.161737786669619e-15,7.993605777301127e-15,0.0,1.0194210926794955e-15
tune_e36_c33.csv,5.662137425588298e-15,7.993605777301127e-15,0.0,9.949255351196116e-16
tune_e36_c34.csv,6.38378239159465e-15,7.993605777301127e-15,0.0,1.0137459719328917e-15
tune_e36_c35.csv,1.149080830487037e-14,7.993605777301127e-15,0.0,9.763166447849083e-16
tune_e36_c36.csv,1.1712852909795402e-14,8.215650382226158e-15,0.0,9.934002405398434e-16
tune_e36_c37.csv,1.1213252548714081e-14,8.215650382226158e-15,0.0,1.022127098248177e-15
tune_e36_c38.csv,1.0658141036401503e-14,7.993605777301127e-15,0.0,1.018422017318209e-15
tune_e36_c39.csv,5.88418203051333e-15,8.215650382226158e-15,0.0,1.0191251832780907e-15
tune_e36_c40.csv,6.161737786669619e-15,7.993605777301127e-15,0.0,9.712283061125149e-16
tune_e36_c41.csv,5.773159728050814e-15,8.215650382226158e-15,0.0,1.0083655111184528e-15
tune_e36_c42.csv,6.38378239159465e-15,8.43769498715119e-15,0.0,9.809251392926821e-16
