Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0.002,0.1,0.025,0.03,1,1,0,78,0,1,6,0,NaN,0,2.46309093859562,0.699883352774538,36.8635734945111,0,0.635155003785184,10.1874808946387,16.7305189202175,3,17.5748773870182,transfer,0,1.80986638563525,2.13483385068363,1.41,37.1997921
0.002,0.1,0.025,0.03,1,1,2500,78,0,2,6,0,NaN,0,2.33265553720107,0.699883352774538,34.530795945139,0,0.585328223006122,9.38539132374269,11.8338365484074,3,16.2686411595878,transfer,0,1.62624167782301,1.99523822095263,1.395,30.1136115
0.002,0.1,0.025,0.03,1,1,5000,78,0,3,6,0,NaN,0,2.01346472816068,0.549908348608565,29.6425804049619,0,0.506925450954668,8.24636846767436,7.42596230461909,3,14.2250602069926,transfer,0,1.52504689945989,1.71198216643729,1.35000000000001,28.0858357
0.002,0.1,0.025,0.03,1,1,7500,78,0,4,6,0,NaN,0,1.54071727268186,0.449925012497917,22.2750445988466,0,0.381818767112371,6.1393433282853,3.91616770985472,3,10.6655907861532,transfer,0,1.17338924860966,1.28873031658685,1.32000000000001,25.979056
0.002,0.1,0.025,0.03,1,1,10000,78,100,5,6,100,NaN,0,1.03320601714021,0,14.6112720446243,0,0.256555102040465,4.08404841701605,3.54397574120034,3,7.17153549312934,transfer,0,0.893225561141904,0.850830792141415,1.26000000000001,22.0152057
0.002,0.1,0.025,0.03,1,1,0,78,0,6,6,0,NaN,0,2.86942748658436,0.699883352774538,42.3808604440837,-10,0.719444855825454,11.3880841520792,13.8418055994787,3,20.0542633106797,transfer,0,1.91649418362857,2.44969450576075,1.44,22.194201
0.002,0.1,0.025,0.03,1,1,2500,78,0,7,6,0,NaN,0,2.653470975524,0.699883352774538,38.8913585975582,-10,0.650514379066429,10.7385995789588,8.86189737778639,3,18.4745051332629,transfer,0,1.81738584149435,2.24550790217064,1.41,23.151792
0.002,0.1,0.025,0.03,1,1,5000,78,0,8,6,0,NaN,0,2.11464640700516,0.649891684719213,30.6273295666146,-10,0.524554220716944,8.53653005001567,5.27807173484278,3,14.7470306289961,transfer,0,1.59739153319606,1.77220265456499,1.36499999999999,22.6528118
0.002,0.1,0.025,0.03,1,1,7500,78,100,9,6,100,NaN,0,1.53024560407374,0.449925012497917,21.9141964871551,-10,0.378576697272568,5.97200838269809,3.27079245280089,3,10.6066621619193,transfer,0,1.2684847091025,1.27200885254204,1.30500000000001,22.6780558
0.002,0.1,0.025,0.03,1,1,10000,78,100,10,6,100,NaN,0,0.987458048368594,0,13.6325306959672,-10,0.244475361169384,3.97464316881622,3.92825885876588,3,6.86094015303024,transfer,0,0.922291156330763,0.797899619799219,1.26000000000001,24.372351
0.002,0.1,0.025,0.03,1,1,0,78,0,11,6,0,NaN,0,2.14154723215964,0.699883352774538,32.4043988923859,10,0.560719972548974,9.07434143988028,18.5210718140129,3,15.6236415542517,transfer,0,1.64414657477128,1.87956490182577,1.395,22.8638806
0.002,0.1,0.025,0.03,1,1,2500,78,0,12,6,0,NaN,0,2.01568142869093,0.599900016663889,30.0612629299596,10,0.51350605665177,8.18128743663594,14.8410324351514,3,14.2978998097915,transfer,0,1.463246144412,1.7398297609316,1.38,24.5086058
