accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,phase,environment,candidate,mode,Kp,Ki,Kd,accelTau,altitude_m,isa_delta_C,fallback_percent,compressor_Nc_outside_percent,gp_outside_percent,wall_seconds
1,9.81857321191828,39.1978377744617,368.871451129296,11.2758551173317,1.99244775917076,0,0.0010988747635774,0.447379046725283,2.60906524375811,Inf,0,6,NaN,tune,36,2,1,0.5,5,0,0.03,4000,5,0,0,1.6497250458257,40.1795015
1,9.36288777879046,34.1072221760969,367.588292966507,11.3766348530587,1.99180979786998,0,0.0175723673332011,0.446555953687796,4.52944082386139,Inf,0,6,NaN,tune,36,5,1,1,5,0,0.03,4000,5,0,0,1.39976670554908,34.7996879
1,4.94083331658992,19.7893608220711,183.597650128207,11.4483578419384,1.99179062905971,0,0.490388001492339,0.446721916614226,6.82651656664885,Inf,0,6,NaN,tune,36,8,1,1.5,10,0,0.03,4000,5,0,0,0.749875020829862,28.0854839
1,3.36216622586954,14.1433523477244,122.336350784864,10.8302757632121,2.02663168050949,0,1.60011522622843,0.513533995565944,8.96758551765404,Inf,0,6,NaN,tune,36,11,1,2,15,0,0.03,4000,5,0,0,0.549908348608565,24.8625536
1,21.9236610154736,57.4817277668662,1564.65734802598,5.40208975862232,2.37909389096468,0,7.45079113605843,0.953639288969864,2.59466960580883,Inf,0,6,NaN,tune,36,14,2,0.5,30,0,0.03,4000,5,0,0,49.5917347108815,27.9811346
1,8.79886369743032,35.9441596282832,393.264127897013,10.1305200875787,2.07574607974075,0,1.85129449118086,0.542087066780953,8.36554837230502,Inf,0,6,NaN,tune,36,17,2,2,15,0,0.03,4000,5,0,0,1.5164139310115,29.1868905
1,15.9946074401615,52.3325143289894,1033.48509607292,6.76280060571394,2.28821578776319,0,6.95091092907346,0.864237532878257,2.0743684620799,Inf,0,6,NaN,tune,36,20,2,0.5,30,0,0.06,4000,5,0,0,27.0454924179303,27.5539384
1,8.41214857108158,34.719052417151,360.898914002897,10.2146423845357,2.07020946407825,0,1.38584783724229,0.533011462993495,5.87478951941276,Inf,0,6,NaN,tune,36,23,2,2,15,0,0.06,4000,5,0,0,1.08315280786536,33.2094395
1,13.0570725816027,52.0217151189372,730.350067174083,6.64389010337816,2.29408440519508,0,6.58475909659805,0.859554380151963,1.72289469056102,Inf,0,6,NaN,tune,36,26,2,0.5,30,0,0.1,4000,5,0,0,17.3137810364939,26.407556
1,8.00996212180385,33.3474705060198,326.080405726277,10.3093959829798,2.06389624963297,0,0.972528370437068,0.522777104734902,4.38489697034347,Inf,0,6,NaN,tune,36,29,2,2,15,0,0.1,4000,5,0,0,1.16647225462423,27.8563839
1,3.43143477834732,22.8439412157786,68.7625153970188,10.1435310623419,2.06802391984738,0,0.948336893719589,0.522955207401898,4.42322589388541,2.265,0,6,NaN,tune,36,32,3,0.0125,0.05,0.001,0.03,4000,5,0,0,1.04982502916181,27.6745131
1,3.86239795739491,20.8257644067726,93.4667109768824,10.7847043912424,2.03196344784744,0,0.856476052519969,0.486894736217478,6.53317257586261,3.285,0,6,NaN,tune,36,35,3,0.0125,0.035,0.002,0.03,4000,5,0,0,0.84985835694051,31.9216591
1,2.76256606742568,16.1412389012421,58.8638886252256,10.9066437218171,2.02576865957403,0,0.953731875016608,0.480699947128553,7.28647736756668,2.07000000000001,0,6,NaN,tune,36,38,3,0.018,0.05,0.002,0.03,4000,5,0,0,0.749875020829862,31.8870117
1,3.31065642196237,20.8693807748114,76.5205683725097,10.9020219224891,2.01776093545018,0,0.578692108320007,0.477366380223968,4.74095130294794,2.235,0,6,NaN,tune,36,41,3,0.018,0.035,0.001,0.06,4000,5,0,0,0.949841693051158,31.3083465
1,3.24148198155857,19.2157502368882,73.866659252327,10.6301869184167,2.04225541661493,0,0.986052548994243,0.497186705328093,5.41486267309099,2.79000000000001,0,6,NaN,tune,36,44,3,0.0125,0.05,0.002,0.06,4000,5,0,0,0.84985835694051,33.2968315
