Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds,rmse_ratio,ringing_ratio,joint_score,beats_base_both
0,5,0.25,0.03,1,1,4000,1,0,36,6,0,NaN,0,1.99314280710631,1.79970004999167,369.722316412348,5,0.448074094660831,1.88952650567957,11.1652416109044,1,43.3891127182542,tune,0,0.00707320532938427,10.1038451987042,Inf,39.9921261,3.99130038194514,0.00348359842958921,3.99130038194514,0
0,5,0.5,0.03,1,1,4000,2,0,36,6,0,NaN,0,1.99244775917076,1.6497250458257,368.871451129296,5,0.447379046725283,2.60906524375811,11.2758551173317,1,39.1978377744617,tune,0,0.0010988747635774,9.81857321191828,Inf,40.1795015,3.87860999848964,0.000541202781829417,3.87860999848964,0
0,10,0.5,0.03,1,1,4000,3,0,36,6,0,NaN,0,2.01135490452967,1.19980003332778,184.575825665922,5,0.471165149907834,3.47194379911842,10.9384444397799,1,27.1845244072829,tune,0,0.282076537288913,5.28476063244976,Inf,34.8393163,2.0876277017279,0.138924481414589,2.0876277017279,0
0,15,0.5,0.03,1,1,4000,4,0,36,6,0,NaN,0,2.09077519583752,0.999833361106482,122.971529195788,5,0.559203037375645,4.52822639643413,9.6462010405118,1,23.6717145751372,tune,0,1.7019583305943,3.67552028142134,Inf,34.4363705,1.45193292400852,0.838225258788111,1.45193292400852,0
0,5,1,0.03,1,1,4000,5,0,36,6,0,NaN,0,1.99180979786998,1.39976670554908,367.588292966507,5,0.446555953687796,4.52944082386139,11.3766348530587,1,34.1072221760969,tune,0,0.0175723673332011,9.36288777879046,Inf,34.7996879,3.6986015554146,0.00865450222288866,3.6986015554146,0
0,10,1,0.03,1,1,4000,6,0,36,6,0,NaN,0,1.99212546559395,0.949841693051158,184.00079622729,5,0.447056753148473,5.06210119378536,11.4022716598665,1,21.8327959158341,tune,0,0.0287430762245973,5.08767742490179,Inf,27.0588902,2.00977434331915,0.0141561471122013,2.00977434331915,0
0,15,1,0.03,1,1,4000,7,0,36,6,0,NaN,0,2.02505799031528,0.84985835694051,122.801380864619,5,0.491483539346944,5.59501175024801,10.7927980406576,1,19.1629729167416,tune,0,0.562255449957117,3.5312697877004,Inf,27.5567481,1.3949499596656,0.27691437068307,1.3949499596656,0
0,10,1.5,0.03,1,1,4000,8,0,36,6,0,NaN,0,1.99179062905971,0.749875020829862,183.597650128207,5,0.446721916614226,6.82651656664885,11.4483578419384,1,19.7893608220711,tune,0,0.490388001492339,4.94083331658992,Inf,28.0854839,1.95176682894565,0.241519197073389,1.95176682894565,0
0,15,1.5,0.03,1,1,4000,9,0,36,6,0,NaN,0,2.00751252419896,0.699883352774538,122.530084804383,5,0.487598614619871,7.35940893200711,11.1360670336582,1,16.0002592297769,tune,0,0.783490681944515,3.43566613350368,Inf,30.3554332,1.3571838524058,0.385874123840441,1.3571838524058,0
0,10,2,0.03,1,1,4000,10,0,36,6,0,NaN,0,1.99157067138608,0.649891684719213,183.329661467234,5,0.476138062307957,8.70547178519132,11.4778476411875,1,18.3676508617427,tune,0,1.34800533002402,4.82021405604347,Inf,25.0911457,1.90411886015543,0.663901163909564,1.90411886015543,0
