Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0,22,1.5,0.03,1,1,0,48,0,1,6,0,NaN,0,2.52430378325746,0.699883352774538,74.3693397823377,0,0.686649080026305,9.6594849866172,15.8490900312696,1,18.6883934663492,transfer,0,2.24120483388006,2.58370791601563,4.005,37.0212789
0,22,1.5,0.03,1,1,2500,48,0,2,6,0,NaN,0,2.3791066834277,0.699883352774538,83.4710117707266,0,0.640450915059247,9.07921695158902,11.1289266358452,1,17.3302287156566,transfer,0,2.04328691118479,2.60949776119511,4.845,29.459471
0,22,1.5,0.03,1,1,5000,48,0,3,6,0,NaN,0,2.03131783254921,0.599900016663889,176.807594388502,0,0.5431180327995,7.93348968144187,7.12341003664752,1,15.3364640867658,transfer,0,1.68065998746408,3.48420181226136,Inf,30.1034213
0,22,1.5,0.03,1,1,7500,48,0,4,6,0,NaN,0,1.55488209028422,0.499916680553241,157.757435574509,0,0.402773843889842,5.75111846934397,3.61342338366443,1,11.5406504073235,transfer,0,1.23950209157956,2.86378650903462,Inf,29.1842284
0,22,1.5,0.03,1,1,10000,48,100,5,6,0,NaN,0,1.03386643040769,0.0499916680553241,624.138504130802,0,0.25884824469285,3.58080818087678,3.52475503258032,1,16.7615440683567,transfer,0,0.760548836290989,8.68441767798379,Inf,24.4361126
0,22,1.5,0.03,1,1,0,48,0,6,6,0,NaN,0,2.94780645297805,0.699883352774538,75.5559147611008,-10,0.793216209192259,11.0478064795585,12.8964927890486,1,21.1467276172534,transfer,0,2.60138648371907,2.77310414427953,3.675,23.1218035
0,22,1.5,0.03,1,1,2500,48,0,7,6,0,NaN,0,2.6964868935279,0.749875020829862,91.5942225111989,-10,0.73001898253935,10.8810574878486,8.29959129633327,1,19.6127697208613,transfer,0,2.40504884584688,2.875298145516,4.935,26.4915237
0,22,1.5,0.03,1,1,5000,48,0,8,6,0,NaN,0,2.13101043623382,0.649891684719213,176.032257294811,-10,0.561830922475682,8.17748978401527,5.02054598064199,1,15.9383811503176,transfer,0,1.74288306998917,3.54813537201945,Inf,24.6865098
0,22,1.5,0.03,1,1,7500,48,100,9,5,0,NaN,0,1.53359876501614,0.499916680553241,2676.80186289557,-10,0.387963088218316,5.38919764702457,3.20774588530435,1,107.094235090906,transfer,Inf,1.11927605567522,41.109875265556,Inf,26.4301749
0,22,1.5,0.03,1,1,10000,48,100,10,6,0,NaN,0,0.984729091605542,0,692.799475784754,-10,0.244190231040589,3.42715724398042,4.0202185402371,1,18.3743877141951,transfer,0,0.745734527772486,9.70905031310736,Inf,25.3239416
