accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,phase,environment,candidate,mode,Kp,Ki,Kd,accelTau,altitude_m,isa_delta_C,fallback_percent,compressor_Nc_outside_percent,gp_outside_percent,accelWeight,wall_seconds
1,2.54120242820221,15.4047792802503,87.6092491318283,9.99371591570868,2.07484901225707,0,1.61507138708436,0.552459969632213,7.9989468228509,Inf,0,6,NaN,tune,36,47,1,1.5,21,0,0.03,4000,5,0,0,0.649891684719213,1,50.0086513
1,2.4734249829611,16.4601339721794,83.6998703377226,9.60114496644829,2.09774838358969,0,1.87282172861832,0.570194763562528,7.24284846675752,Inf,0,6,NaN,tune,36,50,1,1.25,22,0,0.03,4000,5,0,0,0.649891684719213,1,29.7082233
1,2.40991667984129,14.3845167575018,83.5663740132936,9.87611626314733,2.08243917844085,0,1.96932255574973,0.563100642706786,8.92917486549914,Inf,0,6,NaN,tune,36,53,1,1.75,22,0,0.03,4000,5,0,0,0.549908348608565,1,29.4758952
1,2.33909231293474,17.5627040622076,76.6977804697646,8.8123166284609,2.14550624743937,0,3.05469052460252,0.616008386146,6.9941922143958,Inf,0,6,NaN,tune,36,56,1,1,24,0,0.03,4000,5,0,0,0.699883352774538,1,20.6015249
1,3.65480241297489,20.5057099158093,91.8770279794342,11.0444825567034,2.01400462862325,0,0.229416393721515,0.468935916174585,4.95905039274526,2.83500000000001,0,6,NaN,tune,36,59,2,12,20,0,0.03,4000,5,0,0,0.949841693051158,0.05,18.8842633
1,2.62887200599845,16.830740882755,61.2212897866941,11.0228515969695,2.01345625795379,0,0.59209367661014,0.473421916307716,6.49509026394239,2.355,0,6,NaN,tune,36,62,2,16,30,0,0.03,4000,5,0,0,0.749875020829862,0.05,19.4468782
1,2.98101488333554,16.9437975691762,65.2230849141398,10.9456743090926,2.02303635064235,0,0.800011142383628,0.477967638771826,6.99197181959754,2.22,0,6,NaN,tune,36,65,2,12,30,0,0.03,4000,5,0,0,0.749875020829862,0.1,25.2154817
1,2.62887130793755,18.112659329654,61.2210544777546,10.2798429615528,2.05597708128277,0,1.22011939153647,0.518821063342392,5.8747814082346,2.34,0,6,NaN,tune,36,68,2,16,30,0,0.06,4000,5,0,0,0.749875020829862,0.05,24.675198
