Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0,22,1.5,0.03,1,1,4000,48,0,36,6,0,NaN,0,2.08581938891155,0.649891684719213,83.6356184542756,5,0.563034252520638,8.10553925978027,9.81135535767976,1,15.3428988853975,tune,0,1.79809574801825,2.43866609628209,Inf,41.0985415
0,20,1.75,0.03,1,1,4000,51,0,36,6,0,NaN,0,2.0630168763243,0.599900016663889,91.8979199506531,5,0.545197116048265,8.71599096585179,10.2019259891101,1,14.5073446929855,tune,0,1.68095100167116,2.62367334807798,Inf,20.0950373
0,21,2,0.03,1,1,4000,54,0,36,6,0,NaN,0,2.0757746579042,0.549908348608565,87.4663819856312,5,0.564561249802475,9.60712147173259,9.9929984229403,1,13.6153631376146,tune,0,2.2024007772062,2.48650164725401,Inf,23.1546844
0,20,8,0.03,0.05,1,4000,57,0,36,6,0,NaN,0,2.04674253682493,1.2497917013831,95.3480544533629,5,0.501673824379444,3.39859154577846,10.4435254364909,2,27.210753510315,tune,0,0.615200164382902,4.50914962388782,2.175,25.955275
0,30,12,0.03,0.05,1,4000,60,0,36,6,0,NaN,0,2.03328077621043,0.949841693051158,61.5298199234657,5,0.488212064179155,5.00003842568465,10.7275195233252,2,20.1972728687451,tune,0,0.460201645413175,3.06364248718566,1.455,27.0613107
0,40,12,0.03,0.05,1,4000,63,0,36,6,0,NaN,0,2.05066197816209,0.949841693051158,48.7677176793903,5,0.505593266216866,5.04102852175512,10.4434991985169,2,19.9489944571906,tune,0,0.671135731909357,2.72533846298119,1.545,25.3308371
0,30,16,0.03,0.1,1,4000,66,0,36,6,0,NaN,0,2.02945755544108,0.549908348608565,61.4111900404278,5,0.505782642168328,9.14593758571975,10.7870848072745,2,13.775633303525,tune,0,1.73079791207719,2.56915710228872,1.935,25.2503018
0.001,0.075,0.018,0.03,1,1,4000,69,0,36,6,0,NaN,0,2.06423905085496,0.84985835694051,41.1854685816414,5,0.51917033840948,5.27670397591204,10.2280053840853,3,19.285441320435,tune,0,0.858100360228967,2.43320610941655,1.59,27.7843356
0.001,0.1,0.025,0.03,1,1,4000,72,0,36,6,0,NaN,0,2.08146258573626,0.749875020829862,27.6061052238958,5,0.536393873290777,6.33012400970241,9.88151459466363,3,17.1000481327192,tune,0,1.05749556873489,1.8460715687738,1.095,26.6994036
0.002,0.075,0.018,0.03,1,1,4000,75,0,36,6,0,NaN,0,2.04258128450854,0.649891684719213,45.8236622864228,5,0.497512572063055,7.35678272087045,10.6372034708372,3,15.5096595605173,tune,0,1.08098359032042,2.31943020619467,2.16,21.3755772
0.002,0.1,0.025,0.03,1,1,4000,78,0,36,6,0,NaN,0,2.04894554364067,0.649891684719213,30.3340258704805,5,0.516088517129176,8.3502097379244,10.443870465978,3,14.3869253613029,tune,0,1.45899020341547,1.75198180329535,1.38,18.6615273
