file,proportional_replay,command_replay,saturation_replay,integrator_replay
transfer_e01_c48.csv,1.0547118733938987e-15,6.217248937900877e-15,0.0,9.645062526431047e-16
transfer_e01_c64.csv,1.5265566588595902e-15,6.217248937900877e-15,0.0,9.611452259083997e-16
transfer_e01_c78.csv,1.765254609153999e-14,6.217248937900877e-15,0.0,1.0234868508263162e-15
transfer_e02_c48.csv,9.992007221626409e-16,9.325873406851315e-15,0.0,9.50194783966296e-16
transfer_e02_c64.csv,1.7208456881689926e-15,9.325873406851315e-15,0.0,9.662409761190816e-16
transfer_e02_c78.csv,2.2537527399890678e-14,9.325873406851315e-15,0.0,9.853229343548264e-16
transfer_e03_c48.csv,1.0547118733938987e-15,8.43769498715119e-15,0.0,1.021405182572426e-15
transfer_e03_c64.csv,1.915134717478395e-15,9.103828801926284e-15,0.0,1.0320113904074835e-15
transfer_e03_c78.csv,1.326716514427062e-14,8.659739592076221e-15,0.0,1.0267590818936128e-15
transfer_e04_c48.csv,1.0269562977782698e-15,5.551115123125783e-15,0.0,1.0258460493426562e-15
transfer_e04_c64.csv,2.220446049250313e-15,5.995204332975845e-15,0.0,1.0103205706941953e-15
transfer_e04_c78.csv,1.1324274851176597e-14,6.217248937900877e-15,0.0,1.0231399908344155e-15
transfer_e05_c48.csv,4.996003610813204e-16,4.884981308350689e-15,0.0,1.0003109044238055e-15
transfer_e05_c64.csv,1.6237011735142914e-15,1.1102230246251565e-15,0.0,9.185360805297194e-16
transfer_e05_c78.csv,6.106226635438361e-16,5.10702591327572e-15,0.0,9.869153562956645e-16
transfer_e06_c48.csv,1.0547118733938987e-15,1.021405182655144e-14,0.0,9.41469124957613e-16
transfer_e06_c64.csv,1.762479051592436e-15,1.021405182655144e-14,0.0,9.371572528421579e-16
transfer_e06_c78.csv,2.4980018054066022e-14,1.021405182655144e-14,0.0,9.8879238130678e-16
transfer_e07_c48.csv,1.0547118733938987e-15,9.325873406851315e-15,0.0,9.414692394962784e-16
transfer_e07_c64.csv,1.8596235662471372e-15,9.325873406851315e-15,0.0,9.80118763926896e-16
transfer_e07_c78.csv,1.587618925213974e-14,9.325873406851315e-15,0.0,9.408706452829207e-16
transfer_e08_c48.csv,1.0547118733938987e-15,9.325873406851315e-15,0.0,1.096345236817342e-15
transfer_e08_c64.csv,1.8318679906315083e-15,9.325873406851315e-15,0.0,9.946470730382018e-16
transfer_e08_c78.csv,2.5146551507759796e-14,9.325873406851315e-15,0.0,9.734915781475784e-16
transfer_e09_c48.csv,1.0269562977782698e-15,8.881784197001252e-15,0.0,1.0258468963756035e-15
transfer_e09_c64.csv,1.887379141862766e-15,9.103828801926284e-15,0.0,9.880984760345216e-16
transfer_e09_c78.csv,5.551115123125783e-16,9.103828801926284e-15,0.0,1.0262901639617434e-15
transfer_e10_c48.csv,5.551115123125783e-16,1.3322676295501878e-15,0.0,9.980905399014763e-16
transfer_e10_c64.csv,1.609823385706477e-15,1.2212453270876722e-15,0.0,9.124645483638005e-16
transfer_e10_c78.csv,6.106226635438361e-16,1.3322676295501878e-15,0.0,9.532374900945948e-16
transfer_e11_c48.csv,1.0547118733938987e-15,6.661338147750939e-15,0.0,1.0547118733938987e-15
transfer_e11_c64.csv,1.7486012637846216e-15,7.105427357601002e-15,0.0,1.01030295240916e-15
transfer_e11_c78.csv,1.1102230246251565e-14,7.105427357601002e-15,0.0,1.0003032381138883e-15
transfer_e12_c48.csv,9.992007221626409e-16,7.327471962526033e-15,0.0,1.0169655441654053e-15
transfer_e12_c64.csv,1.7763568394002505e-15,7.105427357601002e-15,0.0,1.010302930240452e-15
transfer_e12_c78.csv,1.8707257964933888e-14,7.105427357601002e-15,0.0,9.961638800192846e-16
transfer_e13_c48.csv,9.992007221626409e-16,1.021405182655144e-14,0.0,9.992007221626409e-16
transfer_e13_c64.csv,1.970645868709653e-15,1.021405182655144e-14,0.0,9.880984919163963e-16
transfer_e13_c78.csv,1.354472090042691e-14,1.021405182655144e-14,0.0,1.0145920674454051e-15
transfer_e14_c48.csv,1.0269562977782698e-15,9.992007221626409e-15,0.0,1.0236257906994455e-15
transfer_e14_c64.csv,2.0539125955565396e-15,9.992007221626409e-15,0.0,1.0214049497210835e-15
transfer_e14_c78.csv,1.482147737874584e-14,9.992007221626409e-15,0.0,9.742029270045944e-16
transfer_e15_c48.csv,9.992007221626409e-16,5.995204332975845e-15,0.0,1.0178489995293916e-15
transfer_e15_c64.csv,1.915134717478395e-15,5.995204332975845e-15,0.0,1.0098259034529988e-15
transfer_e15_c78.csv,5.551115123125783e-16,6.217248937900877e-15,0.0,9.878764473616638e-16
transfer_e16_c48.csv,1.0547118733938987e-15,7.549516567451064e-15,0.0,1.005860836347783e-15
transfer_e16_c64.csv,1.6792123247455493e-15,7.327471962526033e-15,0.0,1.0103029524071153e-15
transfer_e16_c78.csv,1.4488410471358293e-14,7.549516567451064e-15,0.0,1.0104244889292613e-15
transfer_e17_c48.csv,1.0547118733938987e-15,5.773159728050814e-15,0.0,1.019184744017432e-15
transfer_e17_c64.csv,1.7763568394002505e-15,5.551115123125783e-15,0.0,9.992007221626598e-16
transfer_e17_c78.csv,1.532107773982716e-14,5.995204332975845e-15,0.0,1.01123536627723e-15
transfer_e18_c48.csv,1.0269562977782698e-15,1.021405182655144e-14,0.0,1.0258461618392195e-15
transfer_e18_c64.csv,1.7486012637846216e-15,1.021405182655144e-14,0.0,9.659021629401798e-16
transfer_e18_c78.csv,1.509903313490213e-14,9.992007221626409e-15,0.0,1.004274873928607e-15
transfer_e19_c48.csv,1.0269562977782698e-15,9.992007221626409e-15,0.0,1.0408340855860843e-15
transfer_e19_c64.csv,1.762479051592436e-15,1.021405182655144e-14,0.0,1.0191500421363742e-15
