time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,DOB_compensation,GPR_FF,GPR_nominalFuel,GPR_referenceAcceleration,GPR_querySpeed,GPR_speedGuard,max_flow_error,valid
120.555,9496.41074693746,2.11811624862254,9500,9496.15049501269,2.11811624862254,2.11811624862254,0,7.55354692269431,22.4368520940231,7,958.039694326328,20389.1986669154,-19388.2527091951,-0,0,1.85387526140726,0,9496.15049501269,0,4.56376182296412e-10,1
120.57,9496.5240501413,2.11929061878174,9500,9496.21794255215,2.11929061878174,2.11929061878174,0,8.12529137672213,22.4197649881747,7,958.039694326328,20395.1607008578,-19390.9664823098,-0,0,1.85387526140726,0,9496.21794255215,0,4.37233556520744e-10,1
120.585,9496.64592951195,2.12011261999409,9500,9496.29727416022,2.12011261999409,2.12011261999409,0,8.47706097882303,22.4087590658906,7,958.039694326328,20399.634660418,-19393.4416246178,-0,0,1.85387526140726,0,9496.29727416022,0,4.09013073161233e-10,1
120.6,9496.77308542664,2.12059510902677,9500,9496.38763255281,2.12059510902677,2.12059510902677,0,8.62027446756548,22.4035395852507,7,958.039694326328,20402.6538937288,-19395.6466790029,-0,0,1.85387526140726,0,9496.38763255281,0,3.74641629406293e-10,1
120.615,9496.90238954365,2.12076765902251,9500,9496.48752748323,2.12076765902251,2.12076765902251,0,8.57613641652342,22.4035396591399,7,958.039694326328,20404.3263179886,-19397.5691692111,-0,0,1.85387526140726,0,9496.48752748323,0,3.36841136234872e-10,1
120.63,9497.0310315899,2.12067174136824,9500,9496.59504417196,2.12067174136824,2.12067174136824,0,8.37259265634979,22.4080035134798,7,958.039694326328,20404.8143054724,-19399.2127726436,-0,0,1.85387526140726,0,9496.59504417196,0,2.98015901411539e-10,1
120.645,9497.15662047974,2.12035615691878,9500,9496.70803576116,2.12035615691878,2.12035615691878,0,8.04148621353021,22.4160641632515,7,958.039694326328,20404.3153537135,-19400.5941410171,-0,0,1.85387526140726,0,9496.70803576116,0,2.60178473746285e-10,1
120.66,9497.27724277295,2.11987292397357,9500,9496.82429209829,2.11987292397357,2.11987292397357,0,7.61603483945298,22.4268124221539,7,958.039694326328,20403.0444616315,-19401.7396031041,-0,0,1.85387526140726,0,9496.82429209829,0,2.24910284413105e-10,1
120.675,9497.39148329554,2.11927376573643,9500,9496.94167992751,2.11927376573643,2.11927376573643,0,7.12871020459791,22.4393551950274,7,958.039694326328,20401.2188655607,-19402.6819482853,-0,0,1.85387526140726,0,9496.94167992751,0,1.93358751209609e-10,1
120.69,9497.49841394861,2.11860727954406,9500,9497.05825209288,2.11860727954406,2.11860727954406,0,6.60956109125005,22.4528619357121,7,958.039694326328,20399.0455359009,-19403.4574504852,-0,0,1.85387526140726,0,9497.05825209288,0,1.66250964461444e-10,1
120.705,9497.59755736497,2.11791681652656,9500,9497.17232553981,2.11791681652656,2.11791681652656,0,6.08498997400904,22.4665989700322,7,958.039694326328,20396.7116073105,-19404.1032512783,-0,0,1.85387526140726,0,9497.17232553981,0,1.43938906064746e-10,1
120.72,9497.68883221458,2.11723905528782,9500,9497.2825296827,2.11723905528782,2.11723905528782,0,5.57696340431296,22.4799520485684,6,958.039694326328,20394.3777327327,-19404.6552029591,-0,0,1.85387526140726,0,9497.2825296827,0,9.52396770667044e-10,1
120.735,9497.77248666565,2.11660321757872,9500,9497.38782806262,2.11660321757872,2.11660321757872,0,5.10262832209527,22.4924382095635,6,958.039694326328,20392.1741073671,-19405.1460754559,-0,0,1.85387526140726,0,9497.38782806262,0,8.55488908155726e-10,1
120.75,9497.84902609048,2.11603084816232,9500,9497.48751714783,2.11603084816232,2.11603084816232,0,4.67425292661055,22.5037079395092,6,958.039694326328,20390.1990566291,-19405.6044829776,-0,0,1.85387526140726,0,9497.48751714783,0,7.89729090680972e-10,1
120.765,9497.91913988438,2.11553606346407,9500,9497.58120670918,2.11553606346407,2.11553606346407,0,4.2994671662414,22.5135397495472,6,958.039694326328,20388.5195478292,-19406.054031601,-0,0,1.85387526140726,0,9497.58120670918,0,7.50770207150071e-10,1
120.78,9497.98363189187,2.1151261674041,9500,9497.6687863157,2.1151261674041,2.1151261674041,0,3.98170802903957,22.5218285325258,6,958.039694326328,20387.1734105621,-19406.513011406,-0,0,1.85387526140726,0,9497.6687863157,0,7.33712700576274e-10,1
120.795,9498.04335751231,2.11480252973589,9500,9497.75038248233,2.11480252973589,2.11480252973589,0,3.72081551691667,22.5285696427457,6,958.039694326328,20386.1727471506,-19406.994422008,-0,0,1.85387526140726,0,9497.75038248233,0,7.33440974970873e-10,1
120.81,9498.09916974506,2.11456162842451,9500,9497.82631062354,2.11456162842451,2.11456162842451,0,3.51371598006011,22.5338403597763,6,958.039694326328,20385.5081302512,-19407.5062884622,-0,0,1.85387526140726,0,9497.82631062354,0,7.44950580378499e-10,1
120.825,9498.15187548476,2.11439616694388,9500,9497.89702547562,2.11439616694388,2.11439616694388,0,3.35513822738784,22.5377802633707,6,958.039694326328,20385.1532046966,-19408.0521948518,-0,0,1.85387526140726,0,9497.89702547562,0,7.63606097663886e-10,1
120.84,9498.20220255818,2.11429619010667,9500,9497.96307304112,2.11429619010667,2.11429619010667,0,3.23831637446532,22.5405718247658,6,958.039694326328,20385.0693605467,-19408.6319642107,-0,0,1.85387526140726,0,9497.96307304112,0,7.85322875032474e-10,1
120.855,9498.25077730379,2.11425013661009,9500,9498.02504644458,2.11425013661009,2.11425013661009,0,3.15564286406982,22.5424222635471,6,958.039694326328,20385.2102034213,-19409.2424186853,-0,0,1.85387526140726,0,9498.02504644458,0,8.06691763857583e-10,1
120.87,9498.29811194675,2.11424578172174,9500,9498.08354741838,2.11424578172174,2.11424578172174,0,3.09924480010694,22.5435474502434,6,958.039694326328,20385.5256114463,-19409.8781619276,-0,0,1.85387526140726,0,9498.08354741838,0,8.25033593742122e-10,1
120.885,9498.34460061876,2.11427103847101,9500,9498.13915449797,2.11427103847101,2.11427103847101,0,3.06146607984131,22.5441583712747,6,958.039694326328,20385.9652311387,-19410.5323355936,-0,0,1.85387526140726,0,9498.13915449797,0,8.3840578279719e-10,1
120.9,9498.39052260995,2.11431459957568,9500,9498.19239842824,2.11431459957568,2.11431459957568,0,3.03524635748173,22.5444504295986,6,958.039694326328,20386.4813238557,-19411.1973125368,-0,0,1.85387526140726,0,9498.19239842824,0,8.45567967648629e-10,1
120.915,9498.43605130531,2.11436641455775,9500,9498.24374478649,2.11436641455775,2.11436641455775,0,3.01439530107954,22.5445956419053,6,958.039694326328,20387.0309274168,-19411.8653000525,-0,0,1.85387526140726,0,9498.24374478649,0,8.45911643039207e-10,1
120.93,9498.48126723483,2.11441800671958,9500,9498.29358342467,2.11441800671958,2.11441800671958,0,2.99376670948754,22.5447376181295,6,958.039694326328,20387.5773423621,-19412.528836694,-0,0,1.85387526140726,0,9498.29358342467,0,8.39373101598845e-10,1
120.945,9498.52617373547,2.11446264267084,9500,9498.34222403012,2.11446264267084,2.11446264267084,0,2.96934175635411,22.5449890743364,6,958.039694326328,20388.0909881268,-19413.1811752973,-0,0,1.85387526140726,0,9498.34222403012,0,8.26329154893299e-10,1
120.96,9498.57071386182,2.11449537289521,9500,9498.38989689563,2.11449537289521,2.11449537289521,0,2.93823392846502,22.5454315354973,6,958.039694326328,20388.5497009138,-19413.8165526004,-0,0,1.85387526140726,0,9498.38989689563,0,8.07489934653102e-10,1
120.975,9498.61478737075,2.1145129655164,9500,9498.43675787263,2.1145129655164,2.1145129655164,0,2.89863019885974,22.5461168278811,6,958.039694326328,20388.9385624821,-19414.4303520727,-0,0,1.85387526140726,0,9498.43675787263,0,7.83795665979849e-10,1
120.99,9498.65826682373,2.11451375716776,9500,9498.48289644244,2.11451375716776,2.11451375716776,0,2.8496837736393,22.5470699374538,6,958.039694326328,20389.2493582645,-19415.0191712294,-0,0,1.85387526140726,0,9498.48289644244,0,7.56315002764559e-10,1
121.005,9498.70101208033,2.11449744495504,9500,9498.52834586888,2.11449744495504,2.11449744495504,0,2.79137354105859,22.5482928155523,6,958.039694326328,20389.4797651779,-19415.5808078492,-0,0,1.85387526140726,0,9498.52834586888,0,7.26164046781162e-10,1
121.02,9498.74288268345,2.1144648422367,9500,9498.5730944759,2.1144648422367,2.1144648422367,0,2.72434434346928,22.5497687403374,6,958.039694326328,20389.6323655122,-19416.1141812608,-0,0,1.85387526140726,0,9498.5730944759,0,6.94432269712646e-10,1
121.035,9498.7837478486,2.1144176186565,9500,9498.61709721224,2.1144176186565,2.1144176186565,0,2.64974058503667,22.5514668862882,6,958.039694326328,20389.7135746798,-19416.6192053902,-0,0,1.85387526140726,0,9498.61709721224,0,6.62123605391836e-10,1
121.05,9498.82349395738,2.11435804187026,9500,9498.66028680779,2.11435804187026,2.11435804187026,0,2.56904369246995,22.5533468085917,6,958.039694326328,20389.7325587809,-19417.0966297685,-0,0,1.85387526140726,0,9498.66028680779,0,6.30118910350002e-10,1
121.065,9498.86202961276,2.11428873501184,9500,9498.70258398069,2.11428873501184,2.11428873501184,0,2.48392174028714,22.5553626096901,6,958.039694326328,20389.7002041197,-19417.5478634107,-0,0,1.85387526140726,0,9498.70258398069,0,5.99147043667937e-10,1
121.08,9498.89928843887,2.11421246040829,9500,9498.74390630932,2.11421246040829,2.11421246040829,0,2.39609729798038,22.5574666169762,6,958.039694326328,20389.6281861365,-19417.974794607,-0,0,1.85387526140726,0,9498.74390630932,0,5.69773691786979e-10,1
121.095,9498.93522989834,2.11413193660326,9500,9498.78417553047,2.11413193660326,2.11413193660326,0,2.30723740034285,22.559612460102,6,958.039694326328,20389.5281707347,-19418.3796174333,-0,0,1.85387526140726,0,9498.78417553047,0,5.42398806645183e-10,1
121.11,9498.96983845934,2.11404969255822,9500,9498.82332315808,2.11404969255822,2.11404969255822,0,2.21886756709275,22.5617574907233,6,958.039694326328,20389.4111673462,-19418.7646733736,-0,0,1.85387526140726,0,9498.82332315808,0,5.17264549301515e-10,1
121.125,9499.00312147285,2.11396796009903,9500,9498.86129442984,2.11396796009903,2.11396796009903,0,2.13231009708755,22.5638645347649,6,958.039694326328,20389.2870409966,-19419.1323140281,-0,0,1.85387526140726,0,9498.86129442984,0,4.94472703555426e-10,1
121.14,9499.03510612431,2.11388860334615,9500,9498.89805068087,2.11388860334615,2.11388860334615,0,2.04864546924009,22.5659030061662,6,958.039694326328,20389.1641804097,-19419.4847885756,-0,0,1.85387526140726,0,9498.89805068087,0,4.74002430566345e-10,1
121.155,9499.06583580634,2.11381308204738,9500,9498.93357031223,2.11381308204738,2.11381308204738,0,1.96869461666161,22.5678494410428,6,958.039694326328,20389.0493110687,-19419.824157594,-0,0,1.85387526140726,0,9498.93357031223,0,4.55736286097142e-10,1
121.17,9499.09536622559,2.11374244442996,9500,9498.96784856835,2.11374244442996,2.11374244442996,0,1.89301910235588,22.5696875322297,6,958.039694326328,20388.9474361862,-19420.1522330701,-0,0,1.85387526140726,0,9498.96784856835,0,4.39482789376922e-10,1
121.185,9499.12376151213,2.11367734437676,9500,9499.0008963632,2.11367734437676,2.11367734437676,0,1.82193579344954,22.5714077568439,6,958.039694326328,20388.8618846528,-19420.4705430043,-0,0,1.85387526140726,0,9499.0008963632,0,4.24999677300708e-10,1
121.2,9499.15109054903,2.11361807736153,9500,9499.03273840236,2.11361807736153,2.11361807736153,0,1.75554246754491,22.5730066946203,6,958.039694326328,20388.7944430389,-19420.7803179439,-0,0,1.85387526140726,0,9499.03273840236,0,4.12017672107048e-10,1
121.215,9499.17742368605,2.11356462959,9500,9499.06341084057,2.11356462959,2.11356462959,0,1.69375085319939,22.5744861334949,6,958.039694326328,20388.7455483909,-19421.0824960664,-0,0,1.85387526140726,0,9499.06341084057,0,4.00259941279802e-10,1
121.23,9499.20282994884,2.11351673510896,9500,9499.09295869463,2.11351673510896,2.11351673510896,0,1.63632385546341,22.5758520525323,6,958.039694326328,20388.7145195856,-19421.3777430318,-0,0,1.85387526140726,0,9499.09295869463,0,3.89456561700194e-10,1
121.245,9499.22737480667,2.11347393619664,9500,9499.12143320355,2.11347393619664,2.11347393619664,0,1.58291410097911,22.5771135620536,6,958.039694326328,20388.6998070729,-19421.6664827221,-0,0,1.85387526140726,0,9499.12143320355,0,3.79358121539605e-10,1
121.26,9499.25111851819,2.11343564305048,9500,9499.14888929427,2.11343564305048,2.11343564305048,0,1.53310140500104,22.578281868129,6,958.039694326328,20388.6992436286,-19421.9489351096,-0,0,1.85387526140726,0,9499.14888929427,0,3.69746049445968e-10,1
121.275,9499.27411503926,2.11340118958389,9500,9499.17538327551,2.11340118958389,2.11340118958389,0,1.48642727866719,22.5793693145057,6,958.039694326328,20388.7102819789,-19422.2251578116,-0,0,1.85387526140726,0,9499.17538327551,0,3.60437088563776e-10,1
121.29,9499.29641144844,2.11336988296318,9500,9499.20097084624,2.11336988296318,2.11336988296318,0,1.44242511485507,22.5803885406965,6,958.039694326328,20388.7302085656,-19422.4950883353,-0,0,1.85387526140726,0,9499.20097084624,0,3.51284843193425e-10,1
121.305,9499.31804782517,2.1133410453128,9500,9499.22570547131,2.1133410453128,2.1133410453128,0,1.4006451893469,22.5813517811454,6,958.039694326328,20388.7563260763,-19422.758584547,-0,0,1.85387526140726,0,9499.22570547131,0,3.42184252747649e-10,1
121.32,9499.33905750301,2.11331404675005,9500,9499.24963714659,2.11331404675005,2.11331404675005,0,1.36067406654555,22.5822703178185,6,958.039694326328,20388.7861005046,-19423.0154614615,-0,0,1.85387526140726,0,9499.24963714659,0,3.33063840350528e-10,1
121.335,9499.35946761401,2.11328832955258,9500,9499.27281154971,2.11328832955258,2.11328832955258,0,1.32214838724088,22.5831540876745,6,958.039694326328,20388.8172712747,-19423.2655230178,-0,0,1.85387526140726,0,9499.27281154971,0,3.23886399179494e-10,1
121.35,9499.37929983981,2.11326342379117,9500,9499.29526955197,2.11326342379117,2.11326342379117,0,1.28476333313254,22.5840114375828,6,958.039694326328,20388.8479253004,-19423.5085880353,-0,0,1.85387526140726,0,9499.29526955197,0,3.14642275043484e-10,1
121.365,9499.39857128981,2.11323895517318,9500,9499.31704705145,2.11323895517318,2.11323895517318,0,1.24827630338751,22.5848490124482,6,958.039694326328,20388.8765376898,-19423.7445100218,-0,0,1.85387526140726,0,9499.31704705145,0,3.05344371328861e-10,1
