time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,DOB_compensation,GPR_FF,GPR_nominalFuel,GPR_referenceAcceleration,GPR_querySpeed,GPR_speedGuard,max_flow_error,valid
69.315,9500.00000000001,1.84947136024781,9500,9500.00000000001,1.84947136024691,1.84947136024781,0,-6.48482587213667e-11,27.1532411724319,1,0,19160.7938865262,-19160.7938865266,-0,8.91731133378926e-13,1.85387526140815,0,9500.00000000001,0,1.52365622193173e-10,1
69.33,9500.00000000001,1.84947136024779,9500,9500.00000000001,1.8494713602469,1.84947136024779,0,-1.04220415802197e-10,27.1532411724319,1,0,19160.793886526,-19160.7938865266,-0,8.91731133378926e-13,1.85387526140815,0,9500.00000000001,0,1.52360482814349e-10,1
69.345,9500.00000000001,1.8494713602471,9500,9500.00000000001,1.84947136024694,1.8494713602471,0,-6.98276785874717e-10,27.1532411724319,1,0,19160.7938865226,-19160.7938865265,-0,1.57651669496772e-13,1.85387526140741,0,9500.00000000001,0,1.52482286092488e-10,1
69.36,9500,1.84947136024762,9500,9500.00000000001,1.84947136024697,1.84947136024762,0,-1.95123778474112e-10,27.1532411724322,1,0,19160.7938865254,-19160.7938865265,-0,6.47037978751541e-13,1.8538752614079,0,9500.00000000001,0,1.52387892834746e-10,1
69.375,9499.99999999999,1.84947136024673,9500,9500.00000000001,1.84947136024706,1.84947136024673,0,-1.02888710489168e-09,27.1532411724322,1,0,19160.7938865206,-19160.7938865264,-0,-3.31512595153072e-13,1.85387526140693,0,9500.00000000001,0,1.52527683938771e-10,1
69.39,9499.99999999998,1.84947136024632,9500,9500,1.84947136024714,1.84947136024632,0,-1.34618037077837e-09,27.1532411724325,1,0,19160.7938865187,-19160.7938865264,-0,-8.20898904407841e-13,1.85387526140644,0,9500,0,1.52592782737214e-10,1
69.405,9499.99999999996,1.84947136024822,9500,9500,1.84947136024733,1.84947136024822,0,3.35821339807078e-10,27.1532411724328,1,0,19160.7938865281,-19160.7938865262,-0,8.91731133378926e-13,1.85387526140815,0,9500,0,1.52262663304057e-10,1
69.42,9499.99999999996,1.84947136024899,9500,9499.99999999999,1.84947136024761,1.84947136024899,0,1.05088919267215e-09,27.1532411724328,1,0,19160.7938865322,-19160.7938865263,0,1.38089539802877e-12,1.85387526140864,0,9499.99999999999,0,1.52152680597214e-10,1
69.435,9499.99999999998,1.84947136024987,9500,9499.99999999998,1.84947136024776,1.84947136024987,0,1.79432815872782e-09,27.1532411724324,1,0,19160.7938865366,-19160.7938865264,-0,2.11497486191092e-12,1.85387526140937,0,9499.99999999998,0,1.519998697335e-10,1
69.45,9500.00000000001,1.84947136024989,9500,9499.99999999998,1.84947136024777,1.84947136024989,0,1.80069718413795e-09,27.1532411724319,1,0,19160.7938865368,-19160.7938865265,0,2.11497486191092e-12,1.85387526140937,0,9499.99999999998,0,1.5200192548503e-10,1
69.465,9500.00000000003,1.84947136024947,9500,9499.99999999999,1.8494713602476,1.84947136024947,0,1.40581760870963e-09,27.1532411724314,1,0,19160.7938865347,-19160.7938865267,-0,1.87028170728354e-12,1.85387526140913,0,9499.99999999999,0,1.52118075446462e-10,1
69.48,9500.00000000006,1.84947136024891,9500,9500,1.84947136024729,1.84947136024891,0,8.85294532008658e-10,27.1532411724311,1,0,19160.7938865319,-19160.7938865269,-0,1.62558855265615e-12,1.85387526140888,0,9500,0,1.52230113904835e-10,1
69.495,9500.00000000007,1.84947136024781,9500,9500.00000000001,1.84947136024692,1.84947136024781,0,-1.11168443522343e-10,27.1532411724308,1,0,19160.7938865263,-19160.7938865269,-0,8.91731133378926e-13,1.85387526140815,0,9500.00000000001,0,1.52402797033336e-10,1
69.51,9500.00000000007,1.84947136024621,9500,9500.00000000003,1.84947136024654,1.84947136024621,0,-1.5372511330824e-09,27.1532411724308,1,0,19160.7938865182,-19160.7938865269,-0,-3.31512595153072e-13,1.85387526140693,0,9500.00000000003,0,1.52659937287187e-10,1
69.525,9500.00000000004,1.84947136024742,9500,9500.00000000004,1.84947136024628,1.84947136024742,0,-4.22092683998896e-10,27.1532411724313,1,0,19160.7938865243,-19160.7938865267,-0,1.13620224340139e-12,1.85387526140839,0,9500.00000000004,0,1.52471150771702e-10,1
69.54,9500.00000000004,1.84947136024588,9500,9500.00000000004,1.84947136024621,1.84947136024588,0,-1.80938221878813e-09,27.1532411724314,1,0,19160.7938865165,-19160.7938865267,-0,-3.31512595153072e-13,1.85387526140693,0,9500.00000000004,0,1.52689574371741e-10,1
69.555,9500.00000000001,1.84947136024585,9500,9500.00000000004,1.84947136024618,1.84947136024585,0,-1.80532920261805e-09,27.1532411724319,1,0,19160.7938865163,-19160.7938865266,0,-3.31512595153072e-13,1.85387526140693,0,9500.00000000004,0,1.52678439050955e-10,1
69.57,9499.99999999998,1.84947136024698,9500,9500.00000000003,1.84947136024634,1.84947136024698,0,-7.68915067696205e-10,27.1532411724324,1,0,19160.793886522,-19160.7938865264,-0,6.47037978751541e-13,1.8538752614079,0,9500.00000000003,0,1.52484170531391e-10,1
