accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,case_index,method,rpm,fraction,shape,Kp,Ki,gp_replay_error,wall_seconds
1,0.594153474482887,5.32465497307567,18.3087097664589,29.4044577897449,1.15636470954195,0,0.137953451594811,0.0387244148872268,0.548231773561566,4.095,0,6,NaN,1,BasePI,9000,0.05,ramps,0.025,0.05,0,39.2726132
1,0.499006028852448,3.28194336709385,19.0965818172574,29.7490877846301,1.14561920264173,0,0.100654882032233,0.0280977673922735,0.557102176701626,5.05500000000001,0,6,NaN,1,InvGPR_PI_GPRFF,9000,0.05,ramps,2,30,2.77311507090872e-12,65.8162679
1,1.00206934078868,6.59866812047949,38.3590439786877,25.0518498640789,1.31161467576692,0,0.200257810863603,0.0572112372472617,1.12110005725402,5.66999999999999,0,6,NaN,2,InvGPR_PI,9000,0.1,ramps,2,30,2.26774155009934e-12,68.2601105
1,2.57148196166329,23.7072827862285,78.11044635962,14.4445271471951,1.73518835762485,0,0.598732916561338,0.199761852991514,2.40832737657839,4.755,0,6,NaN,3,BasePI_GPRFF,9000,0.2,ramps,0.025,0.05,1.95932159385848e-12,26.1136209
1,3.97301930388849,35.3594557203432,121.624380422636,5.52567138928642,2.17123263436557,0,0.945638309779836,0.340081154807041,3.89964189848757,4.965,0,6,NaN,4,BasePI,9000,0.3,ramps,0.025,0.05,0,24.1791232
1,3.32721377439838,21.9413312111246,126.990679221813,7.46441840260551,2.07743470363008,0,0.551739082551359,0.218793023287138,3.86959994774544,6.705,0,6,NaN,4,InvGPR_PI_GPRFF,9000,0.3,ramps,2,30,2.61346499996762e-12,66.7703545
1,0.703479403371022,4.83573384474766,26.0267712536752,22.2242978557264,2.12980021212721,0,0.157530950261204,0.0481322045810657,0.954986149444389,5.09999999999999,0,6,NaN,5,InvGPR_PI,9500,0.05,ramps,2,30,3.22519788653608e-12,59.9601534
1,2.1918264592035,19.9376769982682,65.8637950472448,16.5721395379378,2.47509128554009,0,0.433926684001405,0.188833879573442,2.11550554547902,4.56,0,6,NaN,6,BasePI_GPRFF,9500,0.1,ramps,0.025,0.05,4.19286827479937e-12,24.3962625
1,4.45266742097516,39.2701220463041,137.687818345279,7.24485720889482,3.15319160468163,0,0.891577918303045,0.388646506149325,4.39529234826107,5.05500000000001,0,6,NaN,7,BasePI,9500,0.2,ramps,0.025,0.05,0,24.8113127
1,3.07843412936433,21.2393968690831,113.651352001879,8.51472999304677,3.07268734836252,0,0.628958671730113,0.232114551128185,4.26251123354184,6.285,0,6,NaN,7,InvGPR_PI_GPRFF,9500,0.2,ramps,2,30,4.40825154157665e-12,63.7815542
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.38,8,InvGPR_PI,9500,0.3,ramps,2,30,1.94333438230387e-12,100.6803994
1,6.71204757313371,56.3292415349424,137.688900699365,4.93275882788515,3.32371885678094,0,4.31469919715359,1.4742474967074,11.0278668060218,2.745,0,6,NaN,9,BasePI_GPRFF,9500,0.2,steps,0.025,0.05,3.92663679349425e-12,20.058139
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.155,10,BasePI,9500,0.3,steps,0.025,0.05,0,75.6913116
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.095,10,InvGPR_PI_GPRFF,9500,0.3,steps,2,30,1.7448265055009e-12,95.7407956
1,0.930388020100661,8.0756796915357,26.0437179786605,20.5851574710239,2.22773539645034,0,2.48776109233274,0.378264036202461,6.24587518265095,3.16500000000001,0,6,NaN,11,InvGPR_PI,9500,0.05,steps,2,30,3.45123929434976e-12,36.2997981
