time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,DOB_compensation,GPR_FF,GPR_nominalFuel,GPR_referenceAcceleration,GPR_querySpeed,GPR_speedGuard,max_flow_error,valid
71.82,8999.81827954169,1.13402277960561,9000,8999.79304363206,1.13402277960561,1.13402277960561,0,0.383432252134432,30.1600816526947,6,589.46226056395,12555.6765106843,-11964.1504513725,-0,0,0.98231214185125,0,9000,1,5.28874203677338e-10,1
71.835,8999.82403102547,1.13401191541713,9000,8999.79958383349,1.13401191541713,1.13401191541713,0,0.371716750822614,30.160541465673,6,589.46226056395,12555.6463468373,-11964.1833544456,-0,0,0.98231214185125,0,9000,1,5.12988953687284e-10,1
71.85,8999.82960677674,1.13400133675168,9000,8999.80591962888,1.13400133675168,1.13400133675168,0,0.360326034753298,30.1609886187896,6,589.46226056395,12555.6168739657,-11964.2152001901,-0,0,0.98231214185125,0,9000,1,4.98776797665625e-10,1
71.865,8999.83501166726,1.13399100820887,9000,8999.81205844934,1.13399100820887,1.13399100820887,0,0.349231452053138,30.1614242845805,6,589.46226056395,12555.5879364439,-11964.2459872147,-0,0,0.98231214185125,0,9000,1,4.85845231711471e-10,1
71.88,8999.84025013904,1.13398090565829,9000,8999.81800706268,1.13398090565829,1.13398090565829,0,0.338412702341826,30.161849288624,6,589.46226056395,12555.5594328288,-11964.2757233527,-0,0,0.98231214185125,0,9000,1,4.73820385559558e-10,1
71.895,8999.84532632957,1.13397101520028,9000,8999.82377163395,1.13397101520028,1.13397101520028,0,0.327857007805724,30.1622641435319,6,589.46226056395,12555.5313112185,-11964.3044254828,-0,0,0.98231214185125,0,9000,1,4.62361559884598e-10,1
71.91,8999.85024418469,1.13396133165503,9000,8999.82935780276,1.13396133165503,1.13396133165503,0,0.317557955449352,30.1626690967528,6,589.46226056395,12555.5035622162,-11964.3321187252,-0,0,0.98231214185125,0,9000,1,4.51183957339328e-10,1
71.925,8999.85500755402,1.13395185675998,9000,8999.83477076971,1.13395185675998,1.13395185675998,0,0.307514143222542,30.163064186688,6,589.46226056395,12555.4762103755,-11964.3588351753,-0,0,0.98231214185125,0,9000,1,4.40061722247023e-10,1
71.94,8999.85962026617,1.13394259724317,9000,8999.84001538533,1.13394259724317,1.13394259724317,0,0.297727750807445,30.1634493020464,6,589.46226056395,12555.4493049431,-11964.3846123403,-0,0,0.98231214185125,0,9000,1,4.28832566173496e-10,1
71.955,8999.86408618243,1.13393356292009,9000,8999.84509623526,1.13393356292009,1.13393356292009,0,0.28820314274611,30.1638242399923,6,589.46226056395,12555.4229106337,-11964.4094914335,-0,0,0.98231214185125,0,9000,1,4.17399750360376e-10,1
71.97,8999.86840922957,1.13392476493411,9000,8999.85001771744,1.13392476493411,1.13392476493411,0,0.278945587573219,30.1641887595175,6,589.46226056395,12555.3970990248,-11964.4335156649,-0,0,0.98231214185125,0,9000,1,4.05720588150939e-10,1
71.985,8999.87259341339,1.13391621423103,9000,8999.85478410771,1.13391621423103,1.13391621423103,0,0.269960158497205,30.1645426273601,6,589.46226056395,12555.3719410408,-11964.4567286429,-0,0,0.98231214185125,0,9000,1,3.93804330537727e-10,1
