time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,VF_sdSetpoint,VF_sdFeedback,VF_gainFactor,VF_Kp,VF_Ki,max_flow_error,valid
0.12,10000.0003313055,2.99999377736072,10000,10000.0002270543,2.99999377736072,2.99999377736072,0,0.000123420550441869,17.8326235095386,3,0,27896.5124260014,-27896.5116877517,2.99999377736072,3.00433729150934,3.00434170325966,-4.41175032417362e-06,0.00225925222217726,-0.00433258427222356,2.99999477156162,1,0.00124786046181821,0.00124786241346979,0.750697929327417,2.25209378798225,45.041875759645,2.7885375506563e-10,1
0.135,10000.0003331569,2.99999292097638,10000,10000.0002540723,2.99999292097638,2.99999292097638,0,-0.00039037364222826,17.8326328993909,3,0,27896.5085438347,-27896.5108788854,2.99999292097638,3.00433729150934,3.00434146033235,-4.16882300768862e-06,0.00207902292741567,-0.00433357847395924,2.99999432445582,1,0.00124786046181821,0.00124786260806563,0.750697862189411,2.25209358656823,45.0418717313647,2.41499340257543e-10,1
0.15,10000.0003273012,2.99999220995451,10000,10000.0002745681,2.99999220995451,2.99999220995451,0,-0.000811434617644007,17.8326406870221,3,0,27896.5052981284,-27896.5101517884,2.99999220995451,3.00433729150934,3.00434103035348,-3.738844137402e-06,0.00179862091885268,-0.00433498195392143,2.99999388932903,1,0.00124786046181821,0.0012478627427056,0.75069781573693,2.25209344721079,45.0418689442158,1.97507902041527e-10,1
0.165,10000.0003151297,2.99999165698318,10000,10000.0002882345,2.99999165698318,2.99999165698318,0,-0.00113321095019253,17.8326467348875,3,0,27896.5027507099,-27896.5095291004,2.99999165698318,3.00433729150934,3.00434046621621,-3.17470687694055e-06,0.00144940765450488,-0.00433666132869215,2.99999348044434,1,0.00124786046181821,0.00124786281908413,0.750697789385378,2.25209336815613,45.0418673631227,1.50509693950649e-10,1
0.18,10000.0002981316,2.99999126380581,10000,10000.0002952048,2.99999126380581,2.99999126380581,0,-0.00135577294580832,17.8326510255389,3,0,27896.5009140207,-27896.5090236833,2.99999126380581,3.00433729150934,3.00433982050263,-2.52899328723188e-06,0.00106194818316862,-0.00433848478991147,2.99999311119047,1,0.00124786046181821,0.0012478628409376,0.750697781845656,2.25209334553697,45.0418669107394,1.03641452698843e-10,1
0.195,10000.000277795,2.99999102314047,10000,10000.0002959633,2.99999102314047,2.99999102314047,0,-0.00148458969008507,17.8326536404735,3,0,27896.4997595301,-27896.5086397202,2.99999102314047,3.00433729150934,3.00433914184954,-1.85034019839492e-06,0.000664001052502657,-0.00434033217452179,2.99999279219592,1,0.00124786046181821,0.00124786281326233,0.750697791393972,2.25209337418192,45.0418674836383,5.94225015401071e-11,1
0.21,10000.0002555261,2.99999092073646,10000,10000.0002912547,2.99999092073646,2.99999092073646,0,-0.00152990900164992,17.8326547061022,2,0,27896.4992242124,-27896.5083754836,2.99999092073646,3.00433729150934,3.00433847251524,-1.18100589707737e-06,0.000279225837275515,-0.00434210122988568,2.99999253054381,1,0.00124786046181821,0.00124786274440001,0.750697815152339,2.25209344545702,45.0418689091403,4.02602891507197e-10,1
0.225,10000.0002325775,2.99999093743094,10000,10000.0002819952,2.99999093743094,2.99999093743094,0,-0.00150156650391149,17.832654546781,2,0,27896.4992352907,-27896.5082170289,2.99999093743094,3.00433729150934,3.00433784693968,-5.55430339943541e-07,-7.35299761541602e-05,-0.00434371103718088,2.99999232959107,1,0.00124786046181821,0.00124786264299643,0.750697850137847,2.25209355041354,45.0418710082708,2.85297214591683e-10,1
0.24,10000.000210054,2.99999105116033,10000,10000.000269188,2.99999105116033,2.99999105116033,0,-0.00141562513082014,17.8326533172839,2,0,27896.4996876209,-27896.508155294,2.99999105116033,3.00433729150934,3.00433729100611,5.03223240855277e-10,-0.000380548142754645,-0.00434510319731145,2.99999218944533,1,0.00124786046181821,0.00124786251734982,0.750697893487503,2.25209368046251,45.0418736092502,8.83733616655479e-10,1
0.255,10000.0001888196,2.99999123843946,10000,10000.0002538627,2.99999123843946,2.99999123843946,0,-0.00128936084816779,17.8326511778971,3,0,27896.5004659093,-27896.5081783227,2.99999123843946,3.00433729150934,3.0043368226115,4.68897839223104e-07,-0.000632816934976955,-0.00434624148238412,2.99999210602888,1,0.00124786046181821,0.00124786237762661,0.750697941693762,2.25209382508128,45.0418765016257,6.30135725225864e-11,1
