rpm,fraction,shape,method,Kp,Ki,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,minimum_margin_percent,outside_training_percent,trim_error_rpm,gp_replay_error,wall_seconds,sd_replay_error,sigma_reference,minimum_gain_factor,mean_gain_factor,maximum_sd,integral_replay_error
9000,0.05,ramps,VirtualFuelUQ,3,60,1,0.337849793297694,2.42453976636534,12.8607512166119,1.15170205507065,0,29.5893916919662,33.3277787035494,3.63797880709171e-12,2.24686935723639e-12,83.2331026,4.27573774997025e-13,0.00117869140423888,0.736599722420649,0.743393415060461,0.0012884536859994,0
9000,0.1,ramps,VirtualFuelUQ,3,60,1,0.679743864338944,4.89646981568694,25.876779167693,1.32355976307769,0,24.7799954384846,33.3277787035494,3.63797880709171e-12,2.69650968220958e-12,74.0737077,4.27407892064635e-13,0.00117869140423888,0.727988884110536,0.743183385870016,0.00131299940942827,0
9000,0.2,ramps,VirtualFuelUQ,3,60,1,1.45233384294211,10.7382026281684,55.2291100644027,1.71384227812835,0,15.1480837248242,33.3277787035494,3.63797880709171e-12,2.24709140184132e-12,73.0834283,3.81240828836726e-13,0.00117869140423888,0.699810724808123,0.742627395559689,0.0013922409562942,0
9000,0.3,ramps,VirtualFuelUQ,3,60,1,2.28403550546029,16.8250634897922,86.598106397638,2.11020949685327,0,6.98837099773518,33.3277787035494,3.63797880709171e-12,3.14570591797292e-12,49.4614973,3.41937632722389e-13,0.00117869140423888,0.653409046080998,0.741877176613693,0.00152016178852756,0
9500,0.05,ramps,VirtualFuelUQ,3,60,1,0.460145759403081,3.47640618465084,16.9061363332841,2.14174691724819,0,22.0579567457454,0,3.63797880709171e-12,2.02238226165719e-12,83.3604473,4.09474754450856e-13,0.00117869140423888,0.768843491365631,0.769897228651646,0.00119476437726691,0
9500,0.1,ramps,VirtualFuelUQ,3,60,1,0.961601178610634,7.30883665086549,35.310346220879,2.46140124846598,0,16.9837183763818,0,3.63797880709171e-12,2.69650968220958e-12,73.8633179,4.54994332141356e-13,0.00117869140423888,0.768694009728494,0.769886772947442,0.00119520617819979,0
9500,0.2,ramps,VirtualFuelUQ,3,60,1,2.01207608558006,15.16957732224,73.8157625148764,3.12446054216079,0,8.07019541329944,0,3.63797880709171e-12,2.47157849742052e-12,73.1211009,5.0046924070235e-13,0.00117869140423888,0.768616957635224,0.769872574413182,0.00119543387953298,0
9500,0.3,ramps,VirtualFuelUQ,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.79745107686813e-12,123.4808504,3.72761717326586e-13,0.00117869140423888,0.768490589977116,0.769869356407032,0.00119580727183161,0
9500,0.2,steps,VirtualFuelUQ,3,60,1,3.75782136330873,31.3687092159871,105.120770530081,3.36535281980655,0,4.95781237369397,0,3.63797880709171e-12,3.14570591797292e-12,67.2140874,5.93466898887729e-13,0.00117869140423888,0.227746375464227,0.76829791414578,0.00283448613487362,0
9500,0.3,steps,VirtualFuelUQ,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.79745107686813e-12,102.2539352,3.95770872671508e-13,0.00117869140423888,0.0151377027995645,0.766164463781656,0.00477034632027759,0
