rpm,fraction,shape,first_invalid_eval_s,margin,flow_error,iterations
9500,0.3,ramps,10.365,0.000217266848758624,0.00373298312019741,200
9500,0.3,steps,10.23,0.000223853925416204,0.0104921120157223,200
