rpm,fraction,shape,previous_valid,fixed_FF_valid,scheduled_valid,previous_RMSE,fixed_FF_RMSE,scheduled_RMSE,improvement_vs_previous_percent,improvement_vs_fixed_percent,previous_peak,fixed_FF_peak,scheduled_peak,previous_IAE,fixed_FF_IAE,scheduled_IAE,previous_margin,fixed_FF_margin,scheduled_margin,minimum_gain_factor,mean_gain_factor
9000,0.05,ramps,1,1,1,0.370562617006627,0.251226235854906,0.337849793297694,8.82788014969896,-34.4802990611286,2.22624043501492,1.79024449164717,2.42453976636534,14.3212237583598,9.54807868107128,12.8607512166119,29.8630012219869,29.6930943492501,29.5893916919662,0.736599722420649,0.743393415060461
9000,0.1,ramps,1,1,1,0.744078008466557,0.504458043096064,0.679743864338944,8.64615583253118,-34.7473538467302,4.46486399276182,3.60549350910878,4.89646981568694,28.7655153718404,19.1779534265231,25.876779167693,25.2776323199369,24.9392611852692,24.7799954384846,0.727988884110536,0.743183385870016
9000,0.2,ramps,1,1,1,1.58093050092005,1.07214524506324,1.45233384294211,8.13423853250355,-35.4605497370316,9.47838241556201,7.89388448664795,10.7382026281684,61.1100840793059,40.7381802009682,55.2291100644027,16.2279872725697,15.2006756821313,15.1480837248242,0.699810724808123,0.742627395559689
9000,0.3,ramps,1,1,1,2.46661370627074,1.67072252224791,2.28403550546029,7.40197787542861,-36.7094460657168,14.7063680561787,12.1327028180331,16.8250634897922,95.1800039832923,63.4434004745397,86.598106397638,8.30426143391737,7.03655171806478,6.98837099773518,0.653409046080998,0.741877176613693
9500,0.05,ramps,1,1,1,0.522166798606537,0.354654765075788,0.460145759403081,11.8776297859164,-29.7446995544385,3.30107531684371,2.65326657835249,3.47640618465084,19.5192550427741,13.0133775603046,16.9061363332841,22.3164018480251,22.1877608471801,22.0579567457454,0.768843491365631,0.769897228651646
9500,0.1,ramps,1,1,1,1.09108393224036,0.741367148039899,0.961601178610634,11.8673504213241,-29.7064728526226,6.86942670238204,5.57980577109083,7.30883665086549,40.7641900226612,27.1766935472046,35.310346220879,17.5398227545051,17.1434966705189,16.9837183763818,0.768694009728494,0.769886772947442
9500,0.2,ramps,1,1,1,2.28365702960949,1.55167591786257,2.01207608558006,11.8923700235263,-29.6711550664323,14.4253235792639,11.7167482232617,15.16957732224,85.2248481536614,56.8112571689857,73.8157625148764,8.93871685702351,8.22845479516774,8.07019541329944,0.768616957635224,0.769872574413182
9500,0.3,ramps,1,0,0,3.68136577756138,NaN,NaN,NaN,NaN,23.319846796112,NaN,NaN,137.317970481938,NaN,NaN,0.356432862439272,NaN,NaN,0.768490589977116,0.769869356407032
9500,0.2,steps,1,0,1,3.09508549804032,NaN,3.75782136330873,-21.4125220672588,NaN,26.0187914266698,NaN,31.3687092159871,84.9444243379509,NaN,105.120770530081,0.672833932950578,NaN,4.95781237369397,0.227746375464227,0.76829791414578
9500,0.3,steps,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151377027995645,0.766164463781656
