probeSpeed,probeSD,probeFactor
8500,0.465367064406444,0
8525,0.426861643991967,0
8550,0.386950633006802,0
8575,0.34631340922758,0
8600,0.305679263160179,0
8625,0.265792800286547,0
8650,0.227377109198596,0
8675,0.191097375132575,0
8700,0.157527693973864,0
8725,0.127123659190278,0
8750,0.100202858230337,0
8775,0.0769347603688336,0
8800,0.0573406684577906,1.10712379227639e-263
8825,0.041303531778201,3.65733930600725e-137
8850,0.0285865892721428,4.41092948537591e-66
8875,0.0188591811840856,3.59085148589339e-29
8900,0.0117278927144318,9.99735170464017e-12
8925,0.00677217246187256,0.000214850098414171
8950,0.0035879324548012,0.0934230311956561
8975,0.00184895454932476,0.532835236983719
9000,0.00126841712745174,0.743581831556527
9025,0.00123021314646293,0.756768499311321
9050,0.00123396000658983,0.755482900258393
9075,0.00120828698832618,0.764256417605571
9100,0.00118618375231539,0.769909651387717
9125,0.00117975672838301,0.769909651387717
9150,0.00117978486020711,0.769909651387717
9175,0.00117730736620577,0.769909651387717
9200,0.00117180083735146,0.769909651387717
9225,0.0011673984284668,0.769909651387717
9250,0.00116724820941222,0.769909651387717
9275,0.00117128581875065,0.769909651387717
9300,0.00117735814390866,0.769909651387717
9325,0.00118324173643015,0.769909651387717
9350,0.00118772793052984,0.769909651387717
9375,0.0011905871037854,0.769909651387717
9400,0.00119208018839911,0.769751111902579
9425,0.00119258463492526,0.769580614545782
9450,0.00119246784544377,0.769620091157902
9475,0.0011920641378732,0.769756536238924
9500,0.00119161103004362,0.769909651387717
9525,0.00119114585398456,0.769909651387717
9550,0.00119047230343033,0.769909651387717
9575,0.00118928137625015,0.769909651387717
9600,0.00118737764721331,0.769909651387717
9625,0.00118483652256853,0.769909651387717
9650,0.00118193222855466,0.769909651387717
9675,0.00117887215986989,0.769909651387717
9700,0.00117562009939326,0.769909651387717
9725,0.00117211759134347,0.769909651387717
9750,0.00116884886518337,0.769909651387717
9775,0.00116716619941578,0.769909651387717
9800,0.00116871094438655,0.769909651387717
9825,0.00117411502369368,0.769909651387717
9850,0.00118242885412369,0.769909651387717
9875,0.00119255247813493,0.769591484211224
9900,0.0012049904091938,0.765376889468973
9925,0.00121879291105763,0.760676186357781
9950,0.00122253458403747,0.759397690239098
9975,0.0012019083985465,0.766423142969796
10000,0.00124786046177476,0.750698602686423
10025,0.00180718297044413,0.548033384275881
10050,0.00340704166162097,0.117936744524309
10075,0.00632681240002607,0.000629062971436787
10100,0.0108890284315049,3.290208027108e-10
10125,0.0174929738090204,3.36627761148298e-25
10150,0.0265616286215877,3.76389816309944e-57
10175,0.0385003184729521,2.84625442124375e-119
10200,0.0536612887541902,5.10128876491142e-231
10225,0.0723116328380348,0
10250,0.0946056754928728,0
10275,0.120563846074888,0
10300,0.15005994605774,0
10325,0.182818120629174,0
10350,0.2184200245674,0
10375,0.256321774955908,0
10400,0.295879424229697,0
10425,0.336380963091929,0
10450,0.377082346773482,0
10475,0.417244774321769,0
10500,0.456170452773009,0
10525,0.49323433045577,0
10550,0.527909745648002,0
10575,0.559786549761694,0
10600,0.58858095977001,0
10625,0.61413710269993,0
10650,0.636420871139326,0
10675,0.655507259052638,0
10700,0.671562752033815,0
10725,0.68482458130426,0
10750,0.695578708059854,0
10775,0.704138291600742,0
10800,0.710824133486357,0
10825,0.715948217001914,0
10850,0.719801023938475,0
10875,0.72264286287167,0
10900,0.724699037791953,0
10925,0.726158366978589,0
10950,0.727174356787134,0
10975,0.727868250347334,0
11000,0.728333194064534,0
