ratio,factor
5.48,0.000460562834076043
5.49,0.000447816405843937
5.5,0.000435400465365665
5.51,0.000423307102663343
5.52,0.000411528578435511
5.53,0.000400057320878489
5.54,0.00038888592255388
5.55,0.000378007137301811
5.56,0.000367413877199639
5.57,0.000357099209565733
5.58,0.000347056354007987
5.59,0.00033727867951671
5.6,0.00032775970160152
5.61,0.000318493079471872
5.62,0.000309472613260857
5.63,0.00030069224129186
5.64,0.000292146037387733
5.65,0.000283828208222056
5.66,0.000275733090712123
5.67,0.000267855149453233
5.68,0.000260188974193901
5.69,0.000252729277351583
5.7,0.000245470891568503
5.71,0.000238408767307183
5.72,0.000231537970485257
5.73,0.000224853680149162
5.74,0.00021835118618629
5.75,0.000212025887075183
5.76,0.000205873287673352
5.77,0.000199888997042315
5.78,0.000194068726309404
5.79,0.00018840828656596
5.8,0.00018290358680146
5.81,0.000177550631873172
5.82,0.000172345520510916
5.83,0.000167284443356501
5.84,0.000162363681037421
5.85,0.000157579602274392
5.86,0.0001529286620223
5.87,0.000148407399644143
5.88,0.000144012437117557
5.89,0.000139740477273485
5.9,0.000135588302066593
5.91,0.000131552770877011
5.92,0.000127630818842963
5.93,0.000123819455223911
5.94,0.000120115761793758
5.95,0.000116516891263734
5.96,0.000113020065734535
5.97,0.000109622575177311
5.98,0.000106321775943111
5.99,0.000103115089300363
6,9.99999999999999e-05
