accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,case_index,method,rpm,fraction,shape,Kp,Ki,gp_replay_error,wall_seconds
1,0.594153474482887,5.32465497307567,18.3087097664589,29.4044577897449,1.15636470954195,0,0.137953451594811,0.0387244148872268,0.548231773561566,4.095,0,6,NaN,1,BasePI,9000,0.05,ramps,0.025,0.05,0,39.2726132
1,0.601439475453294,5.51470957149104,18.3087097730239,29.4044577897445,1.15636470954196,0,0.139702607440931,0.0402205184091938,0.557842556942408,4.08,0,6,NaN,1,BasePI_GPRFF,9000,0.05,ramps,0.025,0.05,2.03970174084134e-12,40.5794605
1,0.499006028845977,3.28194336710112,19.0965818175107,29.749087784655,1.14561920264085,0,0.100654881979662,0.0280977673913927,0.557102176426823,5.05500000000001,0,6,NaN,1,InvGPR_PI,9000,0.05,ramps,2,30,2.93898239078771e-12,74.9035036
1,0.499006028852448,3.28194336709385,19.0965818172574,29.7490877846301,1.14561920264173,0,0.100654882032233,0.0280977673922735,0.557102176701626,5.05500000000001,0,6,NaN,1,InvGPR_PI_GPRFF,9000,0.05,ramps,2,30,2.77311507090872e-12,65.8162679
1,1.19314306603586,10.6772387029541,36.7735784380474,24.4289169616843,1.33312577576445,0,0.275602631246861,0.0779669284836704,1.09588686391044,4.44,0,6,NaN,2,BasePI,9000,0.1,ramps,0.025,0.05,0,23.7796344
1,1.20777036579281,11.0577879000521,36.7735784438509,24.428916961684,1.33312577576446,0,0.279115709023952,0.0809957253706955,1.11442308260343,4.395,0,6,NaN,2,BasePI_GPRFF,9000,0.1,ramps,0.025,0.05,2.21533902333704e-12,28.8313623
1,1.00206934078868,6.59866812047949,38.3590439786877,25.0518498640789,1.31161467576692,0,0.200257810863603,0.0572112372472617,1.12110005725402,5.66999999999999,0,6,NaN,2,InvGPR_PI,9000,0.1,ramps,2,30,2.26774155009934e-12,68.2601105
1,1.00206934079855,6.59866812050132,38.3590439786909,25.0518498641171,1.31161467576546,0,0.200257810858421,0.0572112372465037,1.12110005721409,5.66999999999999,0,6,NaN,2,InvGPR_PI_GPRFF,9000,0.1,ramps,2,30,3.01358937804252e-12,67.0815609
1,2.54005763769883,22.5534959215092,78.1104463530229,14.4445271471941,1.7351883576249,0,0.589812054920993,0.199761852991612,2.40832737658138,4.76999999999998,0,6,NaN,3,BasePI,9000,0.2,ramps,0.025,0.05,0,25.5470413
1,2.57148196166329,23.7072827862285,78.11044635962,14.4445271471951,1.73518835762485,0,0.598732916561338,0.199761852991514,2.40832737657839,4.755,0,6,NaN,3,BasePI_GPRFF,9000,0.2,ramps,0.025,0.05,1.95932159385848e-12,26.1136209
1,2.1305678994707,14.1133622734251,81.5064696819098,15.6693032390449,1.68562687478205,0,0.393417514157783,0.142362846273578,2.61184823514877,6.33,0,6,NaN,3,InvGPR_PI,9000,0.2,ramps,2,30,2.12252437847837e-12,68.5360771
1,2.13056789946706,14.1133622733887,81.506469681388,15.6693032390983,1.68562687477971,0,0.393417514086643,0.142362846270043,2.61184823519606,6.33,0,6,NaN,3,InvGPR_PI_GPRFF,9000,0.2,ramps,2,30,2.93054469580056e-12,67.5663303
1,3.97301930388849,35.3594557203432,121.624380422636,5.52567138928642,2.17123263436557,0,0.945638309779836,0.340081154807041,3.89964189848757,4.965,0,6,NaN,4,BasePI,9000,0.3,ramps,0.025,0.05,0,24.1791232
1,4.02155981091673,37.310301893127,121.624380426542,5.52567138928533,2.17123263436564,0,0.957134483363606,0.340081154807096,3.92917119662782,4.935,0,6,NaN,4,BasePI_GPRFF,9000,0.3,ramps,0.025,0.05,2.08011385893769e-12,25.9479705
1,3.32721377440071,21.9413312111246,126.990679221801,7.46441840260551,2.07743470363008,0,0.551739082564522,0.218793023287138,3.86959994774544,6.705,0,6,NaN,4,InvGPR_PI,9000,0.3,ramps,2,30,2.1103119252075e-12,64.6152359
