method,accepted,rmse_rpm,ramp_rmse_rpm,hold_rmse_rpm,peak_error_rpm,iae_rpm_s,segment_excess_TV_lbm_s,hold_excess_TV_lbm_s,max_recovery_1pct_s,holds_not_recovered,minimum_SM_percent,fuel_peak_lbm_s,max_fuel_slew_lbm_s2,Nc_outside_percent,fallback_percent,gp_outside_percent
BasePI,1,0.591512578826581,0.745638405431679,0.496481879207185,2.1760375889462,61.724197079466,0.723610560552817,0.403316150721473,0,0,12.7651660608745,2.47034190049891,0.555057988450347,0,NaN,NaN
R3,1,0.639320207882045,0.955251168023236,0.394958383786456,2.19926437773029,58.9842057744523,0.378264712317584,0.229513601984718,0,0,13.0049255084185,2.47083286849904,0.564406119811522,0,0,0
R3_GPRFF,1,0.702710840237488,1.11846946764815,0.337546747376943,2.00729958974989,51.4271163733432,0.387541143223864,0.236351269573103,0,0,12.9600056896919,2.47065741615037,0.589255163074517,0,0,0
R3_Poly2FF,1,0.67697247284799,1.07266723571132,0.333107534024989,2.02412898608964,50.135852985923,0.385818334945055,0.234662308711522,0,0,12.9553815294116,2.47057343058361,0.593496036903278,0,0,0
