environment,altitude_m,isa_delta_C,temperature_K,pressure_kPa,fuel_mean,speed_slope,accel_slope,equivalent_P,equivalent_I,equivalent_D,inverse_tail_tau_s,NcMap,gradient_check
1,0,0,288.15000803334,99.2988461167886,1.85086686196721,0.00203131168330121,0.00153390387464846,0.0500797396060562,0.0609393504990364,0.00306780774929692,0.75512974560143,0.949999986757465,6.04591255531917e-10
2,2500,0,271.902738464832,73.4442916025437,1.75616167026578,0.00167441871457495,0.0015682888402135,0.0503975026355548,0.0502325614372486,0.00313657768042699,0.936616884750719,0.977971337111093,1.59535284288692e-10
3,5000,0,255.676800657237,53.1431818867552,1.51764546525046,0.000627074377766878,0.00159977562951272,0.0492474176409152,0.0188122313330063,0.00319955125902543,2.55117365058001,1.00852636397559,2.84041797027346e-10
4,7500,0,239.455988115568,37.5898074200686,1.16678740650951,0.000507824565814385,0.00157859347742401,0.0483734534543492,0.0152347369744315,0.00315718695484803,3.10854098775719,1.0421256040905,5.03038555255131e-10
5,10000,0,223.251744631628,26.1131085846817,0.780819686525,-3.15634102477784e-05,0.00149432165389974,0.0447665227964966,-0.000946902307433352,0.00298864330779947,-47.3434791161363,1.0792833729632,1.37222368884471e-10
6,0,-10,278.150030372092,99.2988461167886,2.16646523437354,0.00231093577257284,0.00155753715630458,0.0513479862342832,0.0693280731771851,0.00311507431260917,0.673985480163531,0.966926274113581,4.59763234428312e-10
7,2500,-10,261.897755638512,73.4390073299834,2.0045861248354,0.0017259366425275,0.00160468515101868,0.0515924278156155,0.0517780992758251,0.00320937030203737,0.929747426109885,0.996476425991272,5.09743910276361e-10
8,5000,-10,245.67679944878,53.1431818867552,1.59759081319848,0.000658323817707016,0.00158910203031185,0.0489897085447696,0.0197497145312105,0.0031782040606237,2.41386075905137,1.0288471156818,5.92742733368512e-10
9,7500,-10,229.455959192675,37.5898074200686,1.15555197012909,-6.80014806240434e-05,0.00151917623689092,0.0454392841454796,-0.0020400444187213,0.00303835247378185,-22.3403405771401,1.0645921185034,9.60375154401838e-10
10,10000,-10,213.25185203414,26.1131085846817,0.745691431092574,-3.66715454565065e-05,0.00146416844368823,0.043851710219734,-0.0011001463636952,0.00292833688737647,-39.9265541024111,1.10429857425524,4.33869662419539e-10
11,0,10,298.150002121784,99.2988461167886,1.59579913902803,0.00181575210358481,0.00154416974596934,0.0499565965862497,0.0544725631075444,0.00308833949193867,0.850429826252551,0.933932543318727,2.13896613962539e-10
12,2500,10,281.907863287691,73.4491842176674,1.51259324965496,0.00164761265227747,0.00154642110053137,0.0496878583204959,0.049428379568324,0.00309284220106273,0.938582923840609,0.960460087747982,4.02771909574495e-10
13,5000,10,265.66760482218,53.1366302197149,1.38044902759665,0.00123236580134865,0.00158812984526168,0.0501086269605476,0.0369709740404594,0.00317625969052335,1.28868380112763,0.989381116513135,7.70515554138207e-10
14,7500,10,249.455992385176,37.5898074200686,1.10835087493598,0.000455747593077737,0.00159236715168476,0.0486825097366984,0.0136724277923321,0.00318473430336953,3.49396722192487,1.02102399088939,1.72241584970451e-09
15,10000,10,233.251835360765,26.1131085846817,0.816592285787399,-7.01720652153307e-05,0.00154855329207876,0.0463162546319323,-0.00210516195645992,0.00309710658415753,-22.0679452332899,1.05589414669177,5.89232658325389e-10
16,0,20,308.150000555949,99.2988461167886,1.35538033519636,0.00173561334070273,0.00153410956316963,0.0494945135764944,0.0520684002210819,0.00306821912633926,0.883900536595603,0.918653704797965,8.01947994122365e-10
17,2500,20,291.90784972362,73.4491842176674,1.2966988356344,0.00136569715027266,0.00153474235698726,0.0487736650101631,0.0409709145081797,0.00306948471397452,1.12377942406986,0.943865322263985,9.89637479603678e-10
