rpm,fraction,shape,method,Kp,Ki,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,minimum_margin_percent,outside_training_percent,trim_error_rpm,gp_replay_error,wall_seconds,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,candidate
9500,0.05,steps,VirtualFuelFF,3,60,1,0.711645647587413,6.9454976086472,16.7700025708091,2.36284537899338,0,18.5189444711391,0,3.63797880709171e-12,3.30002691839582e-12,78.179389,25.7817091818932,0.513374024372893,9.75508331426735,3.52500000000001,1
9500,0.05,steps,VirtualFuelFF,3,40,1,0.720782346457849,7.02553822654409,19.5274777668136,2.28882960332743,0,19.6524789480288,0,3.63797880709171e-12,4.39337455304667e-12,67.685637,6.64863679202343,0.439358243079544,8.59118136578418,2.94,2
9500,0.05,steps,VirtualFuelFF,2.5,40,1,0.735785497525816,7.4687886408301,19.530113891007,2.27508205005094,0,19.8441394005506,0,3.63797880709171e-12,4.84146056578538e-12,64.2295004,5.07644726181631,0.427179226105362,7.72391373625453,2.925,3
9500,0.05,steps,VirtualFuelFF,2,40,1,0.765122167659685,7.9119521754983,19.5316022018937,2.27830704705259,0,19.7966594258082,0,3.63797880709171e-12,3.95616872594928e-12,65.5267249,4.84421177798138,0.428835686804706,6.89691810733152,2.91,4
9500,0.05,steps,VirtualFuelFF,2,30,1,0.930388020103819,8.0756796915357,26.0437179789966,2.22773539645034,0,20.5851574710239,0,3.63797880709171e-12,4.47308856621476e-12,78.4611074,2.48776109231343,0.378264036202461,6.24587518282465,3.16500000000001,5
9500,0.05,steps,VirtualFuelFF,1.5,30,1,0.966894038557898,8.95532821862071,26.0478454754729,2.23241104172998,0,20.4985831172462,0,3.63797880709171e-12,3.66617847191719e-12,67.6634606,2.49503301016998,0.3829396814821,5.32046939155242,3.15000000000001,6
9500,0.05,steps,VirtualFuelFF,1.5,20,1,1.33798173135888,9.21922893014016,39.0670779601564,2.1683450172682,0,21.5011456451732,0,3.63797880709171e-12,5.61684032618359e-12,64.0865273,0.959080474351377,0.319098388613081,4.66943807620477,3.52500000000001,7
9500,0.05,steps,VirtualFuelFF,1,20,1,1.3919383095809,10.7137683284236,39.0774656983504,2.18309332564648,0,21.2567674181094,0,3.63797880709171e-12,4.22173407343962e-12,65.7835961,1.10856018006485,0.333621965398601,3.71489940641307,3.495,8
9500,0.05,steps,VirtualFuelFF,1,10,1,2.51757438675039,12.0075570330464,78.1331219373394,2.11344150329415,0,22.4125021543044,0,3.63797880709171e-12,3.20299342604358e-12,78.2610431,0.0265538887330896,0.263970143046064,2.99456965491613,4.17,9
9500,0.05,steps,VirtualFuelFF,0.5,10,1,2.64390707596616,15.4369624914762,78.1690418824547,2.12900898546374,0,22.0313808449781,0,3.63797880709171e-12,4.49240644684323e-12,68.1434841,0.194415006041923,0.27953762521586,2.0205845000671,4.11,10
9500,0.05,steps,VirtualFuelFF,0.5,5,1,4.78120440797261,20.8672137773046,156.304036873859,2.11377477265659,0,22.3107800034089,0,3.63797880709171e-12,4.02189392900709e-12,64.4375863,0.0035105800473616,0.264303412408705,1.54668756238528,4.905,11
9500,0.05,steps,VirtualFuelFF,0.25,5,1,4.95720913981335,23.5623816126099,156.364667657508,2.11486206114792,0,22.2049547814175,0,3.63797880709171e-12,4.59077220682502e-12,65.642406,0.0104333430828722,0.265390700900038,1.09494846050729,4.83,12
