environment,method_id,method,accepted,altitude_m,isa_delta_C,Kp,Ki,Kd,accelTau,accelWeight,rmse_rpm,peak_rpm,ringing_excess_TV_lbm_s,recovery_1pct_speed_s,settling_to_point1_rpm_s,minimum_margin_percent,max_fuel_slew_lbm_s2,fuel_peak_lbm_s,iae_rpm_s,fuel_limit_percent,compressor_Nc_outside_percent,gp_outside_percent,fallback_percent
1,1,Base PI,1,0,0,0.025,0.05,NaN,NaN,NaN,3.08010530625156,26.3619527785122,2.37096658551096,0,2.625,15.2382740244319,5.83566026005874,2.56044779311017,65.8635110342151,0,0,0,NaN
1,2,Previous inverse PI,1,0,0,2,30,NaN,NaN,NaN,1.94168590997665,16.5183846979744,4.80270721488147,0,3.735,14.648411045334,12.6130084109648,2.612678000342,54.4735747608173,0,0,0.599900016663889,NaN
1,3,R1 retuned inverse PI,1,0,0,1.5,22,0,0.03,1,2.58370791601563,18.6883934663492,2.24120483388006,0,4.005,15.8490900312696,9.6594849866172,2.52430378325746,74.3693397823377,0,0,0.699883352774538,0
1,4,R2 split feedback,1,0,0,16,40,0,0.03,0.05,2.10429290935082,18.614935903177,1.90767908226121,0,1.74000000000001,16.0285047228276,9.62261442491797,2.51160177591464,40.5597481716313,0,0,0.699883352774538,0
1,5,R3 normalized feedback,1,0,0,0.025,0.1,0.002,0.03,1,2.13483385068363,17.5748773870182,1.80986638563525,0,1.41,16.7305189202175,10.1874808946387,2.46309093859562,36.8635734945111,0,0,0.699883352774538,0
2,1,Base PI,1,2500,0,0.025,0.05,NaN,NaN,NaN,2.88311591514803,24.5784538477237,2.24620501552893,0,2.535,10.4514539211097,5.34196388653519,2.42103120197329,61.2809182182532,0,0,0,NaN
2,2,Previous inverse PI,1,2500,0,2,30,NaN,NaN,NaN,1.95247064392468,15.1867487283016,4.3593117742457,0,4.53,10.0275986787219,11.843321141147,2.45638704348313,61.1711471050423,0,0,0.599900016663889,NaN
2,3,R1 retuned inverse PI,1,2500,0,1.5,22,0,0.03,1,2.60949776119511,17.3302287156566,2.04328691118479,0,4.845,11.1289266358452,9.07921695158902,2.3791066834277,83.4710117707266,0,0,0.699883352774538,0
2,4,R2 split feedback,1,2500,0,16,40,0,0.03,0.05,2.33176957043441,18.1409282979857,1.06931347426181,0,1.65000000000001,11.8110232751106,7.91308195732861,2.33247140943606,45.755435466701,0,0,0.799866688885186,0
2,5,R3 normalized feedback,1,2500,0,0.025,0.1,0.002,0.03,1,1.99523822095263,16.2686411595878,1.62624167782301,0,1.395,11.8338365484074,9.38539132374269,2.33265553720107,34.530795945139,0,0,0.699883352774538,0
3,1,Base PI,1,5000,0,0.025,0.05,NaN,NaN,NaN,2.4853048867685,21.3566132514043,2.18875575655244,0,2.37,5.97568711731296,4.57755634323297,2.10084603434189,51.4922630832394,0,0,0,NaN
