method,accepted,rmse_rpm,ramp_rmse_rpm,hold_rmse_rpm,peak_error_rpm,iae_rpm_s,segment_excess_TV_lbm_s,hold_excess_TV_lbm_s,max_recovery_1pct_s,holds_not_recovered,minimum_SM_percent,fuel_peak_lbm_s,max_fuel_slew_lbm_s2,Nc_outside_percent,fallback_percent,gp_outside_percent
BasePI,1,3.66888870493895,5.81170988014999,1.80798627368223,18.2660184258948,281.273595060716,6.75506072328567,4.46519744149946,0,0,1.49152611822006,3.33036815748498,4.94052471576231,19.7975253093363,NaN,NaN
R3,1,6.1377900357846,9.82202697847725,2.85889295084491,23.8175921232796,441.525724098208,4.24234013001011,2.57950278225093,0,0,1.14563271934225,3.36138247040799,5.32043271785884,19.785026871641,78.6901637295338,100
