fraction,max_speed_difference_rpm,max_fuel_difference_lbm_s
0.05,1.06021616375074e-07,5.51361134526474e-09
0.1,1.37149982037954e-07,7.93100241036626e-09
0.2,6.35864125797525e-08,3.85311116346543e-09
0.3,1.34239598992281e-07,7.61658913717156e-09
