lambda,one_step_fit_percent,rmse_rpm_s,final_pole_radius,trace_P
1,99.8616379521727,0.767464899358528,0.978289711004203,38717.8060356877
0.999,99.8728946347194,0.705026471527684,0.978884394594701,107324.608302802
0.995,99.8934323151273,0.591108319297111,0.980954084177991,4749947.908104
