time_s,reference_Ndot_rpm_s,RLS_prediction_rpm_s,update_enabled,reference_fault_latched,updates_before_sample
0,-2.11335843154454e-11,0,0,0,0
0.0150000000000006,0.417818354237735,0,0,0,0
0.0299999999999976,1.68026964907742,0,1,0,0
0.0449999999999982,3.772784096543,0.0333082625896434,1,0,1
0.0599999999999987,6.62683667461005,0.76510265735807,1,0,2
0.0749999999999993,10.1338995350131,4.81061756896695,1,0,3
0.0899999999999999,14.1599227381503,12.3072790964529,1,0,4
0.105,18.4591598543922,19.6075425847397,1,0,5
0.119999999999997,22.8954979162783,25.5300331288747,1,0,6
0.134999999999998,27.4301225919171,30.2830382358177,1,0,7
0.149999999999999,31.9622746972689,34.3590367610758,1,0,8
0.164999999999999,36.3959116340575,38.1568864565659,1,0,9
0.18,40.6977017445414,41.859365974673,1,0,10
0.195,44.8155566725343,45.5218929085145,1,0,11
0.209999999999997,48.7299847534716,49.1081437274301,1,0,12
0.224999999999998,52.4394697180876,52.5937597870743,1,0,13
0.239999999999998,55.9573986079652,55.9704598668087,1,0,14
0.254999999999999,59.3084990759844,59.2446011444381,1,0,15
0.27,62.5251455610023,62.4390885593176,1,0,16
0.285,65.6438000028599,65.5819732958638,1,0,17
0.299999999999997,68.7018046185466,68.7039181454899,1,0,18
0.314999999999998,71.7346825072843,71.8342545526996,1,0,19
0.329999999999998,74.7791019201338,74.9977830768057,1,0,20
0.344999999999999,77.8459328535787,78.216020216896,1,0,21
0.359999999999999,80.9702988322978,81.4901314214641,1,0,22
0.375,84.1609923592553,84.8287550370216,1,0,23
0.390000000000001,87.4252599547489,88.2288592363113,1,0,24
0.404999999999998,90.7646687739404,91.6834165193116,1,0,25
0.419999999999998,94.1759864795764,95.1841158661534,1,0,26
0.434999999999999,97.6522293801514,98.7206447455362,1,0,27
0.449999999999999,101.183777961105,102.285038698645,1,0,28
0.465,104.759472134062,105.869325399382,1,0,29
0.48,108.367615362472,109.465969190822,1,0,30
0.494999999999997,111.996871134332,113.067899565903,1,0,31
0.509999999999998,115.636840924881,116.668727128495,1,0,32
0.524999999999999,119.278659644157,120.262967791299,1,0,33
0.539999999999999,122.915267166117,123.846365192215,1,0,34
0.555,126.541531856617,127.416089245663,1,0,35
0.57,130.154220804106,130.970802395443,1,0,36
0.584999999999997,133.751845676552,134.510588100329,1,0,37
0.599999999999998,137.334417163728,138.036763773515,1,0,38
0.614999999999998,140.90315718938,141.551611073578,1,0,39
0.629999999999999,144.460170191803,145.058071546076,1,0,40
0.645,148.007929432916,148.559427322898,1,0,41
0.66,151.54936740955,152.058870872352,1,0,42
0.674999999999997,155.087263480963,155.559452738548,1,0,43
0.689999999999998,158.62415915164,159.063754544301,1,0,44
0.704999999999998,162.162181204921,162.573762790236,1,0,45
0.719999999999999,165.70293893515,166.0907888832,1,0,46
0.734999999999999,169.247477333812,169.615463186427,1,0,47
0.75,172.796373052059,173.147760256476,1,0,48
0.765000000000001,176.349890844601,176.687145343264,1,0,49
0.779999999999998,179.894206025271,180.232785690298,1,0,50
0.794999999999998,183.453451089873,183.774486719514,1,0,51
0.809999999999999,187.018806243272,187.322864110923,1,0,52
0.824999999999999,190.587027961741,190.878029715019,1,0,53
0.84,194.156618960628,194.4370341658,1,0,54
0.855,197.725981935368,197.996602783002,1,0,55
0.869999999999997,201.293284164715,201.555046717567,1,0,56
0.884999999999998,204.856606939475,205.109603652831,1,0,57
0.899999999999999,208.416371109977,208.65831837139,1,0,58
0.914999999999999,211.964432676852,212.200980512065,1,0,59
0.93,215.506348625618,215.732660683296,1,0,60
0.945,219.039182860751,219.254791296076,1,0,61
0.959999999999997,222.562272871253,222.766928283633,1,0,62
0.974999999999998,226.075230169805,226.26874775896,1,0,63
0.989999999999998,229.577757316998,229.759833484023,1,0,64
1.005,232.981792670139,233.240394909893,1,0,65
1.02,236.024226446007,236.654514802699,1,0,66
1.035,239.067757898642,239.80769573785,1,0,67
1.05,242.137242010046,242.835895215711,1,0,68
1.065,245.250476971507,245.847142180781,1,0,69
1.08,248.418491889457,248.902767384419,1,0,70
1.095,251.646172460248,252.025658181582,1,0,71
1.11,254.93312230639,255.238600140694,1,0,72
1.125,258.274663953018,258.529053701284,1,0,73
1.14,261.643010949683,261.882130963478,1,0,74
1.155,265.087987566905,265.268822817596,1,0,75
1.17,268.539230683231,268.705292471852,1,0,76
1.185,272.003744653281,272.155342418183,1,0,77
1.2,275.470168884959,275.60379983206,1,0,78
1.215,278.928031746176,279.038222336868,1,0,79
1.23,282.368185735066,282.451257566847,1,0,80
1.245,285.783059364247,285.832670583212,1,0,81
1.26,289.166442525679,289.178403963799,1,0,82
1.275,292.513888604547,292.484617632186,1,0,83
1.29,295.82247382123,295.749261085752,1,0,84
1.305,299.090631495674,298.971806520968,1,0,85
1.32,302.317940857246,302.152939685184,1,0,86
1.335,305.504891167779,305.294231352561,1,0,87
1.35,308.639589854119,308.397847178218,1,0,88
1.365,311.747632624867,311.458161354407,1,0,89
1.38,314.820447223002,314.48845687355,1,0,90
1.395,317.859743917795,317.491013360685,1,0,91
1.41,320.866905796146,320.467049286266,1,0,92
1.425,323.842869273143,323.41694249322,1,0,93
1.44,326.788292748399,326.341764949501,1,0,94
1.455,329.703528950509,329.240801048882,1,0,95
1.47,332.588624947821,332.113706429482,1,0,96
1.485,335.443339344455,334.959772506377,1,0,97
1.5,338.305719457033,337.778005291271,1,0,98
1.515,341.141954744073,340.591071691283,1,0,99
1.53,343.944277252279,343.389506238933,1,0,100
1.545,346.709626763541,346.160758676208,1,0,101
1.56,349.435443155483,348.895670491917,1,0,102
1.575,352.119675378101,351.58928034019,1,0,103
1.59,354.760761599983,354.23798071692,1,0,104
1.605,357.35758491638,356.840776846767,1,0,105
1.62,359.909412138266,359.397329120702,1,0,106
1.635,362.415822396547,361.907615783899,1,0,107
1.65,364.876212037969,364.371830985816,1,0,108
1.665,367.290815519206,366.790026490161,1,0,109
1.68,369.660965923732,369.162580659956,1,0,110
1.695,371.98567966341,371.490655115076,1,0,111
1.71,374.264997917427,373.774255306668,1,0,112
1.725,376.498911030323,376.013259425596,1,0,113
1.74,378.687329031642,378.207461430154,1,0,114
1.755,380.830062387521,380.356584417779,1,0,115
1.77,382.926812653352,382.460260264235,1,0,116
