source_id,source_row,time_s,speed_rpm,fuel_lbm_s,acceleration_rpm_s
1,2001,30,9000,0.981086914681697,-2.40285958655064e-11
1,3038,45.555,9858.14219316615,4.14102855537949,800.311720068912
1,3083,46.23,9922.25488796118,1.75620534018022,-682.993587591825
1,3186,47.775,9189.23971779272,2.91713739905891,931.088171828107
1,3107,46.59,9577.41110982387,0.506156889031813,-1145.12375509276
2,3942,59.115,9406.78593748328,1.75239740363294,49.9748797956334
1,2175,32.61,9695.2652228786,2.98152023599054,402.395724614384
1,3012,45.165,9473.30673807131,3.78676459718285,1072.87892047895
1,3129,46.92,9213.55486295658,0.186930229654261,-946.886715165339
1,3173,47.58,9044.85178526957,1.90455813259184,554.920763331944
1,2612,39.165,9988.63878827509,2.58268659681005,-240.803019205087
1,2583,38.73,9981.7225970915,3.39836117217844,244.341185104746
1,2650,39.735,9698.5406335871,1.22477806693118,-735.852696913317
2,4254,63.795,9640.34942123593,2.24065718974207,49.9548434193782
2,5396,80.925,9257.92695140639,1.19468271248046,-150.249892452049
1,2519,37.77,9442.6233112419,2.90570344263659,688.217325946627
1,2498,37.455,9240.49055852431,2.31744622730935,581.299148969567
1,2550,38.235,9754.73469206357,3.52326152225726,612.740887891312
1,2359,35.37,9482.47784509818,1.00954796410949,-581.145803052952
1,2678,40.155,9365.47299920151,0.580314273899253,-787.658982330369
1,3145,47.16,9034.84273337385,0.461231895658047,-473.093561306691
1,3023,45.33,9648.14779551885,4.09822291967324,1020.24449178483
1,3003,45.03,9333.40308639016,3.34028927419697,994.496856180882
1,2134,31.995,9440.90630532899,2.40482382695315,408.455012597928
1,2060,30.885,9087.3480572399,1.41350450185575,204.856606939417
2,2815,42.21,9801.18144019352,2.49248393526696,-25.1559654753537
2,5250,78.735,9587.84955964697,1.81246763009494,-150.377958068779
1,2096,31.425,9229.77164958962,1.86024432471328,323.842869273157
1,2394,35.895,9193.48776588037,0.674955752821724,-479.531026609924
1,2326,34.875,9751.31370036626,1.67271282366146,-482.766594345214
2,4813,72.18,9951.3444247796,2.98810541798894,59.9399782141074
1,2623,39.33,9936.58450865271,2.19688803025249,-408.914695147737
1,3049,45.72,9967.08395289043,3.80095116490944,479.941185847914
1,3100,46.485,9694.05566645442,0.791327519732525,-1075.67148935867
1,3089,46.32,9853.73641006118,1.37512330272311,-862.442716771047
1,2156,32.325,9577.77397608286,2.71664106906638,415.508107870044
1,2530,37.935,9556.88282496808,3.15698123775852,686.255381402283
1,3178,47.655,9091.58735481717,2.27957841093403,717.705583948028
1,2199,32.97,9831.65010726663,3.21095709327667,344.516146521307
1,2802,42.015,9614.16321099148,3.67251215321756,870.55228338782
1,3119,46.77,9370.74327038501,0.220992916731642,-1120.66058386714
2,5343,80.13,9377.46298470867,1.40366222544374,-150.532237288907
1,2814,42.195,9764.3779032824,3.86709818554637,780.29200782423
2,5448,81.705,9140.63611929534,1.00033687142127,-150.521282067548
1,2509,37.62,9342.06257029041,2.6394023236479,651.733068520939
2,2427,36.39,9241.26500779442,1.52704721589324,99.9025401115127
1,3182,47.715,9137.17239735697,2.59260291842777,828.953745245736
1,2793,41.88,9493.77966069115,3.44401865897116,903.176646603077
2,4712,70.665,9860.53115881997,2.76941558799656,59.9485761447623
1,2312,34.665,9843.82785909814,1.99761564461247,-401.095155049454
1,2565,38.46,9880.54033616904,3.58622913905753,482.247642392877
1,2119,31.77,9351.85007818828,2.18887529570719,382.926812653356
2,2624,39.345,9536.14189874941,2.08327441015256,99.4444602856517
1,2669,40.02,9474.71887474273,0.712158382913851,-816.573105238055
1,2348,35.205,9576.88005924255,1.20951927704689,-564.146006692159
1,2780,41.685,9323.7224972525,2.95490201462487,828.530042984364
1,2539,38.07,9648.36541677845,3.34737504366704,665.388915645775
2,5174,77.595,9759.04590823245,2.19920065187056,-150.462665146559
1,3113,46.68,9473.88263133399,0.329809758733147,-1153.47013096349
1,3169,47.52,9016.77266663786,1.62546081636366,415.651592398359
1,2371,35.55,9377.81539613439,0.850894102587178,-571.426159596986
1,2740,41.085,9000.35411091972,1.24924140803237,191.472026451065
2,5287,79.29,9504.36930824248,1.63399198904826,-150.432585687675
1,3007,45.09,9394.16524063337,3.55923372574105,1039.79231969275
1,3137,47.04,9109.87918771218,0.271520580555698,-740.69134032265
1,3030,45.435,9751.9479866267,4.1887270552711,939.614132089605
1,2423,36.33,9032.27499254428,0.72998155472055,-234.380096635515
1,2659,39.87,9595.68094176977,0.951162197896588,-791.5887006634
2,5215,78.21,9666.76030727042,1.98797926854627,-150.199563778485
1,3093,46.38,9799.85475776182,1.14657693300749,-952.237739991024
1,3017,45.24,9553.84676958206,3.9554984745685,1064.50992545792
1,2490,37.335,9174.99851822519,2.08011533597239,516.507853792731
2,2732,40.965,9697.587504065,2.45398951314578,99.6995305302377
1,2335,35.01,9683.35670427863,1.47146625368804,-526.956234290673
1,2773,41.58,9241.20288109992,2.63843912814461,752.330800666016
1,2687,40.29,9262.96936158575,0.500013965105495,-720.105255720442
1,2823,42.33,9862.65505693549,3.86291704970331,651.662245007614
1,2077,31.14,9146.54903947754,1.60513781213905,261.643010949755
1,2382,35.715,9285.89048174788,0.745248223671747,-537.833412943717
2,5113,76.68,9896.94493538247,2.51189363750547,-151.237927250519
2,3840,57.585,9330.32274608052,1.61235809669068,49.978295000611
1,2788,41.805,9426.64127001975,3.27892964158995,887.623029124142
2,4042,60.615,9481.75014430569,1.89249854509827,49.982864391385
1,2145,32.16,9509.1858752858,2.55799379941429,417.284699397577
1,2699,40.47,9142.98369301345,0.481698955194488,-587.111543908313
2,5473,82.08,9091.33392501658,1.18831007421939,42.7173704173022
1,2901,43.5,9597.88495071936,0.733304988111037,-979.309247481949
1,2108,31.605,9290.89341129384,2.03024003720813,357.357584916388
1,2243,33.63,9991.58136188414,3.18134625372416,111.862415755149
1,2273,34.08,9994.026137495,2.79890998636366,-114.827245184478
1,2643,39.63,9772.62661840495,1.45032821551038,-680.144222246083
1,2636,39.525,9839.3754899369,1.69852927224684,-597.926915747865
2,3473,52.08,9194.20205937335,1.33533912802066,24.7966786560072
1,2873,43.08,9931.78742263934,1.98747550290739,-537.631557157693
1,3000,44.985,9289.9282227609,3.16002176886865,951.117355188559
1,2217,33.24,9915.2098906328,3.27254213431087,266.427190370999
1,2484,37.245,9131.39466335238,1.90463731220359,460.716695764324
1,2894,43.395,9697.07549828344,0.993414187914663,-912.759617351743
1,2186,32.775,9760.15591111646,3.10682783709451,381.625041345072
1,2865,42.96,9984.29067192644,2.38249580727378,-360.742559250227
1,2784,41.745,9374.25462059155,3.12498281475457,863.077524719405
1,2407,36.09,9108.19904935468,0.663652855766358,-383.848882358557
2,3316,49.725,9425.55024231796,1.56215083732149,-100.332430121484
1,2837,42.54,9973.19124191568,3.60645940518873,367.82758516703
1,2808,42.105,9691.23056100747,3.79221890243463,833.715751585378
1,3044,45.645,9924.14913952018,3.98375159163656,633.478889646242
1,2165,32.46,9633.84915887036,2.84958447156272,413.824360663324
1,2914,43.695,9404.48728769837,0.417607942910842,-984.368886524238
2,2795,41.91,9792.05685454932,2.67898043613229,100.055317741872
2,3397,50.94,9303.8218708127,1.34485996340949,-100.11747750971
1,2504,37.545,9294.42489955654,2.49549063633016,623.228503873413
1,3086,46.275,9890.06696722714,1.5614841577108,-778.237588672933
1,2921,43.8,9303.74876676959,0.344992827421135,-917.033988564165
1,2909,43.62,9479.04241587365,0.513474358840146,-996.055848529776
1,2983,44.73,9088.66188580388,2.09803171782294,622.055784786663
1,3166,47.475,9001.19774076856,1.43059990118706,311.401851925354
1,2478,37.155,9093.25549677586,1.72985385035338,396.262571651832
1,2514,37.695,9391.63347617521,2.77655385426074,673.389037248576
1,2766,41.475,9167.14563528345,2.32415390797817,666.573823870537
1,2664,39.945,9535.67393383119,0.820136066472637,-810.18408634278
1,2524,37.845,9494.52019257093,3.02549652271341,696.175511254439
2,5150,77.235,9813.24199448801,2.32087894268598,-150.62471085377
1,3184,47.745,9162.43281731208,2.75381411185666,880.872005994663
2,5422,81.315,9199.25913452703,1.0964544588406,-150.327531642673
1,2797,41.94,9547.81840596595,3.5533502642524,893.132160204323
1,2341,35.1,9635.13118616604,1.34756939657452,-546.985842784947
1,2931,43.95,9175.56356056472,0.326149562762652,-769.898593659788
1,2319,34.77,9799.73248171907,1.83478967033336,-444.235088311687
1,3180,47.685,9113.54142048663,2.43441827106215,773.832353527878
2,3135,47.01,9698.06440392559,2.13593150470626,-100.475171490659
1,3124,46.845,9288.88469755311,0.187730022760544,-1041.52005781608
1,2777,41.64,9287.36053760961,2.82035042569802,797.399217509909
1,2087,31.29,9188.12159573825,1.73691741433089,295.822473821249
2,2763,41.43,9743.96694835913,2.56664162339439,99.7683962786174
1,2770,41.535,9208.36721390059,2.50348627984801,718.185678082815
2,4352,65.265,9700.00435705899,2.29731053399823,-1.56052582378497
1,2306,34.575,9877.81771639077,2.13647198340212,-360.48394145474
1,2557,38.34,9817.01277195355,3.58142602905748,562.961755295012
1,2997,44.94,9248.59496305111,2.97193913474268,901.718837462937
2,4763,71.43,9906.38777419916,2.8790004322389,59.9405768830374
1,2655,39.81,9642.35337183968,1.06929411954594,-768.775033598942
2,4193,62.88,9594.64421438171,2.13653164450348,49.9443142974796
1,2632,39.465,9873.14777032578,1.84995865917007,-542.45848494726
1,2544,38.145,9697.74904473211,3.43867810155907,646.40941011766
1,3110,46.635,9525.72873804491,0.410555945959749,-1152.25605644751
1,2926,43.875,9236.98710572017,0.323159980604275,-848.688709066716
2,3246,48.675,9531.13218773656,1.76510811148038,-100.211123892713
1,2297,34.44,9921.68637954484,2.338084215924,-296.257867167191
1,2365,35.46,9429.94971700681,0.920178710564617,-583.61052414354
1,3096,46.425,9756.15092760166,0.988015889019366,-1008.65853397776
1,2127,31.89,9398.62245089906,2.30454276889444,397.993207694473
1,2905,43.56,9538.7088673867,0.613110250487437,-993.881347840022
1,2706,40.575,9086.197886584,0.527515069988632,-476.67337723783
1,2494,37.395,9206.76167720997,2.19835162493122,550.294251567651
1,2048,30.705,9054.64223367363,1.29720700943155,162.162181205031
2,3192,47.865,9612.30890633948,1.94216230399211,-100.233101280263
