method,profile_error,rmse_replay,ringing_replay,proportional_error,integrator_error
BasePI,0.0,0.5915125788266216,0.7236105605528254,,
R3,0.0,0.7027108402375338,0.38754114322386424,1.366962099069724e-14,1.726049858596923e-16
