method,query_count,strict_box_outside_percent,box_outside_percent,hull_outside_percent,max_hull_excess,covered_all,NN_distance_max,training_LOO_NN95,NN_above_training95_percent
BasePI,24003,0,0,0,1.55431223447522e-15,1,0.44461770637915,0.185105949096101,59.4550681164854
R3,24003,0,0,0,1.55431223447522e-15,1,0.444620783115758,0.185105949096101,59.4550681164854
