time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
26.445,9449.45146758705,2.29098459705077,9450,9449.45167837588,2.29098459705077,2.29098459705077,0,-0.00364275136264552,22.6033532941075,4,0,22737.2362840732,-22737.2568738643,270.989324858289,99.2927496601318,9.14139930304564e-10,1,0.974405707874815,0,0,-20
26.46,9449.45141294578,2.29139722550306,9450,9449.45162374732,2.29139722550306,2.29139722550306,0,-0.00364296733919219,22.5990965499657,4,0,22740.5369867742,-22740.5575777859,270.977321006813,99.2927442828383,9.30579060348989e-10,1,0.974427284289619,0,0,-20
26.475,9449.45135830127,2.29180989501043,9450,9449.45156911546,2.29180989501043,2.29180989501043,0,-0.00364318243391834,22.5948401918141,4,0,22743.8379927545,-22743.8585849818,270.965317152196,99.2927389007453,9.47162147809051e-10,1,0.974448862143609,0,0,-20
26.49,9449.45130365353,2.29222260557497,9450,9449.45151448033,2.29222260557497,2.29222260557497,0,-0.0036433967018292,22.5905842195733,4,0,22747.1393020412,-22747.1598954795,270.953313294429,99.292733513841,9.63905745398045e-10,1,0.974470441436961,0,0,-20
26.505,9449.45124900258,2.29263535719882,9450,9449.45145984193,2.29263535719882,2.29263535719882,0,-0.00364361042605688,22.5863286331614,4,0,22750.4409146604,-22750.4615093066,270.941309433497,99.2927281221039,9.8080920315699e-10,1,0.974492022169866,0,0,-20
26.52,9449.45119434843,2.29304814988405,9450,9449.45140520028,2.29304814988405,2.29304814988405,0,-0.00364382322677588,22.5820734325116,4,0,22753.7428306432,-22753.7634264921,270.929305569434,99.2927227255776,9.97857049965989e-10,1,0.974513604342422,0,0,-20
26.535,9449.45113969108,2.29346098363284,9450,9449.45135055538,2.29346098363284,2.29346098363284,0,-0.00364544233783455,22.5778186456362,5,0,22757.045062405,-22757.0656674055,270.917301702207,99.2927173242182,4.07493306745985e-11,1,0.97453518795485,0,0,-20
26.55,9449.45108500944,2.29387385844725,9450,9449.45129590726,2.29387385844725,2.29387385844725,0,-0.00364564686750555,22.5735642165189,5,0,22760.3475852448,-22760.3681914012,270.905297831819,99.2927119180267,4.1574954543789e-11,1,0.97455677300513,0,0,-20
26.565,9449.45103032474,2.29428677446831,9450,9449.45124125046,2.29428677446831,2.29428677446831,0,-0.00364576101375795,22.5693101709047,5,0,22763.6504121849,-22763.6710189863,270.893293958283,99.2927065070217,4.24184602247099e-11,1,0.974578359495586,0,0,-20
26.58,9449.45097563832,2.29469973166558,9450,9449.45118658642,2.29469973166558,2.29469973166558,0,-0.00364580794479019,22.5650565092039,5,0,22766.9535431088,-22766.9741501754,270.881290081574,99.2927010911685,4.32739155980325e-11,1,0.974599947426561,0,0,-20
26.595,9449.45092095121,2.29511273000814,9450,9449.45113191658,2.29511273000814,2.29511273000814,0,-0.00364581086411984,22.5608032318417,5,0,22770.2569778963,-22770.2775849793,270.869286201712,99.2926956704922,4.41519816272641e-11,1,0.974621536798286,0,0,-20
26.61,9449.45086626404,2.29552576946684,9450,9449.45107724227,2.29552576946684,2.29552576946684,0,-0.00364579092617529,22.5565503391995,5,0,22773.5607164331,-22773.5813234033,270.857282318676,99.2926902449628,4.50587228567884e-11,1,0.974643127611026,0,0,-20
26.625,9449.45081157718,2.29593885001581,9450,9449.45102256462,2.29593885001581,2.29593885001581,0,-0.00364576690626446,22.5522978316111,5,0,22776.8647586177,-22776.885365452,270.845278432456,99.2926848145688,4.59163803529491e-11,1,0.974664719864995,0,0,-20
26.64,9449.45075689068,2.29635197163371,9450,9449.45096788459,2.29635197163371,2.29635197163371,0,-0.00364575413636852,22.5480457093525,5,0,22780.1691043692,-22780.1897111312,270.83327454309,99.2926793793562,4.68526125388714e-11,1,0.97468631356029,0,0,-20
26.655,9449.45070220436,2.29676513430418,9450,9449.45091320288,2.29676513430418,2.29676513430418,0,-0.00364576424864386,22.5437939726017,5,0,22783.4737536267,-22783.4943604457,270.821270650536,99.2926739392705,4.77239232818376e-11,1,0.974707908697131,0,0,-20
26.67,9449.4506475179,2.29717833801623,9450,9449.45085851998,2.29717833801623,2.29717833801623,0,-0.00364580537807295,22.5395426214785,5,0,22786.7787063547,-22786.7993134061,270.809266754832,99.2926684943602,4.86853342309198e-11,1,0.974729505275572,0,0,-20
26.685,9449.45059283082,2.29759158276388,9450,9449.45080383615,2.29759158276388,2.29759158276388,0,-0.00364588209819504,22.5352916560011,5,0,22790.083962538,-22790.1045700229,270.797262855923,99.2926630445515,4.96047766402707e-11,1,0.974751103295827,0,0,-20
26.7,9449.45053814259,2.29800486854583,9450,9449.45074915148,2.29800486854583,2.29800486854583,0,-0.00364599578645661,22.531041076139,5,0,22793.389522185,-22793.4101303124,270.785258953823,99.2926575898623,5.05469439570016e-11,1,0.974772702757976,0,0,-20
26.715,9449.45048345265,2.29841819536475,9450,9449.45069446589,2.29841819536475,2.29841819536475,0,-0.00364614507178021,22.5267908818097,5,0,22796.6953853241,-22796.7159942952,270.773255048569,99.2926521303386,5.14797145683877e-11,1,0.974794303662054,0,0,-20
26.73,9449.45042876047,2.29883156322641,9450,9449.45063977917,2.29883156322641,2.29883156322641,0,-0.00364632709563142,22.5225410728636,5,0,22800.0015519937,-22800.0221619934,270.761251140118,99.2926466659261,5.24568054197056e-11,1,0.974815906008242,0,0,-20
26.745,9449.45037406557,2.29924497213904,9450,9449.45058509104,2.29924497213904,2.29924497213904,0,-0.00364653696428272,22.51829164913,5,0,22803.3080222478,-22803.3286334337,270.74924722848,99.2926411966343,5.34277485088145e-11,1,0.974837509796634,0,0,-20
26.76,9449.45031936751,2.29965842211235,9450,9449.45053040115,2.29965842211235,2.29965842211235,0,-0.00364676915578908,22.514042610419,5,0,22806.6147961473,-22806.6354086455,270.737243313666,99.2926357224761,5.44171034845025e-11,1,0.97485911502733,0,0,-20
26.775,9449.45026466598,2.30007191315684,9450,9449.45047570914,2.30007191315684,2.30007191315684,0,-0.00364701778401302,22.5097939565176,5,0,22809.9218737553,-22809.9424876587,270.725239395644,99.2926302434098,5.54325556565871e-11,1,0.974880721700508,0,0,-20
26.79,9449.45020996071,2.30048544528302,9450,9449.45042101467,2.30048544528302,2.30048544528302,0,-0.0036472769749761,22.5055456872321,5,0,22813.2292551388,-22813.2498705071,270.713235474443,99.2926247594728,5.64149349287343e-11,1,0.974902329816254,0,0,-20
26.805,9449.45015525156,2.30089901850109,9450,9449.4503663174,2.30089901850109,2.30089901850109,0,-0.00364754125826449,22.5012978023569,5,0,22816.5369403611,-22816.557557223,270.701231550035,99.2926192706245,5.74315405144348e-11,1,0.974923939374763,0,0,-20
26.82,9449.45010053844,2.30131263282032,9450,9449.45031161705,2.30131263282032,2.30131263282032,0,-0.00364780601170277,22.4970503017109,5,0,22819.8449294828,-22819.865547841,270.689227622418,99.292613776866,5.84631375649197e-11,1,0.974945550376189,0,0,-20
26.835,9449.45004582135,2.30172628824884,9450,9449.45025691339,2.30172628824884,2.30172628824884,0,-0.00364806716374667,22.4928031851344,5,0,22823.1532225609,-22823.1738423952,270.677223691613,99.2926082782187,5.95020325619978e-11,1,0.974967162820656,0,0,-20
26.85,9449.44999110034,2.30213998479351,9450,9449.45020220625,2.30213998479351,2.30213998479351,0,-0.00364832172790229,22.4885564524866,5,0,22826.4618196463,-22826.4824409193,270.66521975763,99.292602774698,6.05235348066404e-11,1,0.97498877670831,0,0,-20
26.865,9449.44993637551,2.30255372245977,9450,9449.45014749551,2.30255372245977,2.30255372245977,0,0.00645404386686048,22.4841951959538,5,0,22829.722956842,-22829.6864768904,270.65321582041,99.2925972662225,4.07441038953323e-10,1,0.975010392039432,0,0,-20
26.88,9449.45003318617,2.30296750125182,9450,9449.45009278113,2.30296750125182,2.30296750125182,0,0.0272539978816173,22.479712136124,5,0,22832.933804271,-22832.7797575133,270.641211879985,99.2925917528369,7.93153271154721e-10,1,0.97503202445055,0,0,-20
26.895,9449.45044199614,2.30338032386968,9450,9449.45007733635,2.30338032386968,2.30338032386968,0,0.0469644977383735,22.4752478440489,5,0,22836.1423296286,-22835.8768739348,270.629207936356,99.2925862345383,8.10486704567794e-10,1,0.975053690500534,0,0,-20
26.91,9449.45114646361,2.30379036598434,9450,9449.45017184249,2.30379036598434,2.30379036598434,0,0.0644243216220353,22.4708285617388,5,0,22839.3398677689,-22838.975724531,270.617203989516,99.292580711317,8.34713692402012e-10,1,0.975075388505409,0,0,-20
