split,points,rmse_lbm_s,mae_lbm_s,max_error_lbm_s,r2
training,1400,0.05981416851170967,0.04512926710281424,0.3370695016399564,0.9886752316547284
test,200,0.06222066895959882,0.04752664850280353,0.3116146926998776,0.9877876873332727
