input,mean,scale
speed_rpm,9515.146518564225,138.04298832903032
acceleration_rpm_s,-1.4352140207176252,35.100586363835795
inlet_temperature_K,255.6864430554715,30.449007726210315
inlet_pressure_kPa,57.91710869137601,26.089744936926227
