time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,VF_sdSetpoint,VF_sdFeedback,VF_gainFactor,VF_Kp,VF_Ki,max_flow_error,valid
3.015,10000.0000005472,2.99999299239817,10000,10000.0000006199,2.99999299239817,2.99999299239817,0,-1.11656426669221e-06,17.8326308716016,1,0,27896.5073244899,-27896.5073311687,2.99999299239817,3.00433729150934,3.00433729067119,8.38143776604738e-10,-1.36613673051188e-06,-0.00434430174380247,2.99999299228633,1,0.00124786046181821,0.00124786046642352,1.00253224308875,3.00759672926626,60.1519345853252,5.3586435749087e-10,1
3.03,10000.0000005305,2.9999929924119,10000,10000.0000006011,2.9999929924119,2.9999929924119,0,-1.08723316767161e-06,17.8326308720335,1,0,27896.5073245226,-27896.5073310259,2.9999929924119,3.00433729150934,3.00433729069939,8.0994322360084e-10,-1.32306852691688e-06,-0.00434430163196555,2.99999299231335,1,0.00124786046181821,0.00124786046629318,1.00253224307931,3.00759672923792,60.1519345847583,5.46254289887985e-10,1
3.045,10000.0000005141,2.99999299242595,10000,10000.0000005828,2.99999299242595,2.99999299242595,0,-1.05810761447107e-06,17.832630872454,1,0,27896.5073245577,-27896.5073308869,2.99999299242595,3.00433729150934,3.00433729072338,7.85956189019998e-10,-1.28267972420309e-06,-0.00434430153342331,2.99999299233975,1,0.00124786046181821,0.00124786046624974,1.00253224307616,3.00759672922847,60.1519345845694,5.56443890547376e-10,1
3.06,10000.0000004983,2.99999299244061,10000,10000.000000565,2.99999299244061,2.99999299244061,0,-1.02895426915965e-06,17.8326308728632,1,0,27896.5073245967,-27896.5073307515,2.99999299244061,3.00433729150934,3.00433729074411,7.65226992882617e-10,-1.24463177683401e-06,-0.00434430144722722,2.9999929923636,1,0.00124786046181821,0.00124786046624974,1.00253224307616,3.00759672922847,60.1519345845694,5.66458545860047e-10,1
3.075,10000.0000004828,2.99999299245596,10000,10000.0000005477,2.99999299245596,2.99999299245596,0,-9.9972623255023e-07,17.8326308732612,1,0,27896.50732464,-27896.5073306199,2.99999299245596,3.00433729150934,3.00433729076568,7.4365580360336e-10,-1.20848077437518e-06,-0.00434430137021878,2.99999299237574,1,0.00124786046181821,0.00124786046577183,1.00253224304151,3.00759672912454,60.1519345824908,5.76318261405867e-10,1
3.09,10000.0000004678,2.99999299247209,10000,10000.0000005309,2.99999299247209,2.99999299247209,0,-9.70390501511152e-07,17.8326308736478,1,0,27896.5073246876,-27896.5073304921,2.99999299247209,3.00433729150934,3.00433729078433,7.25005389057287e-10,-1.17395747153795e-06,-0.0043443012899914,2.99999299239987,1,0.00124786046181821,0.00124786046529392,1.00253224300687,3.00759672902061,60.1519345804122,5.86008274446586e-10,1
3.105,10000.0000004533,2.99999299248886,10000,10000.0000005146,2.99999299248886,2.99999299248886,0,-9.41011345298822e-07,17.8326308740231,1,0,27896.5073247392,-27896.5073303679,2.99999299248886,3.00433729150934,3.00433729080107,7.08265002202779e-10,-1.14065999061287e-06,-0.00434430121777448,2.99999299242174,1,0.00124786046181821,0.00124786046568493,1.00253224303521,3.00759672910564,60.1519345821129,5.95540312391093e-10,1
3.12,10000.0000004392,2.99999299250615,10000,10000.0000004987,2.99999299250615,2.99999299250615,0,-9.11721934444545e-07,17.832630874387,1,0,27896.5073247941,-27896.5073302476,2.99999299250615,3.00433729150934,3.00433729081742,6.91917634298989e-10,-1.10834458044775e-06,-0.00434430115065778,2.99999299243969,1,0.00124786046181821,0.00124786046559804,1.00253224302892,3.00759672908675,60.1519345817349,6.04895473415653e-10,1
3.135,10000.0000004255,2.99999299252375,10000,10000.0000004833,2.99999299252375,2.99999299252375,0,-8.82666440523513e-07,17.8326308747396,1,0,27896.5073248512,-27896.507330131,2.99999299252375,3.00433729150934,3.00433729083556,6.73773037362935e-10,-1.07676796962065e-06,-0.00434430108420043,2.99999299245158,1,0.00124786046181821,0.00124786046529392,1.00253224300687,3.00759672902061,60.1519345804122,6.14034436208109e-10,1
3.15,10000.0000004123,2.99999299254142,10000,10000.0000004683,2.99999299254142,2.99999299254142,0,-8.53998299147879e-07,17.832630875081,1,0,27896.5073249098,-27896.5073300181,2.99999299254142,3.00433729150934,3.00433729085186,6.57482068788795e-10,-1.0457348921182e-06,-0.00434430101202333,2.99999299247476,1,0.00124786046181821,0.0012478604654677,1.00253224301947,3.0075967290584,60.1519345811681,6.2293926473134e-10,1
3.165,10000.0000003994,2.99999299255895,10000,10000.0000004538,2.99999299255895,2.99999299255895,0,-8.25953164257818e-07,17.8326308754113,1,0,27896.5073249683,-27896.5073299088,2.99999299255895,3.00433729150934,3.00433729086888,6.40461017553662e-10,-1.01517462755383e-06,-0.0043443009453568,2.99999299249023,1,0.00124786046181821,0.00124786046542426,1.00253224301632,3.00759672904895,60.1519345809791,6.31622376241817e-10,1
3.18,10000.0000003871,2.99999299257611,10000,10000.0000004397,2.99999299257611,2.99999299257611,0,-7.98614991188281e-07,17.8326308757307,1,0,27896.5073250262,-27896.5073298032,2.99999299257611,3.00433729150934,3.00433729088612,6.23214813089135e-10,-9.84996567407475e-07,-0.0043443008766317,2.99999299250709,1,0.00124786046181821,0.00124786046507669,1.00253224299112,3.00759672897337,60.1519345794674,6.40023753999937e-10,1
3.195,10000.0000003751,2.99999299259273,10000,10000.000000426,2.99999299259273,2.99999299259273,0,-7.72202063810145e-07,17.8326308760396,1,0,27896.5073250821,-27896.5073297011,2.99999299259273,3.00433729150934,3.00433729090505,6.04283734162436e-10,-9.55241183708411e-07,-0.00434430080760913,2.99999299251917,1,0.00124786046181821,0.00124786046542426,1.00253224301632,3.00759672904895,60.1519345809791,6.4816561109783e-10,1
3.21,10000.0000003635,2.99999299260864,10000,10000.0000004128,2.99999299260864,2.99999299260864,0,-7.46781546391369e-07,17.8326308763382,1,0,27896.5073251353,-27896.5073296022,2.99999299260864,3.00433729150934,3.00433729092404,5.85296255906087e-10,-9.2588530954589e-07,-0.00434430073404715,2.99999299253563,1,0.00124786046181821,0.00124786046529392,1.00253224300687,3.00759672902061,60.1519345804122,6.56009178101407e-10,1
3.225,10000.0000003523,2.99999299262374,10000,10000.0000004,2.99999299262374,2.99999299262374,0,-7.22428130229946e-07,17.8326308766271,1,0,27896.5073251855,-27896.5073295068,2.99999299262374,3.00433729150934,3.00433729094174,5.67600633161192e-10,-8.97010322352996e-07,-0.00434430066103187,2.99999299255542,1,0.00124786046181821,0.00124786046494635,1.00253224298168,3.00759672894503,60.1519345789005,6.63569217748918e-10,1
3.24,10000.0000003415,2.99999299263799,10000,10000.0000003877,2.99999299263799,2.99999299263799,0,-6.99154553376695e-07,17.8326308769064,1,0,27896.5073252323,-27896.5073294143,2.99999299263799,3.00433729150934,3.00433729096005,5.49287282325395e-10,-8.68713294475279e-07,-0.00434430059271109,2.99999299256866,1,0.00124786046181821,0.00124786046477256,1.00253224296908,3.00759672890723,60.1519345781447,6.70850421003917e-10,1
3.255,10000.000000331,2.99999299265141,10000,10000.0000003757,2.99999299265141,2.99999299265141,0,-6.76908705623716e-07,17.8326308771768,1,0,27896.507325276,-27896.507329325,2.99999299265141,3.00433729150934,3.00433729097707,5.32265787001052e-10,-8.41100817703899e-07,-0.0043443005233811,2.9999929925868,1,0.00124786046181821,0.00124786046459878,1.00253224295648,3.00759672886944,60.1519345773888,6.77856513043348e-10,1
3.27,10000.0000003208,2.99999299266397,10000,10000.0000003641,2.99999299266397,2.99999299266397,0,-6.5574732919739e-07,17.8326308774386,1,0,27896.507325316,-27896.5073292384,2.99999299266397,3.00433729150934,3.00433729099499,5.14345899205182e-10,-8.14189828790893e-07,-0.00434430045877092,2.99999299259751,1,0.00124786046181821,0.0012478604643381,1.00253224293758,3.00759672881275,60.1519345762551,6.84583354781718e-10,1
3.285,10000.000000311,2.99999299267576,10000,10000.0000003529,2.99999299267576,2.99999299267576,0,-6.35547096605685e-07,17.8326308776922,1,0,27896.5073253529,-27896.5073291545,2.99999299267576,3.00433729150934,3.00433729101454,4.94796648098372e-10,-7.88086029270394e-07,-0.00434430039231318,2.99999299260517,1,0.00124786046181821,0.00124786046481601,1.00253224297223,3.00759672891668,60.1519345783336,6.9105881606133e-10,1
3.3,10000.0000003014,2.9999929926869,10000,10000.000000342,2.9999929926869,2.9999929926869,0,-6.16153993234136e-07,17.8326308779381,1,0,27896.5073253877,-27896.5073290732,2.9999929926869,3.00433729150934,3.00433729103094,4.78393324954141e-10,-7.62901244801009e-07,-0.00434430032173079,2.99999299262642,1,0.00124786046181821,0.00124786046438154,1.00253224294073,3.0075967288222,60.151934576444,6.9731642347465e-10,1
3.315,10000.0000002922,2.99999299269746,10000,10000.0000003315,2.99999299269746,2.99999299269746,0,-5.97573230103534e-07,17.8326308781763,1,0,27896.50732542,-27896.5073289944,2.99999299269746,3.00433729150934,3.00433729104639,4.62945237700296e-10,-7.38607872198476e-07,-0.00434430026125134,2.99999299264044,1,0.00124786046181821,0.00124786046481601,1.00253224297223,3.00759672891668,60.1519345783336,7.03366662704921e-10,1
