time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,VF_sdSetpoint,VF_sdFeedback,VF_gainFactor,VF_Kp,VF_Ki,max_flow_error,valid
70.575,8998.19158841993,1.27458547074492,9000,8997.77716337439,1.09391992285356,1.27458547074492,0,-7.91486066862955,26.1357027481804,10,1178.9245211279,13238.090257992,-12101.7668734565,1.27458547074492,0.982312141850576,0.989288270371155,-0.00697612852057905,7.74151793369678,0.313323567657123,1.27458547074492,1,0.00126841712762271,0.0012841284880977,1.00582238895989,3.01746716687966,60.3493433375931,7.27166592216548e-10,1
70.59,8998.0728655099,1.26869128131226,9000,8997.88456680525,1.09285965434417,1.26869128131226,0,-12.0050472199694,26.2918566563746,10,1178.9245211279,13209.0839051531,-12094.774438638,1.26869128131226,0.982312141850576,0.989148788423913,-0.00683664657333705,7.51279845194606,0.307006438166741,1.26869128131226,1,0.00126841712762271,0.00128320195113286,1.00572205411853,3.0171661623556,60.3433232471121,3.81186187085927e-10,1
70.605,8997.8927898016,1.2691454515074,9000,8997.9333667683,1.0932070060433,1.2691454515074,0,-11.5601772866247,26.2753068474459,9,1178.9245211279,13210.5234577923,-12093.8183368916,1.2691454515074,0.982312141850576,0.986947265720411,-0.00463512386983578,5.8368285522992,0.300818396114922,1.2691454515074,1,0.00126841712762271,0.00128330031434742,1.00573266582332,3.01719799746997,60.3439599493994,2.26471491909929e-10,1
70.62,8997.7193871423,1.27555257882605,9000,8997.92285074017,1.09502402432505,1.27555257882605,0,-6.90714798279781,26.098465213091,10,1178.9245211279,13240.7735598999,-12099.0243731526,1.27555257882605,0.982312141850576,0.983433192973127,-0.00112105112255101,3.26436649571366,0.29662321387543,1.27555257882605,1,0.00126841712762271,0.00128424311831439,1.00583486096538,3.01750458289613,60.3500916579225,4.5615145331977e-10,1
70.635,8997.61577992256,1.28572867357145,9000,8997.87012060548,1.09792091199864,1.28572867357145,0,0.358076586610693,25.8233008741289,10,1178.9245211279,13289.4504745298,-12108.5994605581,1.28572867357145,0.982312141850576,0.979724523273393,0.00258761857718293,0.596758943774788,0.295607223472583,1.28572867357145,1,0.00126841712762271,0.00128560429658047,1.0059839469332,3.01795184079961,60.3590368159922,7.56693580202744e-10,1
70.65,8997.62115107136,1.29643721642496,9000,8997.80420503825,1.10119217731958,1.29643721642496,0,7.90029235775215,25.5385873130687,10,1178.9245211279,13340.9573455812,-12119.5141419201,1.29643721642496,0.982312141850576,0.97695252729058,0.0053596145599959,-1.36709772120521,0.297947790072317,1.29643721642496,1,0.00126841712762271,0.00128685361298121,1.00612238193507,3.01836714580521,60.3673429161043,8.37336915930073e-10,1
70.665,8997.73965545673,1.30441366137661,9000,8997.75676431455,1.10404373029914,1.30441366137661,0,13.4443653710565,25.3306411995619,10,1178.9245211279,13379.7901036569,-12128.5077583495,1.30441366137661,0.982312141850576,0.975917775900126,0.00639436595044973,-2.07361803300349,0.302799544797796,1.30441366137661,1,0.00126841712762271,0.00128752098093375,1.00619695931321,3.01859087793964,60.3718175587927,6.41431323131147e-10,1
70.68,8997.94132093729,1.30735878608399,9000,8997.75233034019,1.10583875312986,1.30735878608399,0,15.3816723493102,25.2579202003409,10,1178.9245211279,13394.7816127638,-12133.0706928177,1.30735878608399,0.982312141850576,0.976860423587788,0.00545171826278756,-1.37402177815724,0.308590481759696,1.30735878608399,1,0.00126841712762271,0.0012873328606426,1.00617589296234,3.01852767888702,60.3705535777405,2.25708226951261e-10,1
70.695,8998.17204602253,1.30457754949548,9000,8997.80130961581,1.10628072872536,1.30457754949548,0,13.2629312039368,25.336611224702,10,1178.9245211279,13382.4079011659,-12132.0986167085,1.30457754949548,0.982312141850576,0.979417327532915,0.00289481431766014,0.451403215588205,0.313528345509498,1.30457754949548,1,0.00126841712762271,0.00128628348074782,1.00605901641743,3.0181770492523,60.3635409850459,2.47151693333666e-10,1
70.71,8998.37098999059,1.29712963550159,9000,8997.89739058982,1.10548987229332,1.29712963550159,0,7.87416278324213,25.5380777488878,10,1178.9245211279,13347.4587919114,-12126.1526858268,1.29712963550159,0.982312141850576,0.982753458074697,-0.000441316224121469,2.79411772057625,0.316149223390681,1.29712963550159,1,0.00126841712762271,0.00128463107141379,1.00587716689031,3.01763150067092,60.3526300134183,5.96779996846259e-10,1
