case_index,rpm,fraction,shape,method,accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s
1,9000,0.05,ramps,VirtualFuel,1,0.370562617006627,2.22624043501492,14.3212237583598,29.8630012219869,0.368955399033356,0.0224086377541628
1,9000,0.05,ramps,VirtualFuelFF,1,0.251226235854906,1.79024449164717,9.54807868107128,29.6930943492501,0.676248285089469,0.0269770093848929
1,9000,0.05,ramps,VirtualFuelUQ,1,0.337849793297694,2.42453976636534,12.8607512166119,29.5893916919662,0.257946990053233,0.0298079860184066
1,9000,0.05,ramps,VirtualFuelUQUp,1,0.250119905727684,1.78253717162625,9.50563668516287,29.6997097330389,0.690118853532928,0.0267350274494984
2,9000,0.1,ramps,VirtualFuel,1,0.744078008466557,4.46486399276182,28.7655153718404,25.2776323199369,0.716899068122616,0.0441572226103468
2,9000,0.1,ramps,VirtualFuelFF,1,0.504458043096064,3.60549350910878,19.1779534265231,24.9392611852692,1.32760858360303,0.0552735315150588
2,9000,0.1,ramps,VirtualFuelUQ,1,0.679743864338944,4.89646981568694,25.876779167693,24.7799954384846,0.507541501815037,0.0608726136023456
2,9000,0.1,ramps,VirtualFuelUQUp,1,0.502091580013809,3.58839321091546,19.0877162986762,24.9516300400625,1.35649242629067,0.0548691718482301
3,9000,0.2,ramps,VirtualFuel,1,1.58093050092005,9.47838241556201,61.1100840793059,16.2279872725697,1.08959486946249,0.0928832117120173
3,9000,0.2,ramps,VirtualFuelFF,1,1.07214524506324,7.89388448664795,40.7381802009682,15.2006756821313,2.60128908120814,0.136778744488738
3,9000,0.2,ramps,VirtualFuelUQ,1,1.45233384294211,10.7382026281684,55.2291100644027,15.1480837248242,0.955883721308719,0.152289424228705
3,9000,0.2,ramps,VirtualFuelUQUp,1,1.06624706086881,7.81640425577098,40.5170859341458,15.2041712202602,2.66581431977662,0.137512727147817
4,9000,0.3,ramps,VirtualFuel,1,2.46661370627074,14.7063680561787,95.1800039832923,8.30426143391737,1.34520001503588,0.139702382878059
