accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,candidate,Kp,Ki,Kd,reference_hp,fallback_percent,input_outside_percent,Nc_outside_percent
1,2.42090390645681,21.4062321269976,51.116237387376,18.2801615441065,1.95602133439818,0,2.07022804171342,0.563178925909171,4.81749568884652,2.47499999999999,0,6,NaN,0,0.025,0.05,0,15376.7919457386,NaN,NaN,0
1,1.66580234955276,14.1133113573051,28.5348051248612,19.6312616991099,1.88828457424187,0,1.69679654081226,0.510267258715193,8.71872208098945,1.36500000000001,0,6,NaN,1,0.025,0.1,0.002,15376.7919457386,0,100,0
1,2.47653651179297,19.5870230474775,43.4472232114499,19.4858176317334,1.90193176712971,0,1.05238607128,0.506631787371019,5.0884272523884,1.71000000000001,0,6,NaN,2,0.015,0.08,0.001,15376.7919457386,0,100,0
1,1.90349916362161,16.7211649060791,31.9560577026765,19.4470660129383,1.89552297286154,0,0.940294854763333,0.500222993102846,6.54385263604311,1.14,0,6,NaN,3,0.025,0.08,0.001,15376.7919457386,0,100,0
1,1.61307967467233,15.1685758387393,31.9476539963995,18.527825272663,1.94794017629717,0,1.96342536097124,0.553980902402378,7.96590187674588,1.875,0,6,NaN,4,0.035,0.08,0.001,15376.7919457386,0,100,0
1,2.13254271067156,19.0121785703941,38.4365702080506,18.4091261158507,1.96060779737548,0,2.30021380422406,0.565307818146972,5.2649696425325,1.995,0,6,NaN,5,0.015,0.14,0.001,15376.7919457386,0,100,0
1,1.58528773296204,16.5929745922203,21.0031737006264,18.5984929805508,1.94363055927923,0,1.45064739475693,0.548330579520539,6.7203950526932,0.870000000000005,0,6,NaN,6,0.025,0.14,0.001,15376.7919457386,0,100,0
1,1.33132212007506,15.1223705872908,18.2556573103552,17.9122527945143,1.98199890045132,0,2.19236394462956,0.58669892130611,8.14244407930086,0.870000000000005,0,6,NaN,7,0.035,0.14,0.001,15376.7919457386,0,100,0
1,2.07613415893907,18.5522617416864,41.5613426155833,17.3432963991269,2.02016071329411,0,4.2714100403996,0.624860733535421,5.44151204979545,2.625,0,6,NaN,8,0.015,0.2,0.001,15376.7919457386,0,100,0
1,1.46863448154349,16.464476251138,18.9953332435379,17.7477065326085,1.99153779545831,0,2.19492563952352,0.596237816780517,6.89693745759336,0.960000000000008,0,6,NaN,9,0.025,0.2,0.001,15376.7919457386,0,100,0
1,1.21752997007596,15.0761545174009,13.2223598574698,17.311766786118,2.01581214814195,0,2.4813717505857,0.620512168383261,8.31898644177291,0.659999999999997,0,6,NaN,10,0.035,0.2,0.001,15376.7919457386,0,100,0
1,2.33302383058781,15.5314166672688,47.9247460853929,20.0462184736065,1.87717944773008,0,1.2625700102531,0.481879467971391,7.29740550283903,2.565,0,6,NaN,11,0.015,0.08,0.002,15376.7919457386,0,100,0
1,1.8243649810614,14.1287732127457,33.4416230818326,19.7611886766856,1.8814863046516,0,1.64787569453051,0.503682714331666,8.65987467328629,1.575,0,6,NaN,12,0.025,0.08,0.002,15376.7919457386,0,100,0
1,1.55643722585042,13.2636133448104,31.9476971485722,18.6363479060526,1.94325313091091,0,2.72950817264133,0.559316908513058,9.9889793286724,1.72499999999999,0,6,NaN,13,0.035,0.08,0.002,15376.7919457386,0,100,0
1,1.90057438827015,15.3426165999244,38.2372320738005,19.4590908289171,1.90825019970917,0,1.72300928189103,0.512950221018416,7.47393284970514,2.43000000000001,0,6,NaN,14,0.015,0.14,0.002,15376.7919457386,0,100,0
1,1.46745867685296,14.0823833363975,23.3875364460115,19.3430269245293,1.90492178410265,0,1.84422221943896,0.523426773381423,8.83641703347367,1.47,0,6,NaN,15,0.025,0.14,0.002,15376.7919457386,0,100,0
1,1.24958384407894,13.2214410805955,18.8414206588908,18.2758881665613,1.96281320122864,0,2.81321112683528,0.575608801408293,10.165521654445,1.08,0,6,NaN,16,0.035,0.14,0.002,15376.7919457386,0,100,0
1,1.72149075991884,15.2242830332252,35.1541952365556,19.0006774789486,1.93573764576911,0,2.34619442554086,0.540437666366287,7.65047528458032,2.715,0,6,NaN,17,0.015,0.2,0.002,15376.7919457386,0,100,0
1,1.30741909164753,14.0359800907681,19.8564616102249,18.8516177403077,1.93126974215487,0,2.05752393359306,0.543142118964578,9.01295948101213,1.245,0,6,NaN,18,0.025,0.2,0.002,15376.7919457386,0,100,0
1,1.10961759934129,13.1792687333818,14.6966073431528,17.9196060865733,1.98234359205509,0,2.90496624240758,0.594411577509703,10.3420640729448,0.900000000000006,0,6,NaN,19,0.035,0.2,0.002,15376.7919457386,0,100,0
1,2.25979182838789,14.1412365474589,51.974996005984,20.2996318412995,1.86652604931253,0,2.44294621785683,0.494638940837044,9.87355031438586,3.03,0,6,NaN,20,0.015,0.08,0.003,15376.7919457386,0,100,0
1,1.78328735512135,12.5631914201549,35.6827782291009,19.1590032203438,1.91552049684761,0,3.2294910776104,0.550187995781722,11.1149639237417,1.785,0,6,NaN,21,0.025,0.08,0.003,15376.7919457386,0,100,0
1,1.52790049632601,12.1591188055663,31.9655424145858,18.1451912831435,1.97133581765296,0,4.67070425920324,0.599292877288632,12.3563750511116,1.545,0,6,NaN,22,0.035,0.08,0.003,15376.7919457386,0,100,0
1,1.79247522692361,13.2176280622371,39.9548256897833,19.911868984368,1.88830142411192,0,2.71684982912106,0.507959663168745,9.93836559107858,2.79000000000001,0,6,NaN,23,0.015,0.14,0.003,15376.7919457386,0,100,0
1,1.40908257159843,12.5533734968521,25.3540187423109,18.9080457142798,1.92884391815015,0,3.33980363896768,0.563238865591314,11.1797780036307,1.73999999999999,0,6,NaN,24,0.025,0.14,0.003,15376.7919457386,0,100,0
1,1.20969777416683,12.1492678812428,20.0158869547517,17.9056540864801,1.98442575318535,0,4.72939337148398,0.612069799989136,12.4211903949974,1.30500000000001,0,6,NaN,25,0.035,0.14,0.003,15376.7919457386,0,100,0
1,1.57550308857306,13.1754603477384,34.828272214941,19.5624114971264,1.90204588565994,0,3.01184990553662,0.521275854491309,10.0031808781457,2.76000000000001,0,6,NaN,26,0.015,0.2,0.003,15376.7919457386,0,100,0
1,1.23211645093281,12.5435414363219,21.1767929312062,18.6589171688334,1.94216241256256,0,3.44904567818456,0.576285312484046,11.2445932914031,1.785,0,6,NaN,27,0.025,0.2,0.003,15376.7919457386,0,100,0
1,1.05902280909056,12.1394161149547,15.8901133257404,17.6676658457803,1.99751573663878,0,4.77543804406282,0.624842326379632,12.4860056865167,1.035,0,6,NaN,28,0.035,0.2,0.003,15376.7919457386,0,100,0
