rpm,fraction,shape,PI_valid,VF_valid,PI_RMSE,VF_RMSE,RMSE_improvement_percent,PI_peak,VF_peak,peak_improvement_percent,PI_IAE,VF_IAE
9000,0.05,ramps,1,1,0.594153474482887,0.370562617006627,37.6318353891407,5.32465497307567,2.22624043501492,58.1899588560763,18.3087097664589,14.3212237583598
9000,0.1,ramps,1,1,1.19314306603586,0.744078008466557,37.637151013356,10.6772387029541,4.46486399276182,58.1833457415679,36.7735784380474,28.7655153718404
9000,0.2,ramps,1,1,2.54005763769883,1.58093050092005,37.760054045376,22.5534959215092,9.47838241556201,57.9737773312451,78.1104463530229,61.1100840793059
9000,0.3,ramps,1,1,3.97301930388849,2.46661370627074,37.9158892115977,35.3594557203432,14.7063680561787,58.4089524100968,121.624380422636,95.1800039832923
9500,0.05,ramps,1,1,1.01658953726134,0.522166798606537,48.6354345124151,8.90503726918905,3.30107531684371,62.93024703821,31.5380460906969,19.5192550427741
9500,0.1,ramps,1,1,2.12513600840014,1.09108393224036,48.658159857648,18.6416214226902,6.86942670238204,63.1500578913124,65.8633099756077,40.7641900226612
9500,0.2,ramps,1,1,4.45266742097516,2.28365702960949,48.712607214905,39.2701220463041,14.4253235792639,63.2664152093677,137.687818345279,85.2248481536614
9500,0.3,ramps,0,1,NaN,3.68136577756138,NaN,NaN,23.319846796112,NaN,NaN,137.317970481938
9500,0.2,steps,1,1,6.42951707805486,3.09508549804032,51.8613068374229,54.0998334907035,26.0187914266698,51.9059676382537,137.688220227863,84.9444243379509
9500,0.3,steps,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
