file,Kp,Ki,load,first_invalid_s,speed_rpm,flow_error,iterations,surge_margin,trim_error
tune_03_02.mat,1,10,0.1,92.49,8996.21354464993,1.4504696010165e-05,200,25.6719784923823,3.63797880709171e-12
tune_04_02.mat,1,20,0.1,71.07,8996.10257286951,1.450407681026e-05,200,25.670893122604,3.63797880709171e-12
tune_09_01.mat,8,80,0.05,70.53,8994.05262561843,0.0231238080484302,200,4.51635981959086e-06,3.63797880709171e-12
tune_10_01.mat,8,160,0.05,70.44,8997.05634137606,0.0492120581409006,200,2.23177405394727e-06,3.63797880709171e-12
tune_11_01.mat,16,160,0.05,70.26,8993.16467409185,0.101671809014516,200,5.19315580038472e-06,3.63797880709171e-12
tune_12_01.mat,16,320,0.05,70.26,8984.76652126876,0.0976697129550914,200,1.16267567340891e-05,3.63797880709171e-12
tune_13_02.mat,0.5,40,0.1,91.605,8976.41692373411,0.00208704699606118,200,1.80820651225142e-05,3.63797880709171e-12
