rpm,fraction,shape,method,first_failure_eval_s,flow_error,iterations,surge_margin
9500,0.3,ramps,PI,10.38,0.00119337272891972,200,0.000222686675651769
9500,0.3,steps,PI,10.155,0.0064673789987631,200,0.000225746984868401
9500,0.3,steps,VirtualFuel,10.065,0.0144151135371295,200,0.000219613838993936
