rpm,fraction,shape,method,Kp,Ki,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,minimum_margin_percent,outside_training_percent,trim_error_rpm,gp_replay_error,wall_seconds,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,candidate
9500,0.05,steps,VirtualFuelFF,3,60,1,0.711645647587413,6.9454976086472,16.7700025708091,2.36284537899338,0,18.5189444711391,0,3.63797880709171e-12,3.30002691839582e-12,78.179389,25.7817091818932,0.513374024372893,9.75508331426735,3.52500000000001,1
9500,0.05,steps,VirtualFuelFF,3,40,1,0.720782346457849,7.02553822654409,19.5274777668136,2.28882960332743,0,19.6524789480288,0,3.63797880709171e-12,4.39337455304667e-12,67.685637,6.64863679202343,0.439358243079544,8.59118136578418,2.94,2
9500,0.05,steps,VirtualFuelFF,2.5,40,1,0.735785497525816,7.4687886408301,19.530113891007,2.27508205005094,0,19.8441394005506,0,3.63797880709171e-12,4.84146056578538e-12,64.2295004,5.07644726181631,0.427179226105362,7.72391373625453,2.925,3
9500,0.05,steps,VirtualFuelFF,2,40,1,0.765122167659685,7.9119521754983,19.5316022018937,2.27830704705259,0,19.7966594258082,0,3.63797880709171e-12,3.95616872594928e-12,65.5267249,4.84421177798138,0.428835686804706,6.89691810733152,2.91,4
