time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,max_flow_error,valid
74.775,9499.99037811154,2.11229335799965,9500,9499.98962170687,2.01338961037907,2.11229335799965,0,0.0121162885481273,22.6138200592215,4,958.039694326328,20388.9010186553,-19430.7930208244,2.11229335799965,1.85387526140888,1.85387533047172,-6.90628358945844e-08,0.0137277856515652,0.258418303779277,2.11229335799965,0,1.78241738508544e-10,1
74.79,9499.99055985587,2.1122933204819,9500,9499.9898177386,2.01339241608158,2.1122933204819,0,0.0118874333793714,22.6138247221033,4,958.039694326328,20388.9021381261,-19430.7954407621,2.1122933204819,1.85387526140888,1.85387532916507,-6.77561859951936e-08,0.0134684878110332,0.258418262341575,2.1122933204819,0,1.74874753558201e-10,1
74.805,9499.99073816737,2.11229328366373,9500,9499.99001006757,2.01339516878791,2.11229328366373,0,0.0116628953579049,22.6138292970627,4,958.039694326328,20388.9032364116,-19430.7978149822,2.11229328366373,1.85387526140888,1.85387532788655,-6.64776704795145e-08,0.013214087591748,0.258418221687864,2.11229328366373,0,1.71570940003102e-10,1
74.82,9499.9909131108,2.11229324754442,9500,9499.99019876373,2.01339786949866,2.11229324754442,0,0.01144260076443,22.6138337855496,4,958.039694326328,20388.9043139678,-19430.80014436,2.11229324754442,1.85387526140888,1.85387532663079,-6.52219069863236e-08,0.0129644929794556,0.258418181801261,2.11229324754442,0,1.68329953549084e-10,1
74.835,9499.99108474981,2.11229321210591,9500,9499.9903838957,2.01340051919619,2.11229321210591,0,0.0112264661264996,22.6138381892791,4,958.039694326328,20388.9053711629,-19430.8024297378,2.11229321210591,1.85387526140888,1.85387532539925,-6.39903632304595e-08,0.0127196128082918,0.258418142668117,2.11229321210591,0,1.65150245017551e-10,1
74.85,9499.99125314681,2.1122931773432,9500,9499.99056553081,2.01340311884401,2.1122931773432,0,0.011014418045547,22.6138425097204,4,958.039694326328,20388.9064084188,-19430.8046719546,2.1122931773432,1.85387526140888,1.85387532418874,-6.27798590890905e-08,0.0124793580969718,0.258418104273899,2.1122931773432,0,1.62030437358169e-10,1
74.865,9499.99141836308,2.11229314322974,9500,9499.99074373509,2.01340566938756,2.11229314322974,0,0.0108063706050117,22.613846748679,4,958.039694326328,20388.9074260494,-19430.8068718125,2.11229314322974,1.85387526140888,1.85387532300393,-6.15950426219314e-08,0.0122436413800836,0.258418066605984,2.11229314322974,0,1.58969497775179e-10,1
74.88,9499.99158045863,2.11229310976184,9500,9499.99091857336,2.01340817175403,2.11229310976184,0,0.0106022537174963,22.6138509075488,4,958.039694326328,20388.9084244641,-19430.8090301193,2.11229310976184,1.85387526140888,1.85387532184088,-6.04319996266867e-08,0.0120123773044986,0.258418029648958,2.11229310976184,0,1.55965877094837e-10,1
74.895,9499.99173949244,2.11229307692425,9500,9499.99109010921,2.01341062685363,2.11229307692425,0,0.0104019912013871,22.613854987894,4,958.039694326328,20388.909404012,-19430.8111476568,2.11229307692425,1.85387526140888,1.85387532070035,-5.92914639607756e-08,0.0117854814165382,0.258417993389758,2.11229307692425,0,1.53019919536153e-10,1
74.91,9499.99189552231,2.112293044713,9500,9499.99125840499,2.01341303557919,2.112293044713,0,0.0102055149863136,22.6138589910646,4,958.039694326328,20388.9103650841,-19430.8132252031,2.112293044713,1.85387526140888,1.85387531957914,-5.81702552793217e-08,0.0115628711917858,0.25841795781488,2.112293044713,0,1.50129387422137e-10,1
