time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
105.195,9935.46875377558,0.810726884219729,9937.95,9951.17627415488,0.810726884219729,0.810726884219729,0,-272.820869961629,24.8760270484073,14,0,9382.61827335948,-11003.9868902669,249.375225751542,37.4027744609583,7.40541807019754e-10,1,1.06799942958611,1,7532.5,10.13
105.21,9931.37644072616,0.83293082451982,9935.1,9947.10547390458,0.83293082451982,0.83293082451982,0,-256.179438487169,24.0422028125968,14,0,9498.84143792022,-11020.6832935371,249.369012933563,37.3883873102575,7.26029381287433e-10,1,1.06757283066082,1,7535,10.14
105.225,9927.53374914885,0.856191944100039,9932.25,9943.02909834348,0.856191944100039,0.856191944100039,0,-238.984210815444,23.1866434395684,14,0,9620.2307474583,-11039.3745088934,249.362800115582,37.3740001595567,4.13307238213502e-10,1,1.06717305465508,1,7537.5,10.15
105.24,9923.94898598662,0.878834934540595,9929.4,9939.01328490783,0.878834934540595,0.878834934540595,0,-222.965342829961,22.378823092803,14,0,9734.02158407496,-11057.5634917395,249.356587297601,37.3596130088559,3.83229504229825e-10,1,1.0668009955478,1,7540,10.16
105.255,9920.60450584417,0.899515475856894,9926.55,9935.10918353866,0.899515475856894,0.899515475856894,0,-209.091609873078,21.6653979087178,14,0,9832.44005736966,-11073.2079711609,249.350374479618,37.3452258581551,3.20823694601314e-10,1,1.0664547575129,1,7542.5,10.17
105.27,9917.46813169607,0.917303638466209,9923.7,9931.35011500566,0.917303638466209,0.917303638466209,0,-197.149741006053,21.0614089934125,13,0,9916.27346543094,-11085.8074220016,249.344161661635,37.3308387074544,9.01990394087682e-10,1,1.06613088247511,1,7545,10.18
105.285,9914.51088558098,0.931675553432242,9920.85,9927.75242550619,0.931675553432242,0.931675553432242,0,-187.47472351865,20.5786933045318,13,0,9983.20182078339,-11095.0099035232,249.33794884365,37.3164515567536,7.35474029947764e-10,1,1.06582625609152,1,7547.5,10.19
105.3,9911.6987647282,0.942393377540997,9918,9924.32071491532,0.942393377540997,0.942393377540997,0,-180.213442801853,20.2201802634796,13,0,10032.2754750808,-11100.7178138605,249.331736025665,37.3020644060528,5.79836117613491e-10,1,1.065537223682,1,7550,10.2
105.315,9908.99556308618,0.949469867715641,9915.15,9921.04957874995,0.949469867715641,0.949469867715641,0,-175.366477128042,19.9815759175602,13,0,10063.7060663131,-11103.1283492282,249.325523207677,37.287677255352,3.51425155226325e-10,1,1.06525989352211,1,7552.5,10.21
105.33,9906.36506592926,0.953124544176474,9912.3,9917.92562991549,0.953124544176474,0.953124544176474,0,-172.785579980994,19.8535510969532,12,0,10078.6380701493,-11102.4911352892,249.319310389689,37.2732901046512,8.1136610209695e-10,1,1.06499037276093,1,7555,10.22
105.345,9903.77328222954,0.953737199671391,9909.45,9914.92956525141,0.953737199671391,0.953737199671391,0,-172.185886913062,19.8234112084751,12,0,10078.9295096695,-11098.9621124471,249.313097571701,37.2589029539504,5.54587248514584e-10,1,1.06472500741664,1,7557.5,10.23
105.36,9901.19049392585,0.951798767468966,9906.6,9912.03827505275,0.951798767468966,0.951798767468966,0,-173.249434501693,19.8752338570614,12,0,10066.9479785654,-11093.0134026427,249.306884753711,37.2445158032496,3.35490005984765e-10,1,1.06446060270486,1,7560,10.24
105.375,9898.59175240832,0.94786100374138,9903.75,9909.22693697645,0.94786100374138,0.94786100374138,0,-175.619283533198,19.9916856621718,11,0,10045.3327760671,-11085.1605787669,249.30067193572,37.2301286525488,5.36634274295964e-10,1,1.06419447644423,1,7562.5,10.25
105.39,9895.95746315532,0.942495112399516,9900.9,9906.47069595581,0.942495112399516,0.942495112399516,0,-178.948944604055,20.1546069029658,10,0,10016.8168666292,-11076.0773539915,249.294459117728,37.215741501848,8.17837310102174e-10,1,1.06392452194317,1,7565,10.26
105.405,9893.27322898626,0.936256318185288,9898.05,9903.74606026015,0.936256318185288,0.936256318185288,0,-182.87406077916,20.346663646937,11,0,9984.05241881962,-11066.253400006,249.288246299734,37.2013543511472,8.789516526676e-10,1,1.06364919118354,1,7567.5,10.27
