time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
101.415,9975.67579938617,1.35056956614008,9975,9975.67592743407,1.35056956614008,1.35056956614008,0,-0.00218541898187787,12.13556907491,8,0,12529.9368423401,-12529.9498827982,250.940855851453,41.0283364375573,4.74330000289845e-10,1,1.06897106795297,1,6902.5,7.61
101.43,9975.67576660488,1.35006346326776,9975,9975.67589424885,1.35006346326776,1.35006346326776,0,-0.00217935007102459,12.1356952019453,8,0,12525.3889489742,-12525.4019532189,250.934643033706,41.0139492868565,4.83286714491584e-10,1,1.06898429752992,1,6905,7.62
101.445,9975.67573391463,1.34955738262603,9975,9975.67586116832,1.34955738262603,1.34955738262603,0,-0.00217348617417774,12.135821344299,8,0,12520.841159533,-12520.8541287876,250.928430215957,40.9995621361558,4.92395404384316e-10,1,1.06899752760801,1,6907.5,7.63
101.46,9975.67570131234,1.34905132422624,9975,9975.67582818894,1.34905132422624,1.34905132422624,0,-0.0021678203948408,12.1359475017249,8,0,12516.2934740702,-12516.3064095169,250.922217398208,40.9851749854549,5.01658569996334e-10,1,1.06901075818693,1,6910,7.64
101.475,9975.67566879503,1.34854528807926,9975,9975.67579530728,1.34854528807926,1.34854528807926,0,-0.00216234604640561,12.136073673986,8,0,12511.7458926377,-12511.7587954187,250.916004580459,40.9707878347541,5.11078316612275e-10,1,1.0690239892664,1,6912.5,7.65
101.49,9975.67563635984,1.34803927419569,9975,9975.67576252005,1.34803927419569,1.34803927419569,0,-0.00215705665099431,12.136199860853,8,0,12507.198415286,-12507.211286505,250.909791762708,40.9564006840534,5.20658065327718e-10,1,1.06903722084613,1,6915,7.66
101.505,9975.67560400399,1.34753328258568,9975,9975.67572982406,1.34753328258568,1.34753328258568,0,-0.00215194608710499,12.1363260621053,8,0,12502.6510420631,-12502.6638827873,250.903578944957,40.9420135333526,5.303990003589e-10,1,1.06905045292586,1,6917.5,7.67
101.52,9975.6755717248,1.34702731325915,9975,9975.67569721621,1.34702731325915,1.34702731325915,0,-0.00214700820660161,12.1364522775281,8,0,12498.103773017,-12498.1165842766,250.897366127204,40.9276263826518,5.40304279638582e-10,1,1.06906368550533,1,6920,7.68
101.535,9975.67553951968,1.34652136622558,9975,9975.67566469354,1.34652136622558,1.34652136622558,0,-0.00214223726143875,12.1365785069155,8,0,12493.5566081927,-12493.569390984,250.891153309451,40.913239231951,5.50375613706984e-10,1,1.0690769185843,1,6922.5,7.69
101.55,9975.67550738612,1.34601544149424,9975,9975.67563225317,1.34601544149424,1.34601544149424,0,-0.00213762758578929,12.1367047500675,8,0,12489.0095476348,-12489.0223029199,250.884940491698,40.8988520812502,5.60616818401786e-10,1,1.06909015216253,1,6925,7.7
101.565,9975.6754753217,1.34550953907396,9975,9975.67559989231,1.34550953907396,1.34550953907396,0,-0.00213317380332729,12.1368310067926,8,0,12484.4625913856,-12484.4753200948,250.878727673943,40.8844649305494,5.7102947268153e-10,1,1.06910338623979,1,6927.5,7.71
101.58,9975.67544332409,1.34500365897335,9975,9975.67556760828,1.34500365897335,1.34500365897335,0,-0.00212887067118683,12.1369572769052,8,0,12479.9157394863,-12479.9284425186,250.872514856188,40.8700777798486,5.81616339734442e-10,1,1.06911662081586,1,6930,7.72
101.595,9975.67541139104,1.34449780120078,9975,9975.67553539848,1.34449780120078,1.34449780120078,0,-0.00212471299948071,12.137083560224,8,0,12475.3689919779,-12475.3816702012,250.866302038432,40.8556906291478,5.92379788005149e-10,1,1.06912985589054,1,6932.5,7.73
101.61,9975.67537952034,1.34399196576429,9975,9975.6755032604,1.34399196576429,1.34399196576429,0,-0.00212069599204328,12.1372098565762,8,0,12470.8223488985,-12470.8350031521,250.860089220675,40.841303478447,6.03323238586718e-10,1,1.0691430914636,1,6935,7.74
101.625,9975.6753477099,1.3434861526717,9975,9975.67547119162,1.3434861526717,1.3434861526717,0,-0.00211681483823387,12.1373361657928,8,0,12466.2758102861,-12466.2884413808,250.853876402917,40.8269163277462,6.14448665179887e-10,1,1.06915632753487,1,6937.5,7.75
101.64,9975.67531595768,1.34298036193049,9975,9975.67543918979,1.34298036193049,1.34298036193049,0,-0.00211306496567122,12.137462487713,8,0,12461.7293761772,-12461.7419848962,250.847663585158,40.8125291770455,6.25759094133813e-10,1,1.06916956410415,1,6940,7.76
101.655,9975.6752842617,1.34247459354791,9975,9975.67540725265,1.34247459354791,1.34247459354791,0,-0.00210944198928134,12.1375888221809,8,0,12457.1830466066,-12457.1956337072,250.841450767399,40.7981420263447,6.37257025472998e-10,1,1.06918280117126,1,6942.5,7.77
101.67,9975.67525262007,1.341968847531,9975,9975.67537537801,1.341968847531,1.341968847531,0,-0.0021059415650994,12.1377151690452,8,0,12452.636821609,-12452.6493878224,250.835237949639,40.7837548756439,6.48945880289166e-10,1,1.06919603873604,1,6945,7.78
101.685,9975.67522103095,1.34146312388661,9975,9975.67534356375,1.34146312388661,1.34146312388661,0,-0.00210255952170325,12.1378415281588,8,0,12448.0907012178,-12448.1032472504,250.829025131878,40.7693677249431,6.60827369119746e-10,1,1.0692092767983,1,6947.5,7.79
101.7,9975.67518949256,1.34095742262133,9975,9975.67531180785,1.34095742262133,1.34095742262133,0,-0.00209929193287824,12.1379678993807,8,0,12443.5446854646,-12443.5572119993,250.822812314116,40.7549805742423,6.72905044636887e-10,1,1.0692225153579,1,6950,7.8
