method,sensed_rmse_rpm,sensed_ramp_rmse_rpm,mid_accel_actual_error,mid_accel_sensed_error
BasePI,3.931243220937232,6.394765653833143,5.7241671982158016,-5.330953563961407
R3,4.232075540636844,6.190265953053962,10.65705190356217,-0.25587361632703387
