time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
132.255,9974.73846877804,1.16768463602717,9975,9974.73866392266,1.02302361134541,1.16768463602717,0,-0.00337478223702652,12.1054814901189,12,0,10802.9109025099,-10802.9310380407,1.16768463602717,1.3441501487729,1.3439091602607,0.000240988512197005,-0.00336948150114699,-0.183005653642216,1.16768463602717,1,252.405277451572,35.2711928344029,4.58832349218913e-10,1,1.06576539304072,1,0.261336077339365,0.00654014089648642,0.000919856034756438,5.32566021745604e-05,1,7957.5,15.915
132.27,9974.7384181563,1.1681342443384,9975,9974.73861334849,1.02322089768067,1.1681342443384,0,-0.00337557952812893,12.1052566453078,12,0,10806.8426565388,-10806.8627968266,1.1681342443384,1.34420648693796,1.3439658558159,0.000240631122056412,-0.00337031947757211,-0.182613649526207,1.1681342443384,1,252.416481156068,35.2832523258994,4.6214126627039e-10,1,1.06574173495107,1,0.261386651507564,0.00654140692664425,0.000918313806424052,5.32744047697095e-05,1,7955,15.91
132.285,9974.73836752261,1.16858388654428,9975,9974.738562762,1.02341822225959,1.16858388654428,0,-0.00337637044788991,12.1050318210466,12,0,10810.7745661714,-10810.7947111781,1.16858388654428,1.34426278284096,1.3440225089771,0.000240273863859164,-0.00337115109670815,-0.182221569548945,1.16858388654428,1,252.427684860563,35.2953118173959,4.65470710457344e-10,1,1.06571807843509,1,0.261437238003055,0.00654267325226978,0.00091677263779107,5.32922105074189e-05,1,7952.5,15.905
132.3,9974.73831687706,1.16903356264523,9975,9974.73851216327,1.02361558508897,1.16903356264523,0,-0.00337715511674196,12.1048070173058,12,0,10814.7066314015,-10814.7267810897,1.16903356264523,1.34431903646627,1.34407911972845,0.00023991673781576,-0.00337197633108826,-0.181829413691941,1.16903356264523,1,252.438888565055,35.3073713088924,4.68820155454653e-10,1,1.06569442349263,1,0.26148783672943,0.00654393987089792,0.000915232529457645,5.33100193623982e-05,1,7950,15.9
132.315,9974.73826621973,1.16948327264199,9975,9974.73846155241,1.02381298617563,1.16948327264199,0,-0.00337793335664186,12.1045822340475,12,0,10818.6388522251,-10818.6590065565,1.16948327264199,1.34437524779847,1.34413568805438,0.000239559744086959,-0.00337279525948183,-0.181437181936846,1.16948327264199,1,252.450092269546,35.3194308003889,4.72191048668029e-10,1,1.06567077012352,1,0.261538447593921,0.00654520678036699,0.000913693482019243,5.33278313093086e-05,1,7947.5,15.895
132.33,9974.73821555073,1.16993301653483,9975,9974.7384109295,1.02401042552618,1.16993301653483,0,-0.00337870539282151,12.1043574712469,12,0,10822.5712286353,-10822.591387573,1.16993301653483,1.34443141682225,1.34419221393944,0.000239202882812206,-0.00337360778652162,-0.181044874265456,1.16993301653483,1,252.461295974035,35.3314902918854,4.75582337444159e-10,1,1.06564711832759,1,0.261589070498303,0.00654647397803062,0.000912155496069275,5.33456463227655e-05,1,7945,15.89
132.345,9974.73816487015,1.17038279432446,9975,9974.73836029465,1.02420790314729,1.17038279432446,0,-0.00337947107908282,12.1041327288662,12,0,10826.503760628,-10826.523924134,1.17038279432446,1.34448754352242,1.3442486973682,0.000238846154222649,-0.00337441399750777,-0.180652490659708,1.17038279432446,1,252.472499678522,35.3435497833819,4.78994153368199e-10,1,1.06562346810468,1,0.261639705349808,0.00654774146174021,0.000910618572197574,5.33634643773351e-05,1,7942.5,15.885
132.36,9974.73811417808,1.1708326060113,9975,9974.73830964795,1.02440541904548,1.1708326060113,0,-0.0033802304898276,12.1039080068765,12,0,10830.4364481973,-10830.4566162343,1.1708326060113,1.34454362788399,1.34430513832555,0.000238489558437305,-0.00337521384874856,-0.180260031101683,1.1708326060113,1,252.483703383007,35.3556092748784,4.82426891189499e-10,1,1.06559981945463,1,0.261690352052028,0.0065490092289982,0.000909082710989781,5.33812854475405e-05,1,7940,15.88
132.375,9974.73806347462,1.17128245159605,9975,9974.73825898949,1.02460297322728,1.17128245159605,0,-0.00338098356165509,12.1036833052413,12,0,10834.3692913386,-10834.3894638686,1.17128245159605,1.34459966989203,1.34436153679635,0.000238133095684656,-0.00337600740917248,-0.179867495573605,1.17128245159605,1,252.49490708749,35.3676687663749,4.8588107723958e-10,1,1.06557617237727,1,0.261741010512196,0.00655027727762325,0.000907547913028861,5.33991095078511e-05,1,7937.5,15.875
132.39,9974.73801275987,1.17173233107909,9975,9974.73820831937,1.02480056569905,1.17173233107909,0,-0.00338173039444318,12.1034586239324,12,0,10838.3022900459,-10838.3224670317,1.17173233107909,1.34465566953182,1.3444178927657,0.000237776766125686,-0.00337679462515793,-0.179474884057837,1.17173233107909,1,252.506110791972,35.3797282578714,4.89356053611198e-10,1,1.06555252687244,1,0.261791680633905,0.00655154560509795,0.000906014178893538,5.34169365326933e-05,1,7935,15.87
