method,profile_error,rmse_replay,ringing_replay,proportional_error,integrator_error
BasePI,3.637978807091713e-12,3.668888704938574,6.755060723285656,,
R3,3.637978807091713e-12,6.137790035784315,4.242340130010151,1.6586731987899839e-13,9.824823246629144e-15
